region_source_id,source_id,image_use_id,fileId_short,subregion,status,candidate_type,readability,cut_off,confidence,theme,notes
EF06A-S001,S-047,IU-047,0dc3625229,EF06A,verified-from-source-image,ef06a-optimistic-concurrency-token-row-changed,high,no,high,without concurrency token last write wins; with token EF throws DbUpdateConcurrencyException,Full source image visually checked.
EF06A-S002,S-048,IU-048,119679e20c,EF06A,verified-visible-partial-from-source-image,ef06a-check-then-add-race,high,bottom-continues-after-visible-question,high-for-visible-text,check-then-add race: parent row concurrency only helps if parent row is updated,Bottom continues after the visible answer. Visible source is clear.
EF06B-S001,S-049,IU-049,3710ca8272,EF06B,verified-from-source-image,ef06b-explicit-transaction-multiple-savechanges,high,no,high,multiple SaveChanges calls need explicit transaction for all-or-nothing,Full source image visually checked.
EF06B-S002,S-050,IU-050,4e35b1cbc9,EF06B,verified-from-source-image,ef06b-isolation-level-choice,high,no,high,ReadCommitted default; Snapshot stronger when needed; ReadUncommitted bad for business writes,Full source image visually checked.
EF06B-S003,S-051,IU-051,b7164244ce,EF06B,verified-visible-partial-from-source-image,ef06b-readuncommitted-meaning,high,top-cropped-before-title,high-for-visible-text,"ReadUncommitted means database dirty reads, not including EF change tracker changes","Top edge is cropped before the title, but visible content is complete."
EF06B-S004,S-052,IU-052,a9bd2293fc,EF06B,verified-from-source-image,ef06b-readuncommitted-and-in-memory-tracked-changes,high,no,high,modified tracked entity is only in memory until SaveChanges,Full source image visually checked.
EF06C-S001,S-062,IU-062,ea9b1ba7b6,EF06C,verified-from-source-image,ef06c-savechanges-exception-guide,high,no,high,"SaveChanges failures: DbUpdateException, DbUpdateConcurrencyException, inner provider exception",Full source image visually checked.
EF06C-S002,S-063,IU-063,5310695bc8,EF06C,verified-visible-partial-from-source-image,ef06c-transaction-commit-failure,high,top-cropped-continuation,high-for-visible-text,CommitAsync failure is usually provider/DbException/SqlException rather than DbUpdateException,Top is cropped as continuation from previous card; visible text is complete.
EF06C-S003,S-064,IU-064,bb49429aea,EF06C,verified-visible-partial-from-source-image,ef06c-retries-exhausted-retrylimitexceeded,high,top-cropped-continuation,high-for-visible-text,RetryLimitExceededException when execution strategy retries are exhausted,Top is cropped as continuation; visible content is clear.
EF06C-S004,S-065,IU-065,601cdc59fb,EF06C,verified-visible-partial-from-source-image,ef06c-catch-order,high,top-ui-overlay-cropped-header,high-for-visible-code,practical catch order for save/transaction/execution strategy failures,"Top has UI overlay, but code block is readable."
EF06C-S005,S-061,IU-061,bf9f234ad6,EF06C,verified-from-source-image,ef06c-retrylimitexceeded-general-exception,high,no,high,RetryLimitExceededException is general EF Core execution strategy retry exhaustion exception,Full source image visually checked.
