label_id,x,y,rotation,text,text_compact
L-001,15890.499,3088.914,0.0,"efcore can materialise objecteven if all of its columns are null
the fact that you have ? for  your fullname  in client can be not enough
so its better to do the shit excplicitly",efcore can materialise objecteven if all of its columns are null | the fact that you have ? for  your fullname  in client can be not enough | so its better to do the shit excplicitly
L-002,17192.07,1550.879,0.0,hascheck constraint,hascheck constraint
L-003,15934.889,1583.034,0.0,navigation,navigation
L-004,16019.442,1837.419,0.0,owned isrequired,owned isrequired
L-005,17380.26,1969.119,0.0,"need to add somewhere, to some general dbcontext mapping sheet mb","need to add somewhere, to some general dbcontext mapping sheet mb"
L-006,7646.427,2004.929,0.0,shadow prop usage,shadow prop usage
L-007,3973.767,1613.975,0.0,reduce cpu and everything for reads,reduce cpu and everything for reads
L-008,8977.54,1967.854,0.0,Attach,Attach
L-009,14278.712,1490.616,0.0,"how to save yourself
from sit when someone make 2 parallel requests
to create acc with same email",how to save yourself | from sit when someone make 2 parallel requests | to create acc with same email
L-010,13305.955,5983.315,0.0,better to have isrequired false too,better to have isrequired false too
L-011,13725.94,7612.694,0.0,complex types,complex types
L-012,5672.949,12727.311,0.0,primary key,primary key
L-013,5534.282,12112.645,0.0,"native declarative
constraints",native declarative | constraints
L-014,5687.393,13212.311,0.0,unique index,unique index
L-015,5704.06,13762.311,0.0,alternate key,alternate key
L-016,5675.727,14277.311,0.0,foreign key,foreign key
L-017,5654.06,14758.978,0.0,not null,not null
L-018,5660.727,15258.978,0.0,check constraint,check constraint
L-019,7138.06,14973.645,0.0,indexed view,indexed view
L-020,7203.545,14569.857,0.0,custom db error from stored proc,custom db error from stored proc
L-021,7179.272,13773.645,0.0,trigger,trigger
L-022,6986.731,13321.244,0.0,filtered unique index,filtered unique index
L-023,6831.999,12850.008,0.0,unique index on comp column,unique index on comp column
L-024,3758.559,14887.287,0.0,"how to know which
check constraint failed",how to know which | check constraint failed
L-025,8404.576,16399.336,0.0,is custom dberr limited to storproc,is custom dberr limited to storproc
L-026,11190.328,4761.04,0.0,nullable relationships,nullable relationships
L-027,10314.106,2417.781,0.0,"what to avoid in ctors,
would ef use parameterless ctor by default?","what to avoid in ctors, | would ef use parameterless ctor by default?"
L-028,10460.948,1383.495,0.0,ctors wont run when ef materializes entities?,ctors wont run when ef materializes entities?
L-029,8809.216,2276.324,0.0,"1 if not default id - marks as unchanged
2 if need to modify - attach then modify or mark modified excplicitly
3 if adding new entity with detached in some prop - need to attach that detached
to avoid adding existing but detached
4 when updating entity with detached - detached will be modified need to override savexchanges or
config so model",1 if not default id - marks as unchanged | 2 if need to modify - attach then modify or mark modified excplicitly | 3 if adding new entity with detached in some prop - need to attach that detached | to avoid adding existing but detached | 4 when updating entity with detached - detached will be modified need to override savexchanges or | config so model
L-030,5523.101,1521.677,0.0,identity map pattern,identity map pattern
L-031,5592.773,6921.601,0.0,"so in writes we potentially can do some shit when we fetch
something while having something that we have fetched already and
mb have changed?
dont think so, sounds like shit
load and find more about explicitness and debugging
or when you allow partial loading in writes, chat gpt forces this shit actively
can i do this for projections in reads? hard to imagine
it more just to know that if you have some nested/ multiple methods
that for some reason can fetch instead of continue to modify that was already
fetched - then you can use find everywhere","so in writes we potentially can do some shit when we fetch | something while having something that we have fetched already and | mb have changed? | dont think so, sounds like shit | load and find more about explicitness and debugging | or when you allow partial loading in writes, chat gpt forces this shit actively | can i do this for projections in reads? hard to imagine | it more just to know that if you have some nested/ multiple methods | that for some reason can fetch instead of continue to modify that was already | fetched - then you can use find everywhere"
L-032,5547.545,7456.121,0.0,loadasyn + autoinclude,loadasyn + autoinclude
L-033,22330.144,1573.093,0.0,"concurrency in db  commands
isrowversion isconcurrencytoken",concurrency in db  commands | isrowversion isconcurrencytoken
L-034,18927.019,1581.982,0.0,dbcontext about transactions strategies,dbcontext about transactions strategies
