source_id,region,coverage_status,decision_is_final,must_recheck_before_region_close,bad_placeholder_signal_found,closure_ok
S-001,LAZY-R01,processed-in-lazy-r01-v001,yes-for-lazy-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-002,LAZY-R01,processed-in-lazy-r01-v001,yes-for-lazy-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-003,LAZY-R01,processed-in-lazy-r01-v001,yes-for-lazy-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-004,LAZY-R01,processed-in-lazy-r01-v001,yes-for-lazy-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-005,LAZY-R01,processed-in-lazy-r01-v001,yes-for-lazy-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-006,LAZY-R01,processed-in-lazy-r01-v001,yes-for-lazy-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-007,LAZY-R01,processed-in-lazy-r01-v001,yes-for-lazy-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-008,LAZY-R01,processed-in-lazy-r01-v001,yes-for-lazy-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-009,LAZY-R01,processed-in-lazy-r01-v001,yes-for-lazy-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-010,LAZY-R01,processed-in-lazy-r01-v001,yes-for-lazy-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-011,LAZY-R02,processed-in-lazy-r02-v001,yes-for-lazy-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-012,LAZY-R01,processed-in-lazy-r01-v001,yes-for-lazy-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-013,LAZY-R01,processed-in-lazy-r01-v001,yes-for-lazy-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-014,LAZY-R01,processed-in-lazy-r01-v001,yes-for-lazy-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-015,LAZY-R02,processed-in-lazy-r02-v001,yes-for-lazy-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-016,LAZY-R01,processed-in-lazy-r01-v001,yes-for-lazy-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-017,LAZY-R01,processed-in-lazy-r01-v001,yes-for-lazy-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-018,LAZY-R01,processed-in-lazy-r01-v001,yes-for-lazy-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-019,LAZY-R01,processed-in-lazy-r01-v001,yes-for-lazy-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-020,LAZY-R01,processed-in-lazy-r01-v001,yes-for-lazy-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-021,LAZY-R01,processed-in-lazy-r01-v001,yes-for-lazy-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-022,LAZY-R01,processed-in-lazy-r01-v001,yes-for-lazy-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-023,LAZY-R02,processed-in-lazy-r02-v001,yes-for-lazy-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-024,LAZY-R01,processed-in-lazy-r01-v001,yes-for-lazy-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-025,LAZY-R01,processed-in-lazy-r01-v001,yes-for-lazy-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-026,LAZY-R01,processed-in-lazy-r01-v001,yes-for-lazy-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-027,LAZY-R02,processed-in-lazy-r02-v001,yes-for-lazy-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-028,LAZY-R02,processed-in-lazy-r02-v001,yes-for-lazy-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-029,LAZY-R02,processed-in-lazy-r02-v001,yes-for-lazy-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-030,LAZY-R02,processed-in-lazy-r02-v001,yes-for-lazy-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-031,LAZY-R02,processed-in-lazy-r02-v001,yes-for-lazy-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-032,LAZY-R02,processed-in-lazy-r02-v001,yes-for-lazy-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-033,LAZY-R02,processed-in-lazy-r02-v001,yes-for-lazy-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-034,LAZY-R02,processed-in-lazy-r02-v001,yes-for-lazy-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-035,LAZY-R02,processed-in-lazy-r02-v001,yes-for-lazy-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-036,LAZY-R02,processed-in-lazy-r02-v001,yes-for-lazy-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-037,LAZY-R02,processed-in-lazy-r02-v001,yes-for-lazy-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-038,LAZY-R02,processed-in-lazy-r02-v001,yes-for-lazy-r02-stage1,no-for-stage1-semantic-transcript,no,yes
