source_id,order_in_group,group_key,region,candidate_status,decision,meaning,image_use_id,fileId_short,x,y,width,height,nearest_labels_for_search_only
S-001,1,LAZY-R01-lazy-basics-value-factory,LAZY-R01,lazy-r01-basics-candidate-stage0,candidate-not-final-stage0-boundary-only,"Lazy<T> basics: deferred initialization, value factory, Value property, exception caching, and when lazy allocation is useful.",IU-001,9f34626cdb,5549.259,318.098,927.0,354.0,"lock contention | exception caching | factory lazy | ctor lazy | LAZY | lazy<Task> | async | !!! | different patterns | lazy with params | ONE CAPTURED VALUE FOR ALL USAGES, CANT CHANGE IT"
S-002,2,LAZY-R01-lazy-basics-value-factory,LAZY-R01,lazy-r01-basics-candidate-stage0,candidate-not-final-stage0-boundary-only,"Lazy<T> basics: deferred initialization, value factory, Value property, exception caching, and when lazy allocation is useful.",IU-002,e9eb6c88a7,374.642,321.032,775.0,451.0,"different patterns | lazy with params | lazy<Task> | async | ONE CAPTURED VALUE FOR ALL USAGES, CANT CHANGE IT | LAZY | SO HERE WE CAN HAVE DIFFERENT ARGS BUT IT ISNOT SUITABLE FOR SHARED CACHE, | ONLY FOR SOME PRIVATE CACHE | exception caching | factory lazy | ctor lazy | SHARED CACHE IMPLEMENTATION, CAN CREATE METHOD THAT ACCEPTS"
S-003,3,LAZY-R01-lazy-basics-value-factory,LAZY-R01,lazy-r01-basics-candidate-stage0,candidate-not-final-stage0-boundary-only,"Lazy<T> basics: deferred initialization, value factory, Value property, exception caching, and when lazy allocation is useful.",IU-003,e7191528e3,2381.267,374.9,994.0,405.0,"LAZY | lazy<Task> | async | exception caching | factory lazy | ctor lazy | different patterns | lazy with params | !!! | lock contention | ONE CAPTURED VALUE FOR ALL USAGES, CANT CHANGE IT"
S-004,4,LAZY-R01-lazy-basics-value-factory,LAZY-R01,lazy-r01-basics-candidate-stage0,candidate-not-final-stage0-boundary-only,"Lazy<T> basics: deferred initialization, value factory, Value property, exception caching, and when lazy allocation is useful.",IU-004,294f139f50,1609.544,385.69,563.0,38.0,"lazy<Task> | async | LAZY | different patterns | lazy with params | exception caching | factory lazy | ctor lazy | ONE CAPTURED VALUE FOR ALL USAGES, CANT CHANGE IT | SO HERE WE CAN HAVE DIFFERENT ARGS BUT IT ISNOT SUITABLE FOR SHARED CACHE, | ONLY FOR SOME PRIVATE CACHE | !!!"
S-005,5,LAZY-R01-lazy-basics-value-factory,LAZY-R01,lazy-r01-basics-candidate-stage0,candidate-not-final-stage0-boundary-only,"Lazy<T> basics: deferred initialization, value factory, Value property, exception caching, and when lazy allocation is useful.",IU-005,53cee24472,1548.392,469.463,791.0,245.0,"lazy<Task> | async | LAZY | different patterns | lazy with params | factory lazy | ctor lazy | ONE CAPTURED VALUE FOR ALL USAGES, CANT CHANGE IT | exception caching | SO HERE WE CAN HAVE DIFFERENT ARGS BUT IT ISNOT SUITABLE FOR SHARED CACHE, | ONLY FOR SOME PRIVATE CACHE | !!!"
S-006,6,LAZY-R01-lazy-basics-value-factory,LAZY-R01,lazy-r01-basics-candidate-stage0,candidate-not-final-stage0-boundary-only,"Lazy<T> basics: deferred initialization, value factory, Value property, exception caching, and when lazy allocation is useful.",IU-006,2a3824bc49,4226.35,593.8,428.0,287.0,"ctor lazy | factory lazy | exception caching | LAZY | lock contention | !!! | lazy<Task> | async | different patterns | lazy with params | ONE CAPTURED VALUE FOR ALL USAGES, CANT CHANGE IT"
S-007,7,LAZY-R01-lazy-basics-value-factory,LAZY-R01,lazy-r01-basics-candidate-stage0,candidate-not-final-stage0-boundary-only,"Lazy<T> basics: deferred initialization, value factory, Value property, exception caching, and when lazy allocation is useful.",IU-007,f1ea90e07c,5556.787,696.497,797.0,228.0,"lock contention | ctor lazy | factory lazy | exception caching | !!! | LAZY | lazy<Task> | async | different patterns | ONE CAPTURED VALUE FOR ALL USAGES, CANT CHANGE IT | lazy with params"
S-008,8,LAZY-R01-lazy-basics-value-factory,LAZY-R01,lazy-r01-basics-candidate-stage0,candidate-not-final-stage0-boundary-only,"Lazy<T> basics: deferred initialization, value factory, Value property, exception caching, and when lazy allocation is useful.",IU-008,64581ffdc0,2390.237,790.158,930.0,406.0,"LAZY | lazy<Task> | async | ctor lazy | factory lazy | exception caching | !!! | ONE CAPTURED VALUE FOR ALL USAGES, CANT CHANGE IT | different patterns | lazy with params | threadsafety modes"
S-009,9,LAZY-R01-lazy-basics-value-factory,LAZY-R01,lazy-r01-basics-candidate-stage0,candidate-not-final-stage0-boundary-only,"Lazy<T> basics: deferred initialization, value factory, Value property, exception caching, and when lazy allocation is useful.",IU-009,395f0d4984,291.975,897.032,933.0,393.0,"ONE CAPTURED VALUE FOR ALL USAGES, CANT CHANGE IT | different patterns | lazy with params | SO HERE WE CAN HAVE DIFFERENT ARGS BUT IT ISNOT SUITABLE FOR SHARED CACHE, | ONLY FOR SOME PRIVATE CACHE | lazy<Task> | async | LAZY | SHARED CACHE IMPLEMENTATION, CAN CREATE METHOD THAT ACCEPTS | ARGUMENT AND SETS IT AS KEY AND INTERNALLY DOES GETORADD | !!! | ctor lazy"
S-010,10,LAZY-R01-lazy-basics-value-factory,LAZY-R01,lazy-r01-basics-candidate-stage0,candidate-not-final-stage0-boundary-only,"Lazy<T> basics: deferred initialization, value factory, Value property, exception caching, and when lazy allocation is useful.",IU-010,458eec9963,5586.9,935.063,860.0,482.0,"lock contention | ctor lazy | factory lazy | exception caching | !!! | LAZY | lazy<Task> | async | ONE CAPTURED VALUE FOR ALL USAGES, CANT CHANGE IT | different patterns | lazy with params"
