label_id,text,candidate_region,final_region,status,transcript_file,open_issue
T-014,need to dispose manually,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-015,the dbcontext from factory,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-016,dont need the dbcontext from di,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-017,addpooleddbcontextfactory,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-018,idcontextfactory<dbcontexgt>,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-035,what if you exceeded pool limits,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-001,pattern to enable multitenancy or,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-002,some dbcontext instance property based shit,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-003,so when we register pooledfactory we dont get dbcontext from di,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-004,we get factory from di and we create context with it,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-005,so we need to create wrapper that will get some request info from registered scoped service,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-006,and set props on dbcontext,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-007,and then we will return dbcontext with rep request state,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-008,but we wont use this wrapper manuallly,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-009,we will register scoped instance service - we will get wraper and we will create dbcontext with our method,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-010,about dbcontext allocatjions,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-011,and setup pressure,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-012,50kb vs 4kb,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-013,and x2 faster,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-019,"onmodelcreating, when it runs,",R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-020,what is better not to do there,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-021,props for queryfilters,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-034,di disposes disposable,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-022,!!!,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-023,!!!,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-024,so when we do shit with raw conneciton,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-025,1 we need to reset all connection state changes - to avoid same state for,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-026,polled contexts + for polled connections on db provider level (without reset it returns connection with same session,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-027,state that we have set to the connection pool),R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-028,"2 and we need to close the connection so it actually returns to the connection pool,",R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-029,we can have pool exhaustion without it even if we kinda reuse the connection in case we do cleanup,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-030,we may just not reuse that same instance that has long running(endless connection) and reuse,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-031,another contexts - and we will end up with some connections just being open and doing nothing,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-032,what eef core resets by itself,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-033,what and when you need to reset manually,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-036,operating dbconnection,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-037,with ado.net,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-038,and context pools,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
