image_use_id,symbol_id,sha256,x,y,width,height,region,asset_file,status
IU-001,image-238cf7b0c287d19e9d504bf3246f526efdedf571,a9a1a6a4cb248963f44f1d242eecb2567db00fee554d9658ebf11640090a3aa7,3430.115807,632.256149,853.0,454.0,R01,source/images/image-238cf7b0c287d19e9d504bf3246f526efdedf571.png,verified
IU-002,image-b549c74cb95b95d1a2fefad156de01374ee82b6f,34e2a8a03afab40a031ea239aade7459e666355c352942dd9d590145a57f9d2d,3421.226851,1120.478388,793.0,242.0,R01,source/images/image-b549c74cb95b95d1a2fefad156de01374ee82b6f.png,verified
IU-003,image-f393ab313daf8412867d6999223c57f937c70b7b,67d36cc0b09074b9625acaf307c8764f8ba9e5cae3175bbb3bfcbeb3c9f18c41,3433.054763,1371.433283,774.0,482.0,R01,source/images/image-f393ab313daf8412867d6999223c57f937c70b7b.png,verified
IU-004,image-d14054782ab8301b5d67c9fc39ab390e9921d14e,d9575356bcc613a09b87bd98e9284d7d2f95e06dc24319ab90d4c42ad7dc6d92,3402.671431,1874.478337,879.0,354.0,R01,source/images/image-d14054782ab8301b5d67c9fc39ab390e9921d14e.png,verified
IU-005,image-75fbfb43f526d52f0bd5245b96bc7ca206fb0a90,2a7f59ac244ef524386a30b9434f33cfb1a46c07f74679978bc65765340c3628,3405.803498,2210.322189,779.0,482.0,R01,source/images/image-75fbfb43f526d52f0bd5245b96bc7ca206fb0a90.png,verified
IU-006,image-867f609ea6bc7e963b0fc01a29c19a19affb8c74,5255d4526470f8e476b72d2147cec74d1fce24f3dcc206453a0a38b61faff840,3421.615706,2700.145106,730.0,336.0,R01,source/images/image-867f609ea6bc7e963b0fc01a29c19a19affb8c74.png,verified
IU-007,image-28f77787f057267272f8c4c7604e6235b97b8b62,d06ef6208796b67b004224f9b8bb94a7791dc9d52d27b754d69242c26ed46a13,3433.282474,3035.422816,800.0,301.0,R01,source/images/image-28f77787f057267272f8c4c7604e6235b97b8b62.png,verified
IU-008,image-4c9ae3b51e54bcfe517ecd7e128e1adc72734444,65d9f71da50dbdc2bccf3e546219cc1e0f65675669870e0546861d60faea7a89,3442.782474,3352.867294,861.0,215.0,R01,source/images/image-4c9ae3b51e54bcfe517ecd7e128e1adc72734444.png,verified
IU-009,image-8086c5c213e75af1162d2a52c32f1171970ba480,8b41b77fce49012084315a7b5e6895ab62e275cad26d90ce16d81bba859c1f9e,4687.208957,2634.067749,659.0,482.0,R02,source/images/image-8086c5c213e75af1162d2a52c32f1171970ba480.png,verified
IU-010,image-4cd54f212de7d70ab17c3a03b1731d6104921680,3b532ce127cd47b6055ff73d8c56a079dc77df73833478a840a2a699dcd8daf0,4679.568218,3171.390625,792.0,429.0,R02,source/images/image-4cd54f212de7d70ab17c3a03b1731d6104921680.png,verified
IU-011,image-c6835bd61092e2d98d82152dbfe98ae72763184c,c0aa7ca602e39a4f6fb8965a6e02fbbcedd258fb662e94891f419a991f5b1c80,4653.59805,3644.734436,711.0,482.0,R02,source/images/image-c6835bd61092e2d98d82152dbfe98ae72763184c.png,verified
IU-012,image-70bfaef8fcb322915bb607ae41fb82987a4b1f99,a346093295ff2ad4b15ec8c476591085b76a68c267f2eb057a1c93410214d13f,4605.68197,942.813899,835.0,195.0,R02,source/images/image-70bfaef8fcb322915bb607ae41fb82987a4b1f99.png,verified
IU-013,image-bfc6a106f6d1030d835d7668bd39c0e9d814d14f,bf72ecd031a82ce54e5b4e06409e2b42a1c9d56de29c4bae79d73f67e5e16a4f,4618.330421,1150.26876,795.0,482.0,R02,source/images/image-bfc6a106f6d1030d835d7668bd39c0e9d814d14f.png,verified
IU-014,image-7f3aeaa10b5615061aa0ba092f147a4a68738c76,2a6a5d00e64f667e731abdb829d3490f02d62eb7fc6b1bd104f38d32a54340d4,1955.9769,1687.480446,835.0,250.0,R01,source/images/image-7f3aeaa10b5615061aa0ba092f147a4a68738c76.png,verified
IU-015,image-5ff37821a0a4fb2afdcbeea7f3f374462327dc02,3c99eada52eb0e299b170c2a20eb4a9c0072a087e3ddb4903e0ae4926bcffe5a,1986.876222,1941.634277,815.0,482.0,R01,source/images/image-5ff37821a0a4fb2afdcbeea7f3f374462327dc02.png,verified
IU-016,image-0bed34685903e2df820cd9898b389aa3ea1083c6,cdccfef767dacfe13c89cbbf0575cf91dca0825fa14d02754bd2353eb95488b4,1974.093876,2449.827706,802.0,420.0,R01,source/images/image-0bed34685903e2df820cd9898b389aa3ea1083c6.png,verified
IU-017,image-4104c5ddf2722f8139407ee9fa923f0631c4c3b5,51235040a1b5ad60e9dc2177d7ccb0393b734e85448483531a06255037da5d8c,1966.945101,2862.688986,826.0,212.0,R01,source/images/image-4104c5ddf2722f8139407ee9fa923f0631c4c3b5.png,verified
IU-018,image-061f4cc46da248c9c75f33336dba95dfa1093087,a94ad34220b7c8a9230435df3bcb6d9b84f6e0d3fe0e983965ce7ed43605c0f1,1980.376551,3089.506438,521.0,292.0,R01,source/images/image-061f4cc46da248c9c75f33336dba95dfa1093087.png,verified
IU-019,image-d24341d2de0897eb30be662af2d84600b0b51d88,2515c273a2dbec43b2df226c2fae9b82ac5af2940ffba3e13c5a65161501c3ee,1959.813102,3395.216465,588.0,156.0,R01,source/images/image-d24341d2de0897eb30be662af2d84600b0b51d88.png,verified
IU-020,image-c1e2d55ee3ad0e44295f5f5052de75bd9196cd85,0bdcab535f8c7bf580963a13429f826159f5256b1df51d4a89205f20d57c5752,1974.998217,3575.92041,842.0,224.0,R01,source/images/image-c1e2d55ee3ad0e44295f5f5052de75bd9196cd85.png,verified
IU-021,image-3fd1dc2fc3089ca7113de570c2477e3e01c9f785,84e3635358070cf4e5d52da300be3b30869b37d7d19f8c30f24b64db358ab5a9,621.886417,1674.376023,592.0,482.0,R01,source/images/image-3fd1dc2fc3089ca7113de570c2477e3e01c9f785.png,verified
IU-022,image-b05826e8285dd27b9c2495e923aaa98f746dce46,1ea5f3fbbdb982881fbf5737af8fbf7c4f7c4e2695844880cbd342a91af7d4c5,517.299869,2191.652806,760.0,482.0,R01,source/images/image-b05826e8285dd27b9c2495e923aaa98f746dce46.png,verified
IU-023,image-b38fb29a047a6ecbea37f63f30ff83a361d9c589,7ea267c81afae7f827becf8fda25d68ef6f441ec08053247f7aa720ebdf3fa2a,4702.274766,4479.298172,845.0,482.0,R02,source/images/image-b38fb29a047a6ecbea37f63f30ff83a361d9c589.png,verified
IU-024,image-bb9e363ffa595a8fe1d6974ce5cfdc06da8ee35e,ab647a016c91e34a9dcc8194bd78524ce2c45de2797b63e888168add04e5a79d,4721.289565,4990.409351,848.0,482.0,R02,source/images/image-bb9e363ffa595a8fe1d6974ce5cfdc06da8ee35e.png,verified
IU-025,image-08d40ea9c201a296c62e097b3662e28d122605c9,db2f6b30642ea0a66f644d3b02f74cee9483019c580415dbf235afe0e2ac05cb,4699.92168,5485.195185,867.0,352.0,R02,source/images/image-08d40ea9c201a296c62e097b3662e28d122605c9.png,verified
IU-026,image-35a7b8e904f9fb4f5e7e5e2e3b3539373c9356ed,9b5cb2e41839d9549d53fd218f53c9ed935ce9e5d607ab336e4a0f1c5776f64d,6341.962189,3787.95287,820.0,243.0,R03,source/images/image-35a7b8e904f9fb4f5e7e5e2e3b3539373c9356ed.png,verified
IU-027,image-bb746c634147347be18da9de5fab17e056967fc0,a629ac4ed72a354712a1c1c81aeb7007653f1c6c2e9ba936bba4632b751ba166,6363.691113,4061.527061,784.0,413.0,R03,source/images/image-bb746c634147347be18da9de5fab17e056967fc0.png,verified
IU-028,image-392b6c57a5ab6a4b62e6c797042f92b0f1f0ac6f,f8a81e297c38b914e7e63621b91c17b1eb5acd234520cfded024929b9c5517bb,6365.634245,4485.047956,796.0,413.0,R03,source/images/image-392b6c57a5ab6a4b62e6c797042f92b0f1f0ac6f.png,verified
IU-029,image-0b83a2f7625f611f0a2a72e76c04cfbf86a98004,654658eacd94cb7a877013395c2c3d23b08ec1c49d4eae069ff9035aaf348b0d,7363.421094,3804.121031,707.0,144.0,R03,source/images/image-0b83a2f7625f611f0a2a72e76c04cfbf86a98004.png,verified
IU-030,image-e561ff550687d6e598b4e57c223d80c3abb9ad00,11dad59a65bfc1c314043d23fdeaf8ad37674eea8e6f9d39c80933279314abf7,7340.163788,4005.742192,863.0,422.0,R03,source/images/image-e561ff550687d6e598b4e57c223d80c3abb9ad00.png,verified
IU-031,image-dd2ce83db6f9485aa050d4f0548580881b661821,9457234d34562e9ddb8568c9476998005dd3895a74c23ecf9adf50818454b9f0,7372.383784,4445.106094,831.0,334.0,R03,source/images/image-dd2ce83db6f9485aa050d4f0548580881b661821.png,verified
IU-032,image-ca1faebed7fbd637456568d7a62efd9abfc546c5,071323aed1ac24a3e54ed308f2137df5eb410b492c05b43c54122579ab9c0413,7369.137415,4793.172822,841.0,461.0,R03,source/images/image-ca1faebed7fbd637456568d7a62efd9abfc546c5.png,verified
IU-033,image-16b51513195d7ac8a08734c86cac2b5e01be98b2,8eb34566619e171c5ca7ca74578ad9947620bb33d471b7bb5c9e7a4b1f6c80dd,7368.6744,5270.688081,742.0,482.0,R03,source/images/image-16b51513195d7ac8a08734c86cac2b5e01be98b2.png,verified
IU-034,image-7e55505ad7438e00780aa0a972ba1df0fd1bf9e8,3816c710f1d16fdc1c510a75e6bf92239d9b2e9905b2d25f7b4c04c9937feb71,7375.027947,5771.742473,823.0,242.0,R03,source/images/image-7e55505ad7438e00780aa0a972ba1df0fd1bf9e8.png,verified
IU-035,image-34bf679a4624e3dce09ddc8f1a73f99bf83b1d40,cce6bf0eaed24646ce40f543233d9e745975cc6faec32d80d185647e1d594fb9,3642.858693,4008.262747,852.0,478.0,R01,source/images/image-34bf679a4624e3dce09ddc8f1a73f99bf83b1d40.png,verified
IU-036,image-9f056d2b6757b6d3975a364abd466546f2656909,172c01f3fab969bd34c8e3e691a34d6e16b14800cacba33f48f1d4d333c9d8d4,2592.428259,157.08919,848.0,204.0,R01,source/images/image-9f056d2b6757b6d3975a364abd466546f2656909.png,verified
