text_id,text,x,y,region_id,status
T-001,WITH AggData AS (,3569.5563589823646,380.3826225929171,R03,pending_transcript
T-002,-- Step 1: Pre-aggregate,3569.5563589823646,405.3826225929171,R03,pending_transcript
T-003,SELECT,3569.5563589823646,430.3826225929171,R03,pending_transcript
T-004,"Product,",3569.5563589823646,455.3826225929171,R03,pending_transcript
T-005,"Region,",3569.5563589823646,480.3826225929171,R03,pending_transcript
T-006,"Quarter,",3569.5563589823646,505.3826225929171,R03,pending_transcript
T-007,"SUM(SalesAmount)  AS TotalSales,",3569.5563589823646,530.3826225929171,R03,pending_transcript
T-008,"COUNT(*)          AS SalesCount,",3569.5563589823646,555.3826225929171,R03,pending_transcript
T-009,AVG(SalesAmount)  AS AvgSales,3569.5563589823646,580.3826225929171,R03,pending_transcript
T-010,FROM Sales,3569.5563589823646,605.3826225929171,R03,pending_transcript
T-011,"GROUP BY Product, Region, Quarter",3569.5563589823646,630.3826225929171,R03,pending_transcript
T-012,"),",3569.5563589823646,655.3826225929171,R03,pending_transcript
T-013,Unpivoted AS (,3569.5563589823646,680.3826225929171,R03,pending_transcript
T-014,-- Step 2: Convert metrics into rows,3569.5563589823646,705.3826225929171,R03,pending_transcript
T-015,SELECT,3569.5563589823646,730.3826225929171,R03,pending_transcript
T-016,"Product,",3569.5563589823646,755.3826225929171,R03,pending_transcript
T-017,"Region,",3569.5563589823646,780.3826225929171,R03,pending_transcript
T-018,"Quarter,",3569.5563589823646,805.3826225929171,R03,pending_transcript
T-019,"Metric,",3569.5563589823646,830.3826225929171,R03,pending_transcript
T-020,Value,3569.5563589823646,855.3826225929171,R03,pending_transcript
T-021,FROM AggData,3569.5563589823646,880.3826225929171,R03,pending_transcript
T-022,UNPIVOT,3569.5563589823646,905.3826225929171,R03,pending_transcript
T-023,(,3569.5563589823646,930.3826225929171,R03,pending_transcript
T-024,"Value FOR Metric IN (TotalSales, SalesCount, AvgSales)",3569.5563589823646,955.3826225929171,R03,pending_transcript
T-025,) u,3569.5563589823646,980.3826225929171,R03,pending_transcript
T-026,"),",3569.5563589823646,1005.3826225929171,R03,pending_transcript
T-027,PrepForPivot AS (,3569.5563589823646,1030.382622592917,R03,pending_transcript
T-028,-- Step 3: Build pivot column names,3569.5563589823646,1055.382622592917,R03,pending_transcript
T-029,SELECT,3569.5563589823646,1080.382622592917,R03,pending_transcript
T-030,"Product,",3569.5563589823646,1105.382622592917,R03,pending_transcript
T-031,"Region,",3569.5563589823646,1130.382622592917,R03,pending_transcript
T-032,"CONCAT(Quarter, '_', Metric) AS PivotCol,",3569.5563589823646,1155.382622592917,R03,pending_transcript
T-033,Value,3569.5563589823646,1180.382622592917,R03,pending_transcript
T-034,FROM Unpivoted,3569.5563589823646,1205.382622592917,R03,pending_transcript
T-035,),3569.5563589823646,1230.382622592917,R03,pending_transcript
T-036,-- Step 4: Pivot to final report,3569.5563589823646,1255.382622592917,R03,pending_transcript
T-037,SELECT,3569.5563589823646,1280.382622592917,R03,pending_transcript
T-038,"Product,",3569.5563589823646,1305.382622592917,R03,pending_transcript
T-039,"Region,",3569.5563589823646,1330.382622592917,R03,pending_transcript
T-040,"[Q1_TotalSales],",3569.5563589823646,1355.382622592917,R03,pending_transcript
T-041,"[Q1_SalesCount],",3569.5563589823646,1380.382622592917,R03,pending_transcript
T-042,"[Q1_AvgSales],",3569.5563589823646,1405.382622592917,R03,pending_transcript
T-043,"[Q2_TotalSales],",3569.5563589823646,1430.382622592917,R03,pending_transcript
T-044,"[Q2_SalesCount],",3569.5563589823646,1455.382622592917,R03,pending_transcript
T-045,[Q2_AvgSales],3569.5563589823646,1480.382622592917,R03,pending_transcript
T-046,FROM PrepForPivot,3569.5563589823646,1505.382622592917,R03,pending_transcript
T-047,PIVOT,3569.5563589823646,1530.382622592917,R03,pending_transcript
T-048,(,3569.5563589823646,1555.382622592917,R03,pending_transcript
T-049,MAX(Value),3569.5563589823646,1580.382622592917,R03,pending_transcript
T-050,FOR PivotCol IN (,3569.5563589823646,1605.382622592917,R03,pending_transcript
T-051,"[Q1_TotalSales],",3569.5563589823646,1630.382622592917,R03,pending_transcript
T-052,"[Q1_SalesCount],",3569.5563589823646,1655.382622592917,R03,pending_transcript
T-053,"[Q1_AvgSales],",3569.5563589823646,1680.382622592917,R03,pending_transcript
T-054,"[Q2_TotalSales],",3569.5563589823646,1705.382622592917,R03,pending_transcript
T-055,"[Q2_SalesCount],",3569.5563589823646,1730.382622592917,R03,pending_transcript
T-056,[Q2_AvgSales],3569.5563589823646,1755.382622592917,R03,pending_transcript
T-057,),3569.5563589823646,1780.382622592917,R03,pending_transcript
T-058,) p,3569.5563589823646,1805.382622592917,R03,pending_transcript
T-059,"ORDER BY Product, Region;",3569.5563589823646,1830.382622592917,R03,pending_transcript
T-060,UNPIVOT,1879.8538906681283,185.5628652750652,R02,pending_transcript
T-061,PIVOT,536.2983486759408,141.56270251464846,R01,pending_transcript
T-062,CAN BE USED WITHOUT,10.0,1086.6873396526912,R01,pending_transcript
T-063,"PURPOSE,JUST TO SATISFY",10.0,1111.6873396526912,R01,pending_transcript
T-064,PIVOT SYNTAX,10.0,1136.6873396526912,R01,pending_transcript
T-065,"WE CANT DO MULTIPLE AGG IN PIVOT/UNPIVOT,",3006.102142811616,113.67777366040755,R03,pending_transcript
T-066,SO CAN DO THEM BEFORE,3006.102142811616,248.23337668775133,R03,pending_transcript
