source_id,region,decision,reason
S-001,R01,included-in-r01r02-final-v001,left-column configuration leakage/move into DbContext
S-002,R01,included-in-r01r02-final-v001,left-column configuration leakage/move into DbContext
S-003,R01,included-in-r01r02-final-v001,left-column configuration leakage/move into DbContext
S-004,R01,included-in-r01r02-final-v001,left-column configuration leakage/move into DbContext
S-005,R01,included-in-r01r02-final-v001,left-column configuration leakage/move into DbContext
S-006,R01,included-in-r01r02-final-v001,left-column configuration leakage/move into DbContext
S-007,R01,included-in-r01r02-final-v001,left-column configuration leakage/move into DbContext
S-008,R02,included-in-r01r02-final-v001,right-column API surface reduction/lifetime-equivalent wrapper recap
S-009,R02,included-in-r01r02-final-v001,right-column API surface reduction/lifetime-equivalent wrapper recap
S-010,R02,included-in-r01r02-final-v001,right-column API surface reduction/lifetime-equivalent wrapper recap
S-011,R02,included-in-r01r02-final-v001,right-column API surface reduction/lifetime-equivalent wrapper recap
S-012,R02,included-in-r01r02-final-v001,right-column API surface reduction/lifetime-equivalent wrapper recap
S-013,R02,included-in-r01r02-final-v001,right-column API surface reduction/lifetime-equivalent wrapper recap
