source_id,image_use_id,canvas_order,x,y,rotation,width,height,symbol_id,symbol_id_short,coverage_status,region,correction_scope,summary,restored_image_path
S-001,IU-001,1,2879.571926646471,889.4357971525151,0.0,1022.0,246.0,e444bb77f74152007014e767d6e99b3de3ed8328,e444bb77f7,preserved-from-original-complete-pass,OPT02,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,
S-002,IU-002,2,2914.200817171216,1256.704841593133,0.0,799.0,369.0,7d3d61066554c8785c2ed33f7c521e1eedee7197,7d3d610665,preserved-from-original-complete-pass,OPT02,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,
S-003,IU-003,3,2924.645924378796,1658.9997778609486,0.0,842.0,274.0,544082ea19e18bc49a1e5d826d865bde06c11d72,544082ea19,preserved-from-original-complete-pass,OPT02,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,
S-004,IU-004,4,2960.438583063543,1970.7996239322474,0.0,835.0,129.0,eb5e55f422cb8bf3e705c8c0f3398186daa079dd,eb5e55f422,preserved-from-original-complete-pass,OPT02,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,
S-005,IU-005,5,3009.0973004164734,2168.3307881017336,0.0,580.0,369.0,00735d108807f1b35d7450217ae26dd3e2201ad2,00735d1088,preserved-from-original-complete-pass,OPT02,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,
S-006,IU-006,6,3033.367624340922,2625.8231326144105,0.0,622.0,369.0,3a3e853d773a8decf5bb21d0cc5f8bbbf471132d,3a3e853d77,preserved-from-original-complete-pass,OPT02,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,
S-007,IU-007,7,3012.113223699029,3056.3681519680486,0.0,689.0,266.0,81d4fa0121c5635c02741d61f3bfdc81596558c1,81d4fa0121,preserved-from-original-complete-pass,OPT02,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,
S-008,IU-008,8,2983.6436630221033,3431.22137973556,0.0,835.0,355.0,5b0ee783da7b3f300376206946103a6fbc69868b,5b0ee783da,preserved-from-original-complete-pass,OPT02,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,
S-009,IU-009,9,3067.55135965321,3894.774478088724,0.0,343.0,149.0,d243cae0e4ec648523793f6195eccb9e8b191a93,d243cae0e4,preserved-from-original-complete-pass,OPT02,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,
S-010,IU-010,10,2920.9574838343487,4162.257648658177,0.0,858.0,369.0,bf90dfa208168a7c14bce8c78b7899afcb74f64f,bf90dfa208,preserved-from-original-complete-pass,OPT02,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,
