text_node_id,x,y,text
TN-001,3071.8024553922214,1186.6322754879056,High convensionavle options class
TN-002,2886.899826834574,4616.266323815531,"Using scoped IOptionsSnapshot, because IOptions doesnt have config name"
TN-003,3055.1593263374134,4658.969141281306,IOptions 1 to 1 with config
TN-004,3356.4610893296012,4662.201679759086,Snapshot provide access to different named sections
TN-005,10.0,362.67590157964423,options validation
TN-006,12400.030743625084,3860.306329200222,OnChange of OptionsMonitor returns disposable
TN-007,12400.030743625084,3860.306329200222,"When dispose, it unsubscribes listener"
TN-008,13367.145225728713,5327.843721130124,Options impl
TN-009,13248.158584523964,8876.10301850332,Changing
TN-010,12997.898624565558,10151.976096304472,every 4 seconds values will be read and changed(unconfigurable)
TN-011,6081.330839314184,10.0,"optionspattern, when need to"
TN-012,6081.330839314184,10.0,access di to set built in options value
TN-013,7363.26375838467,1646.1044327587024,!!!
TN-014,7198.2538507142,1433.5118203861948,can configure service from di without ipostconfigure
TN-015,8524.028251436777,1365.366101536276,dont i overwrite options
TN-016,8524.028251436777,1365.366101536276,when i addoptions later?
TN-017,9672.17644479615,1246.8475943205722,why addoptions.configure
TN-018,9672.17644479615,1246.8475943205722,and not services.configure?
TN-019,9672.17644479615,1246.8475943205722,di aware overloads
TN-020,9881.201284092596,1548.5333785544808,about excplicit way to
TN-021,9881.201284092596,1548.5333785544808,configure named options
TN-022,9863.201284092596,3625.2000045310433,di aware overloads
TN-023,5645.61313766403,1012.9682472610948,using Ipostconfigureoptions
TN-024,6301.630902851044,8495.05063970497,options clases
TN-025,6301.630902851044,8495.05063970497,iconfigureoptions
TN-026,6301.630902851044,8495.05063970497,ipostconfigureoptoins
TN-027,6301.630902851044,8495.05063970497,iconfigurenamedoptoins
TN-028,5912.937066688428,9074.620288313146,like when we use name or
TN-029,5912.937066688428,9074.620288313146,"key in fluent config,"
TN-030,5912.937066688428,9074.620288313146,but here we have class
