source_id,image_use_id,canvas_order,x,y,rotation,width,height,symbol_id,symbol_id_short,coverage_status,region,correction_scope,summary,restored_image_path
S-041,IU-041,41,13303.344778503255,4828.193119775289,0.0,549.0,341.0,266683beac847809ab7ffec9dbc7d03b5e4fed5e,266683beac,added-by-stage4-completeness-correction,OPT07,missing-screenshot-restored,AlertSensorReadings compares a reading with configured low/high thresholds and logs normal versus critical/out-of-range results.,audit-assets/correction-missing-images/S-041_266683beac.png
S-042,IU-042,42,13176.856373297258,5355.667432180318,0.0,685.0,341.0,acdec0572e8ecd31973de58f321b4425ea94181d,acdec0572e,added-by-stage4-completeness-correction,OPT07,missing-screenshot-restored,SensorStationOptions is a source-generated options validator target and exposes a configuration section name and polling interval.,audit-assets/correction-missing-images/S-042_acdec0572e.png
S-043,IU-043,43,13140.194230438185,5728.777284495842,0.0,751.0,341.0,56b3859ad8a159cbd24bb11e9a9f6b5d2efc5031,56b3859ad8,added-by-stage4-completeness-correction,OPT07,missing-screenshot-restored,PollingInterval is validated with TimeSpan range and HH:mm:ss regular-expression constraints.,audit-assets/correction-missing-images/S-043_56b3859ad8.png
S-044,IU-044,44,13014.811449213867,6115.84869751419,0.0,1052.0,294.0,ce797371e0a368c752fe212fc12f2ed326e204fc,ce797371e0,added-by-stage4-completeness-correction,OPT07,missing-screenshot-restored,The Sensors dictionary is required and maps station names to ThresholdOptions.,audit-assets/correction-missing-images/S-044_ce797371e0.png
S-045,IU-045,45,13190.385434338692,6484.303521793223,0.0,619.0,369.0,f71bb698a926f8f3b4b862a034fe2a0ae251f732,f71bb698a9,added-by-stage4-completeness-correction,OPT07,missing-screenshot-restored,ThresholdOptions validates the required low threshold and its allowed numeric range.,audit-assets/correction-missing-images/S-045_f71bb698a9.png
S-046,IU-046,46,13202.177395282091,6871.225596899199,0.0,617.0,369.0,36c9de59e11587ba72d692532756afe378c5cdbc,36c9de59e1,added-by-stage4-completeness-correction,OPT07,missing-screenshot-restored,ThresholdOptions validates the required high threshold and its allowed numeric range.,audit-assets/correction-missing-images/S-046_36c9de59e1.png
S-047,IU-047,47,13243.523408895384,7338.981157169375,0.0,416.0,369.0,7d838c4d722f94bfaffad68bea43b2e52380ecad,7d838c4d72,added-by-stage4-completeness-correction,OPT07,missing-screenshot-restored,"appsettings SensorOptions example with PollingInterval and named Roof, Roof 2, Garage and other sensor thresholds.",audit-assets/correction-missing-images/S-047_7d838c4d72.png
S-048,IU-048,48,13241.494012442468,7759.640976266488,0.0,297.0,136.0,0d16d2223aed7b0b337bb91a79f726df42e7c800,0d16d2223a,added-by-stage4-completeness-correction,OPT07,missing-screenshot-restored,"Continuation of the named sensor threshold configuration, including Patio.",audit-assets/correction-missing-images/S-048_0d16d2223a.png
S-049,IU-049,49,13005.660613773078,8000.151932450684,0.0,1092.0,362.0,a929f09624756f639f37a196a8397159f12efe07,a929f09624,added-by-stage4-completeness-correction,OPT07,missing-screenshot-restored,Console output shows current sensor options and an out-of-range Garage reading.,audit-assets/correction-missing-images/S-049_a929f09624.png
S-050,IU-050,50,12954.428937977907,8423.225383012137,0.0,938.0,369.0,194ba45599b50a19cf023ebf1602fae21023ad6c,194ba45599,added-by-stage4-completeness-correction,OPT07,missing-screenshot-restored,"Runtime log demonstrates normal readings, a critical Garage reading, and graceful host shutdown.",audit-assets/correction-missing-images/S-050_194ba45599.png
