source_id,image_use_id,canvas_order,x,y,width,height,region,coverage_status,correction_scope,summary,evidence_path
S-001,IU-001,1,2879.571926646471,889.4357971525151,1022.0,246.0,OPT02,preserved-from-original-complete-pass,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,legacy stage2 evidence
S-002,IU-002,2,2914.200817171216,1256.704841593133,799.0,369.0,OPT02,preserved-from-original-complete-pass,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,legacy stage2 evidence
S-003,IU-003,3,2924.645924378796,1658.9997778609486,842.0,274.0,OPT02,preserved-from-original-complete-pass,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,legacy stage2 evidence
S-004,IU-004,4,2960.438583063543,1970.7996239322474,835.0,129.0,OPT02,preserved-from-original-complete-pass,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,legacy stage2 evidence
S-005,IU-005,5,3009.0973004164734,2168.3307881017336,580.0,369.0,OPT02,preserved-from-original-complete-pass,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,legacy stage2 evidence
S-006,IU-006,6,3033.367624340922,2625.8231326144105,622.0,369.0,OPT02,preserved-from-original-complete-pass,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,legacy stage2 evidence
S-007,IU-007,7,3012.113223699029,3056.3681519680486,689.0,266.0,OPT02,preserved-from-original-complete-pass,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,legacy stage2 evidence
S-008,IU-008,8,2983.6436630221033,3431.22137973556,835.0,355.0,OPT02,preserved-from-original-complete-pass,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,legacy stage2 evidence
S-009,IU-009,9,3067.55135965321,3894.774478088724,343.0,149.0,OPT02,preserved-from-original-complete-pass,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,legacy stage2 evidence
S-010,IU-010,10,2920.9574838343487,4162.257648658177,858.0,369.0,OPT02,preserved-from-original-complete-pass,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,legacy stage2 evidence
S-011,IU-011,11,2847.555778382388,4719.571274358221,793.0,369.0,OPT02,preserved-from-original-complete-pass,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,legacy stage2 evidence
S-012,IU-012,12,4010.3591531790653,4854.585071979143,686.0,463.0,OPT03,preserved-from-original-complete-pass,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,legacy stage2 evidence
S-013,IU-013,13,3982.3501810883267,4358.224713634985,919.0,443.0,OPT03,preserved-from-original-complete-pass,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,legacy stage2 evidence
S-014,IU-014,14,4034.2496906625984,5343.568463634985,735.0,482.0,OPT03,preserved-from-original-complete-pass,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,legacy stage2 evidence
S-015,IU-015,15,4047.6833109711392,5851.057996105688,725.0,194.0,OPT03,preserved-from-original-complete-pass,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,legacy stage2 evidence
S-016,IU-016,16,4797.65502300098,5323.753620563153,847.0,482.0,OPT03,preserved-from-original-complete-pass,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,legacy stage2 evidence
S-017,IU-017,17,4841.7946594411915,5811.298776406247,759.0,185.0,OPT03,preserved-from-original-complete-pass,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,legacy stage2 evidence
S-018,IU-018,18,2927.5141167620277,6832.395110448046,820.0,423.0,OPT03,preserved-from-original-complete-pass,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,legacy stage2 evidence
S-019,IU-019,19,2863.6330481236355,6336.204576128841,963.0,463.0,OPT03,preserved-from-original-complete-pass,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,legacy stage2 evidence
S-020,IU-020,20,2885.704476695064,6092.776004700276,816.0,207.0,OPT03,preserved-from-original-complete-pass,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,legacy stage2 evidence
S-021,IU-021,21,2850.8769029530167,5572.262568246597,851.0,482.0,OPT03,preserved-from-original-complete-pass,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,legacy stage2 evidence
S-022,IU-022,22,2906.0138261184275,8533.757390915236,863.0,368.0,OPT03,preserved-from-original-complete-pass,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,legacy stage2 evidence
S-023,IU-023,23,2899.434366774726,8021.363103805847,773.0,482.0,OPT03,preserved-from-original-complete-pass,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,legacy stage2 evidence
S-024,IU-024,24,2936.147256299263,7503.267836646244,605.0,482.0,OPT03,preserved-from-original-complete-pass,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,legacy stage2 evidence
S-025,IU-025,25,549.7735383095524,2556.02743469085,870.0,479.0,OPT01,preserved-from-original-complete-pass,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,legacy stage2 evidence
S-026,IU-026,26,553.575009353699,2105.1649313968755,797.0,433.0,OPT01,preserved-from-original-complete-pass,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,legacy stage2 evidence
S-027,IU-027,27,507.13850141719195,1783.776013443634,914.0,338.0,OPT01,preserved-from-original-complete-pass,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,legacy stage2 evidence
S-028,IU-028,28,524.4484115277537,1321.9901790252352,716.0,482.0,OPT01,preserved-from-original-complete-pass,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,legacy stage2 evidence
S-029,IU-029,29,480.2904623802424,856.0846230190746,851.0,469.0,OPT01,preserved-from-original-complete-pass,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,legacy stage2 evidence
S-030,IU-030,30,585.8752043498598,3062.193175013266,769.0,482.0,OPT01,preserved-from-original-complete-pass,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,legacy stage2 evidence
S-031,IU-031,31,13051.638994023728,1119.4711528961375,1152.0,291.0,OPT04,preserved-from-original-complete-pass,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,legacy stage2 evidence
S-032,IU-032,32,13257.634669573385,1434.4834164042436,686.0,552.0,OPT04,preserved-from-original-complete-pass,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,legacy stage2 evidence
S-033,IU-033,33,13246.03341193703,2032.3718187961235,627.0,369.0,OPT04,preserved-from-original-complete-pass,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,legacy stage2 evidence
S-034,IU-034,34,13255.355165003151,2456.5325859904583,624.0,369.0,OPT04,preserved-from-original-complete-pass,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,legacy stage2 evidence
S-035,IU-035,35,13303.513536995448,2836.0345999052547,559.0,367.0,OPT04,preserved-from-original-complete-pass,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,legacy stage2 evidence
S-036,IU-036,36,13155.558949213824,3204.607888010159,913.0,246.0,OPT04,preserved-from-original-complete-pass,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,legacy stage2 evidence
S-037,IU-037,37,13227.9156697232,3436.9636451226756,718.0,423.0,OPT04,preserved-from-original-complete-pass,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,legacy stage2 evidence
S-038,IU-038,38,13173.7044905053,3967.1218571802633,900.0,363.0,OPT04,preserved-from-original-complete-pass,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,legacy stage2 evidence
S-039,IU-039,39,12384.338994085563,3575.1579760937634,558.0,221.0,OPT04,preserved-from-original-complete-pass,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,legacy stage2 evidence
S-040,IU-040,40,13289.095979325346,4415.04644575081,663.0,369.0,OPT04,preserved-from-original-complete-pass,existing,Already covered by the original 40-image final transcript; retained for full-source reconciliation.,legacy stage2 evidence
S-041,IU-041,41,13303.344778503255,4828.193119775289,549.0,341.0,OPT07,added-by-stage4-completeness-correction,missing-screenshot-restored,AlertSensorReadings compares a reading with configured low/high thresholds and logs normal versus critical/out-of-range results.,audit-assets/correction-missing-images/S-041_266683beac.png
S-042,IU-042,42,13176.856373297258,5355.667432180318,685.0,341.0,OPT07,added-by-stage4-completeness-correction,missing-screenshot-restored,SensorStationOptions is a source-generated options validator target and exposes a configuration section name and polling interval.,audit-assets/correction-missing-images/S-042_acdec0572e.png
S-043,IU-043,43,13140.194230438185,5728.777284495842,751.0,341.0,OPT07,added-by-stage4-completeness-correction,missing-screenshot-restored,PollingInterval is validated with TimeSpan range and HH:mm:ss regular-expression constraints.,audit-assets/correction-missing-images/S-043_56b3859ad8.png
S-044,IU-044,44,13014.811449213867,6115.84869751419,1052.0,294.0,OPT07,added-by-stage4-completeness-correction,missing-screenshot-restored,The Sensors dictionary is required and maps station names to ThresholdOptions.,audit-assets/correction-missing-images/S-044_ce797371e0.png
S-045,IU-045,45,13190.385434338692,6484.303521793223,619.0,369.0,OPT07,added-by-stage4-completeness-correction,missing-screenshot-restored,ThresholdOptions validates the required low threshold and its allowed numeric range.,audit-assets/correction-missing-images/S-045_f71bb698a9.png
S-046,IU-046,46,13202.177395282091,6871.225596899199,617.0,369.0,OPT07,added-by-stage4-completeness-correction,missing-screenshot-restored,ThresholdOptions validates the required high threshold and its allowed numeric range.,audit-assets/correction-missing-images/S-046_36c9de59e1.png
S-047,IU-047,47,13243.523408895384,7338.981157169375,416.0,369.0,OPT07,added-by-stage4-completeness-correction,missing-screenshot-restored,"appsettings SensorOptions example with PollingInterval and named Roof, Roof 2, Garage and other sensor thresholds.",audit-assets/correction-missing-images/S-047_7d838c4d72.png
S-048,IU-048,48,13241.494012442468,7759.640976266488,297.0,136.0,OPT07,added-by-stage4-completeness-correction,missing-screenshot-restored,"Continuation of the named sensor threshold configuration, including Patio.",audit-assets/correction-missing-images/S-048_0d16d2223a.png
S-049,IU-049,49,13005.660613773078,8000.151932450684,1092.0,362.0,OPT07,added-by-stage4-completeness-correction,missing-screenshot-restored,Console output shows current sensor options and an out-of-range Garage reading.,audit-assets/correction-missing-images/S-049_a929f09624.png
S-050,IU-050,50,12954.428937977907,8423.225383012137,938.0,369.0,OPT07,added-by-stage4-completeness-correction,missing-screenshot-restored,"Runtime log demonstrates normal readings, a critical Garage reading, and graceful host shutdown.",audit-assets/correction-missing-images/S-050_194ba45599.png
S-051,IU-051,51,13020.312832481239,8980.436339649666,608.0,369.0,OPT07,added-by-stage4-completeness-correction,missing-screenshot-restored,Runtime output demonstrates configuration reload: polling interval and threshold ranges change without restarting the service.,audit-assets/correction-missing-images/S-051_8fb91f0dd6.png
S-052,IU-052,52,12936.079867406577,9623.869623276234,811.0,369.0,OPT07,added-by-stage4-completeness-correction,missing-screenshot-restored,Monitoring limitations: only reload-capable providers notify changes; file shares/containers can make notifications unreliable and polling watcher may be needed.,audit-assets/correction-missing-images/S-052_299a1c3c3b.png
