text_id,text,x,y,status
T-001,LIKE ARRAYPOOL BUT WITH POSSIBILITY TO TRANSFER,8295.649019304923,697.5012584949983,pending_transcript
T-002,OWNERSHIP AND RESPONSIBILITY OF,8295.649019304923,722.5012584949983,pending_transcript
T-003,RETURNING TO POOL,8295.649019304923,747.5012584949983,pending_transcript
T-004,MEMORYPOOL,8368.37749407431,496.35919442152664,pending_transcript
T-005,OBJECTPOOL,5036.79371962483,511.17219459575523,pending_transcript
T-006,ARRAYPOOL,6069.862512574928,669.7713774227503,pending_transcript
T-007,TEMP ARRAY IS BEING CREATED,6055.153921850447,734.1427421011214,pending_transcript
T-008,"FOR EACH REQUEST, LIKE BUFFER",6055.153921850447,759.1427421011214,pending_transcript
T-009,NO PARALLEL PROCESSING SO,6055.153921850447,809.1427421011214,pending_transcript
T-010,THE CALLING METHOD CAN RETURN IT TO POOL,6055.153921850447,834.1427421011214,pending_transcript
T-011,BY ITSLEF,6055.153921850447,859.1427421011214,pending_transcript
T-012,BUFFER IS VERY FREQUESNT AND NOT TINY,6055.153921850447,909.1427421011214,pending_transcript
T-013,!!!,6879.404544443998,4670.442895803067,pending_transcript
T-014,AVOID MESSY ARGS,6924.7966864545515,4371.4850911969515,pending_transcript
T-015,customobjectpool,3698.5854283922586,630.9336749455216,pending_transcript
T-016,createstringbuilderpool,3121.464306319752,2201.4147579096284,pending_transcript
T-017,what do you gain,4912.8771544139045,2102.113844886082,pending_transcript
T-018,what objects good for pooling,4912.8771544139045,2177.4842265592592,pending_transcript
T-019,"basics,",5220.568312031515,680.3494245747444,pending_transcript
T-020,provider.create,5220.568312031515,773.4446699360724,pending_transcript
T-021,when may need not default provider,1706.005258100905,865.6523343831107,pending_transcript
T-022,(almost never),1706.005258100905,932.6523649006888,pending_transcript
T-023,do i need to register policies?,1531.4094551125727,1745.548177040036,pending_transcript
T-024,options for object poolprovider,12.693243754080868,186.96051923957714,pending_transcript
T-025,"usage,default,not default,what to",12.693243754080868,438.03957604941985,pending_transcript
T-026,register,12.693243754080868,689.1186328592626,pending_transcript
T-027,why register a policy,1643.7551361597762,2410.323491305747,pending_transcript
T-028,1,402.92884913312446,845.3037035774834,pending_transcript
T-029,3 register the pool itself,218.80986314664733,2677.433985154657,pending_transcript
T-030,1 create everything manually,387.20045164007297,856.9081998919123,pending_transcript
