source_id,stage0_group,stage1_region,decision,status,reason,notes
S-001,LAZY-R01-lazy-basics-value-factory,LAZY-R01,included-in-lazy-r01-stage1-v001,verified-visible-semantic-transcript,"Lazy<T> basics: deferred initialization, value factory, Value property, exception caching, and when lazy allocation is useful.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-002,LAZY-R01-lazy-basics-value-factory,LAZY-R01,included-in-lazy-r01-stage1-v001,verified-visible-semantic-transcript,"Lazy<T> basics: deferred initialization, value factory, Value property, exception caching, and when lazy allocation is useful.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-003,LAZY-R01-lazy-basics-value-factory,LAZY-R01,included-in-lazy-r01-stage1-v001,verified-visible-semantic-transcript,"Lazy<T> basics: deferred initialization, value factory, Value property, exception caching, and when lazy allocation is useful.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-004,LAZY-R01-lazy-basics-value-factory,LAZY-R01,included-in-lazy-r01-stage1-v001,verified-visible-semantic-transcript,"Lazy<T> basics: deferred initialization, value factory, Value property, exception caching, and when lazy allocation is useful.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-005,LAZY-R01-lazy-basics-value-factory,LAZY-R01,included-in-lazy-r01-stage1-v001,verified-visible-semantic-transcript,"Lazy<T> basics: deferred initialization, value factory, Value property, exception caching, and when lazy allocation is useful.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-006,LAZY-R01-lazy-basics-value-factory,LAZY-R01,included-in-lazy-r01-stage1-v001,verified-visible-semantic-transcript,"Lazy<T> basics: deferred initialization, value factory, Value property, exception caching, and when lazy allocation is useful.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-007,LAZY-R01-lazy-basics-value-factory,LAZY-R01,included-in-lazy-r01-stage1-v001,verified-visible-semantic-transcript,"Lazy<T> basics: deferred initialization, value factory, Value property, exception caching, and when lazy allocation is useful.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-008,LAZY-R01-lazy-basics-value-factory,LAZY-R01,included-in-lazy-r01-stage1-v001,verified-visible-semantic-transcript,"Lazy<T> basics: deferred initialization, value factory, Value property, exception caching, and when lazy allocation is useful.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-009,LAZY-R01-lazy-basics-value-factory,LAZY-R01,included-in-lazy-r01-stage1-v001,verified-visible-semantic-transcript,"Lazy<T> basics: deferred initialization, value factory, Value property, exception caching, and when lazy allocation is useful.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-010,LAZY-R01-lazy-basics-value-factory,LAZY-R01,included-in-lazy-r01-stage1-v001,verified-visible-semantic-transcript,"Lazy<T> basics: deferred initialization, value factory, Value property, exception caching, and when lazy allocation is useful.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-012,LAZY-R01-lazy-basics-value-factory,LAZY-R01,included-in-lazy-r01-stage1-v001,verified-visible-semantic-transcript,"Lazy<T> basics: deferred initialization, value factory, Value property, exception caching, and when lazy allocation is useful.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-013,LAZY-R01-lazy-basics-value-factory,LAZY-R01,included-in-lazy-r01-stage1-v001,verified-visible-semantic-transcript,"Lazy<T> basics: deferred initialization, value factory, Value property, exception caching, and when lazy allocation is useful.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-014,LAZY-R01-lazy-basics-value-factory,LAZY-R01,included-in-lazy-r01-stage1-v001,verified-visible-semantic-transcript,"Lazy<T> basics: deferred initialization, value factory, Value property, exception caching, and when lazy allocation is useful.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-016,LAZY-R01-lazy-basics-value-factory,LAZY-R01,included-in-lazy-r01-stage1-v001,verified-visible-semantic-transcript,"Lazy<T> basics: deferred initialization, value factory, Value property, exception caching, and when lazy allocation is useful.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-017,LAZY-R01-lazy-basics-value-factory,LAZY-R01,included-in-lazy-r01-stage1-v001,verified-visible-semantic-transcript,"Lazy<T> basics: deferred initialization, value factory, Value property, exception caching, and when lazy allocation is useful.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-018,LAZY-R01-lazy-basics-value-factory,LAZY-R01,included-in-lazy-r01-stage1-v001,verified-visible-semantic-transcript,"Lazy<T> basics: deferred initialization, value factory, Value property, exception caching, and when lazy allocation is useful.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-019,LAZY-R01-lazy-basics-value-factory,LAZY-R01,included-in-lazy-r01-stage1-v001,verified-visible-semantic-transcript,"Lazy<T> basics: deferred initialization, value factory, Value property, exception caching, and when lazy allocation is useful.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-020,LAZY-R01-lazy-basics-value-factory,LAZY-R01,included-in-lazy-r01-stage1-v001,verified-visible-semantic-transcript,"Lazy<T> basics: deferred initialization, value factory, Value property, exception caching, and when lazy allocation is useful.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-021,LAZY-R01-lazy-basics-value-factory,LAZY-R01,included-in-lazy-r01-stage1-v001,verified-visible-semantic-transcript,"Lazy<T> basics: deferred initialization, value factory, Value property, exception caching, and when lazy allocation is useful.",Included after Stage0 candidate split and Stage1 source-level semantic review.
