idx,symbol_id,file_sha,x,y,w,h,rot,cx,cy
1,image-7819d621288f9a937f35fa743c33ff9c9e69cad8,d9edaa46ca,1190.8390557669525,1815.6033338121706,833.0,351.0,0.0,416.5,175.5
2,image-8c097e8868bf5e8abb5305ff67ee0d0566f01f20,dd56f17a83,10.0,206.90042419465044,724.0,482.0,0.0,362.1545078397213,241.15625
3,image-99583b373c380637e1778d23c23444cc7bf546e0,bb462d4eb9,1243.3635968464177,2692.72851044217,855.0,290.0,0.0,427.49999999999994,145.0
4,image-9ca081f512be4b13962deb64469d921482f37c82,11bb9dc184,1235.0858190686404,2392.4508004812324,836.0,295.0,0.0,418.0,147.5
5,image-5f5ef0e76e7dc0f642a841e706e6033534943fc9,e3906ca147,1180.3126719756287,1473.3514817078758,959.0,355.0,0.0,479.5,177.5
6,image-b62c8fe4c9eee046a66e35ff147697161e8064e2,e5ec724dad,1174.1398919302576,862.3779166289071,790.0,482.0,0.0,394.84394211065575,241.15625
7,image-0e56c4140213b8329fd229e93481a6c5d7b0abb4,4ff0f39eb3,1149.300122801871,206.4890025764371,696.0,482.0,0.0,348.018357385399,241.15625
8,image-dbfb1355bd192781c1e29b334457da1dcd94c7b3,18b71e4641,2410.889563427685,1744.2234414978857,836.0,233.0,0.0,418.0,116.5
9,image-3b7a57a53923a0126af6d066317280e617446272,4f22ade365,2391.8825778918535,1268.4559447530964,803.0,482.0,0.0,401.4514299802761,241.15625
10,image-d44a027d9c1b091caae59d5398e7a621b7dd16cf,dd2c00fa79,2392.741485902295,787.7252435142316,714.0,482.0,0.0,356.878880033557,241.15625
11,image-b8fd7b3cab3429f682a9cd306f648c26ad9fe95a,3cf9883d3c,2376.0894346658356,314.8536809816187,822.0,419.0,0.0,411.0,209.5
