source_id,decision,candidate_type,assigned_region,reason
S-001,included-in-R01R02-v001,same-road-or-combined-adjacent-road,R01,Demo title: Creating a resource
S-002,included-in-R01R02-v001,same-road-or-combined-adjacent-road,R01,HttpMessageHandler vs DelegatingHandler mental model for testing/custom handlers
S-003,included-in-R01R02-v001,same-road-or-combined-adjacent-road,R01,Custom StubHttpMessageHandler for unit testing
S-005,included-in-R01R02-v001,same-road-or-combined-adjacent-road,R01,Why call response.EnsureSuccessStatusCode()
S-009,included-in-R01R02-v001,same-road-or-combined-adjacent-road,R01,StringContent for string payloads
S-010,included-in-R01R02-v001,same-road-or-combined-adjacent-road,R01,DelegatingHandler as outgoing middleware wrapper
S-011,included-in-R01R02-v001,same-road-or-combined-adjacent-road,R01,"CreateMovieAsync: serialize DTO, POST, StringContent, EnsureSuccessStatusCode, deserialize response"
S-012,included-in-R01R02-v001,same-road-or-combined-adjacent-road,R01,Fake handler in tests: header controls stub behavior
S-013,included-in-R01R02-v001,same-road-or-combined-adjacent-road,R01,JsonContent as often-best JSON content helper
S-017,included-in-R01R02-v001,same-road-or-combined-adjacent-road,R01,When not to use StringContent manually
S-020,included-in-R01R02-v001,same-road-or-combined-adjacent-road,R01,"Key differences: purpose, position in chain, use cases for handlers"
S-021,included-in-R01R02-v001,same-road-or-combined-adjacent-road,R01,Test setup using factory client with fake handler / test scenario header
S-022,included-in-R01R02-v001,same-road-or-combined-adjacent-road,R01,Demo title: Updating a resource
S-032,included-in-R01R02-v001,same-road-or-combined-adjacent-road,R01,Update resource with PUT using serialized content and response handling
S-036,included-in-R01R02-v001,same-road-or-combined-adjacent-road,R01,Typed client update method with request message and response handling
S-050,included-in-R01R02-v001,same-road-or-combined-adjacent-road,R01,Demo title: Deleting a resource
S-060,included-in-R01R02-v001,same-road-or-combined-adjacent-road,R01,Delete method: send DELETE and ensure success / return no content
S-073,included-in-R01R02-v001,same-road-or-combined-adjacent-road,R01,Demo title: Using shortcuts
S-089,included-in-R01R02-v001,same-road-or-combined-adjacent-road,R01,PostAsync shortcut example using StringContent
S-094,included-in-R01R02-v001,same-road-or-combined-adjacent-road,R01,PutAsync shortcut example using StringContent
S-102,included-in-R01R02-v001,same-road-or-combined-adjacent-road,R01,PatchAsync shortcut example / media-type issue for JSON Patch
S-112,included-in-R01R02-v001,same-road-or-combined-adjacent-road,R01,Demo title: Partially updating resources
S-120,included-in-R01R02-v001,same-road-or-combined-adjacent-road,R01,JsonPatchDocument + operations / package setup
S-129,included-in-R01R02-v001,same-road-or-combined-adjacent-road,R01,JSON Patch NuGet/package reference
S-131,included-in-R01R02-v001,same-road-or-combined-adjacent-road,R01,Patch typed client method skeleton / PatchAsync
S-137,included-in-R01R02-v001,same-road-or-combined-adjacent-road,R01,Build JsonPatchDocument operations in code
S-143,included-in-R01R02-v001,same-road-or-combined-adjacent-road,R01,JSON Patch request content and content-type headers
S-147,included-in-R01R02-v001,same-road-or-combined-adjacent-road,R01,JSON Patch document example and add operation
S-150,included-in-R01R02-v001,same-road-or-combined-adjacent-road,R01,Demo title: Partially updating resources with PatchAsync
S-152,included-in-R01R02-v001,same-road-or-combined-adjacent-road,R01,PATCH request content type: application/json-patch+json
S-156,included-in-R01R02-v001,same-road-or-combined-adjacent-road,R01,PatchResourceShortcutAsync with PatchAsync and Json.NET serialization
S-165,included-in-R01R02-v001,same-road-or-combined-adjacent-road,R01,Advanced patch scenario example: JSON Patch operations
