image_use_id,region,semantic_topic,recovery_status,semantic_review_status,sha256_12,symbol_id,x,y,display_width,display_height,source_width,source_height,asset_path
S-001,R01,"Atomicity, SaveChanges, optimistic concurrency and transaction ownership",recovered_missing,processed,38fa7ce4e9ab,image-3710ca8272c1f3d9c6a7d4c590e992559504cb75,1096.5953056563267,532.2132125984881,805.0,447.0,805,447,source/images/38fa7ce4e9ab.png
S-002,R02,"Isolation-level semantics: Read Committed, Snapshot, Repeatable Read and Serializable",recovered_missing,processed,966a9348db16,image-2aa46adb4ddafb3b19f57702a40b13a7419670b2,4198.710081708432,909.9084844150602,717.0,401.0,888,497,source/images/966a9348db16.png
S-003,R01,"Atomicity, SaveChanges, optimistic concurrency and transaction ownership",recovered_missing,processed,796437ed2284,image-4e35b1cbc9934429c0cd8079ae69a2a49dd4ca29,1068.3466736188757,1011.3349573901523,787.0,395.0,787,395,source/images/796437ed2284.png
S-004,R02,"Isolation-level semantics: Read Committed, Snapshot, Repeatable Read and Serializable",recovered_missing,processed,5f824f4b7a01,image-d1e9fc7c6d81e23cf2af0d734ac2e0eabc572676,11084.828267554098,1315.8411569324594,572.0,376.0,868,571,source/images/5f824f4b7a01.png
S-005,R02,"Isolation-level semantics: Read Committed, Snapshot, Repeatable Read and Serializable",recovered_missing,processed,032aa73f6917,image-b8aa4e1d3f232501c79287d8847eadcaf3b93341,4202.06160347319,1334.7974004306852,817.0,401.0,853,419,source/images/032aa73f6917.png
S-006,R01,"Atomicity, SaveChanges, optimistic concurrency and transaction ownership",recovered_missing,processed,16c7bac5095b,image-b7164244ce7dec37e2e2e5c83a86e10438119523,1046.6084621233404,1436.3825473734141,800.0,223.0,800,223,source/images/16c7bac5095b.png
S-007,R02,"Isolation-level semantics: Read Committed, Snapshot, Repeatable Read and Serializable",recovered_missing,processed,969c6bfe81fe,image-299f4a12ef6a404dcdd5d6dab642227471428c67,9033.580450837653,1450.3197486714053,850.0,266.0,850,266,source/images/969c6bfe81fe.png
S-008,R01,"Atomicity, SaveChanges, optimistic concurrency and transaction ownership",recovered_missing,processed,c30b842ff1a1,image-a9bd2293fc248ae07c1173e461985575a8632271,1057.7275504324925,1704.787201740044,897.0,482.0,897,482,source/images/c30b842ff1a1.png
S-009,R02,"Isolation-level semantics: Read Committed, Snapshot, Repeatable Read and Serializable",recovered_missing,processed,3e4bfe5d10b8,image-c0d67af42d939b5c079cdc4783b1227d0ef56b5c,11098.25724609572,1725.6327869481124,539.0,354.0,806,530,source/images/3e4bfe5d10b8.png
S-010,R02,"Isolation-level semantics: Read Committed, Snapshot, Repeatable Read and Serializable",recovered_missing,processed,d2a04cbd789f,image-b0f81685582cecc8ff12465d9b8c222e1d0441b2,9024.297859371083,1750.6483286607527,839.0,482.0,872,501,source/images/d2a04cbd789f.png
