source_id,image_use_id,symbol_id,sha256,sha1,x,y,width,height,pixel_width,pixel_height,region_id,previously_present,restored,coverage_status,assignment_count,visual_reviewed,candidate_region_hint_only,asset_path,evidence
S-001,IU-001,image-195ad53d383c87bf0b92f10ffaf14125347ab79b,a5dbbc78887d2ea75672e44f221fc05a4d4fc46f8864161c7235a55bda8d05e9,1c99160485df7fb5d183e95a66b72f12e8149e0b,3359.5238857068225,10.0,804.0,415.0,804,415,R01,False,True,processed-semantic-transcript,1,True,True,assets/source-images-restored-v002/S-001.png,"Visually reviewed screenshot assigned to R01: API families, immediate execution, and transaction boundaries"
S-002,IU-002,image-3f1a17ba9f03a25dd80ff85829952a31c15198a7,edf4313f5bb1c8071c33e5af154852a27c66ec96072244f26ad620c959964146,3eadd1b858f71fae1ee019abd97518121cc9209b,3406.0721352324117,559.6643740506502,708.0,91.0,708,91,R02,False,True,processed-semantic-transcript,1,True,True,assets/source-images-restored-v002/S-002.png,"Visually reviewed screenshot assigned to R02: FromSql entity queries, tracking, and parameterized values"
S-003,IU-003,image-93e6b3504f08b3e32426646bf4b99f8af039b241,6cb3de333017b3c4da69a9f5752b67840256923d5318d74b7220a53149db75c1,6a7609365888247380901717d71c4e7aabb0cbf6,3414.0459840358926,672.5795526220777,681.0,482.0,834,591,R02,False,True,processed-semantic-transcript,1,True,True,assets/source-images-restored-v002/S-003.png,"Visually reviewed screenshot assigned to R02: FromSql entity queries, tracking, and parameterized values"
S-004,IU-004,image-8c6c3c140d626b4f75958d66685df374b7f81a9f,c19bf28b65b3aeec19088b3d359760970b92141cd2372114f2f41f853ad52749,7be35e66af483a5d6c197c19bffdb7fc6e3fe96f,3334.453203870805,1147.0453554959627,916.0,421.0,916,421,R01,False,True,processed-semantic-transcript,1,True,True,assets/source-images-restored-v002/S-004.png,"Visually reviewed screenshot assigned to R01: API families, immediate execution, and transaction boundaries"
S-005,IU-005,image-6f10aaad70343acdc7e8f23e3bd391bf90ca3dd9,23ecca28b6ebbc78f6064203d8b406722a1bdd1e6683eac73142cf112eae6ba7,a8f3ba7a18a808a53b222572e603b456aab1f17d,3349.3578495181264,1582.0452683028839,810.0,351.0,810,351,R01,False,True,processed-semantic-transcript,1,True,True,assets/source-images-restored-v002/S-005.png,"Visually reviewed screenshot assigned to R01: API families, immediate execution, and transaction boundaries"
S-006,IU-006,image-947e594c75801fe48374c166d94a611a3ef5d15e,d6bbc4f4d70c19273d8bde158941b2e319f8636bd5444f081e206f02c61dc64b,df526534ae189fda22493dcc46805fb7c6b895f5,3336.6198124087514,1937.8548211767688,805.0,287.0,805,287,R01,False,True,processed-semantic-transcript,1,True,True,assets/source-images-restored-v002/S-006.png,"Visually reviewed screenshot assigned to R01: API families, immediate execution, and transaction boundaries"
S-007,IU-007,image-a9d601e94ea0dc2684e5ddc3206ef1816ddb80c8,6fa54d4f6395efacafda2b46c54652fa9b4a8d203b100c7c1c82f3c36effbe01,763183d9e205f5bf607d744e161f28fea349663f,1716.8128273033362,2029.9178110704183,807.0,412.0,807,412,R03,False,True,processed-semantic-transcript,1,True,True,assets/source-images-restored-v002/S-007.png,Visually reviewed screenshot assigned to R03: Dynamic SQL structure and safe raw construction
S-008,IU-008,image-574727886874f1503697baa3e80772d34be9daf9,8166edeb498dd632a96526a9f7a363a72821c0969cc814ca4647e89f6fcabc8e,5ec965ad0e35c863f8b7c71f96a48e4ea63bf46b,595.339878851737,2061.8188286637546,922.0,424.0,922,424,R02,False,True,processed-semantic-transcript,1,True,True,assets/source-images-restored-v002/S-008.png,"Visually reviewed screenshot assigned to R02: FromSql entity queries, tracking, and parameterized values"
S-009,IU-009,image-0f64db38b48a450a621a7b4a04a4b72c5595d580,fcb279d2f906efd805acc989d409e3a74fa0de156023aa2dc52d784264321d79,7f5f8924bce2b5d664d1e1ce468f1b2e1e8d3d7d,3322.8101723417876,2236.569106891055,825.0,421.0,825,421,R03,False,True,processed-semantic-transcript,1,True,True,assets/source-images-restored-v002/S-009.png,Visually reviewed screenshot assigned to R03: Dynamic SQL structure and safe raw construction
S-010,IU-010,image-6e1d9ad249c872a1d21de728463d6e4f4a964a2f,edfc159a57027e288dc5e92a9fdc158997e3661118cdc0ecd1605a89a582c3de,b051da720e80681b14134c9b3332269ef687db65,1730.6937215555681,2455.084506801441,804.0,255.0,804,255,R02,False,True,processed-semantic-transcript,1,True,True,assets/source-images-restored-v002/S-010.png,"Visually reviewed screenshot assigned to R02: FromSql entity queries, tracking, and parameterized values"
