source_id,image_use_id,fileId_short,x,y,width,height,nearest_labels_for_search_only,coverage_status,current_region_decision,current_subregion_decision,decision_is_final,must_recheck_before_region_close,decision_basis,review_notes
S-001,IU-001,d0c86db280,3508.5628242291705,1226.554802358386,810.0,313.0,T-001:Action descriptor | T-005:endpoint metadata | T-002:using methodinfo/method info from | T-003:ctoractiondescriptor | T-007:iendpointnamemetadata,processed-in-aem01-v001,AEM01,AEM01B,yes-for-aem01-v001-boundary,no-for-stage2-next01,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.
S-002,IU-002,359e73b57f,3506.7531841622063,767.0785537534857,886.0,451.0,T-001:Action descriptor | T-005:endpoint metadata | T-002:using methodinfo/method info from | T-003:ctoractiondescriptor | T-007:iendpointnamemetadata,processed-in-aem01-v001,AEM01,AEM01B,yes-for-aem01-v001-boundary,no-for-stage2-next01,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.
S-003,IU-003,9eeba9e782,3511.2689893612396,3331.8483611148868,823.0,164.0,T-003:ctoractiondescriptor | T-002:using methodinfo/method info from | T-005:endpoint metadata | T-001:Action descriptor | T-008:iroutenamemetadata,processed-in-aem01-v001,AEM01,AEM01B,yes-for-aem01-v001-boundary,no-for-stage2-next01,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.
S-004,IU-004,00ef2dce40,3508.943515030882,2943.6896261120883,794.0,360.0,T-003:ctoractiondescriptor | T-005:endpoint metadata | T-002:using methodinfo/method info from | T-001:Action descriptor | T-008:iroutenamemetadata,processed-in-aem01-v001,AEM01,AEM01B,yes-for-aem01-v001-boundary,no-for-stage2-next01,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.
S-005,IU-005,328101fe64,3507.684157306869,2435.866811170682,748.0,482.0,T-005:endpoint metadata | T-003:ctoractiondescriptor | T-002:using methodinfo/method info from | T-001:Action descriptor | T-008:iroutenamemetadata,processed-in-aem01-v001,AEM01,AEM01B,yes-for-aem01-v001-boundary,no-for-stage2-next01,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.
S-006,IU-006,e9734aa47c,3538.943515030882,2128.023061170682,774.0,258.0,T-005:endpoint metadata | T-001:Action descriptor | T-003:ctoractiondescriptor | T-002:using methodinfo/method info from | T-008:iroutenamemetadata,processed-in-aem01-v001,AEM01,AEM01B,yes-for-aem01-v001-boundary,no-for-stage2-next01,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.
S-007,IU-007,594356ce9a,3472.8761530848387,1559.2887864252953,708.0,464.0,T-001:Action descriptor | T-005:endpoint metadata | T-002:using methodinfo/method info from | T-003:ctoractiondescriptor | T-007:iendpointnamemetadata,processed-in-aem01-v001,AEM01,AEM01B,yes-for-aem01-v001-boundary,no-for-stage2-next01,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.
S-008,IU-008,41e1101f92,3393.110334285439,5220.967437798247,769.0,301.0,T-003:ctoractiondescriptor | T-002:using methodinfo/method info from | T-005:endpoint metadata | T-006:ordered metadata | T-008:iroutenamemetadata,processed-in-aem02-v001,AEM02,AEM02A,yes-for-aem02-v001-boundary,no-for-stage3-next02,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.
S-009,IU-009,94a3be02eb,3381.277000952106,4804.189626112045,786.0,419.0,T-003:ctoractiondescriptor | T-002:using methodinfo/method info from | T-005:endpoint metadata | T-006:ordered metadata | T-008:iroutenamemetadata,processed-in-aem02-v001,AEM02,AEM02A,yes-for-aem02-v001-boundary,no-for-stage3-next02,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.
S-010,IU-010,9f4be0682e,3387.388145971637,4425.68967697467,856.0,356.0,T-003:ctoractiondescriptor | T-002:using methodinfo/method info from | T-005:endpoint metadata | T-006:ordered metadata | T-001:Action descriptor,processed-in-aem02-v001,AEM02,AEM02A,yes-for-aem02-v001-boundary,no-for-stage3-next02,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.
S-011,IU-011,4782a5027c,4793.4113795019275,2834.755698848533,696.0,482.0,T-005:endpoint metadata | T-006:ordered metadata | T-001:Action descriptor | T-003:ctoractiondescriptor | T-002:using methodinfo/method info from,processed-in-aem02-v001,AEM02,AEM02B,yes-for-aem02-v001-boundary,no-for-stage3-next02,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.
S-012,IU-012,68da5af80d,4814.328598725107,2326.97793802497,621.0,482.0,T-005:endpoint metadata | T-001:Action descriptor | T-006:ordered metadata | T-009:IApiEndpointMetadata | T-003:ctoractiondescriptor,processed-in-aem02-v001,AEM02,AEM02B,yes-for-aem02-v001-boundary,no-for-stage3-next02,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.
S-013,IU-013,1958f75494,4786.086466632909,1867.1897351034158,804.0,433.0,T-005:endpoint metadata | T-001:Action descriptor | T-009:IApiEndpointMetadata | T-006:ordered metadata | T-003:ctoractiondescriptor,processed-in-aem02-v001,AEM02,AEM02B,yes-for-aem02-v001-boundary,no-for-stage3-next02,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.
S-014,IU-014,3b923bdd2b,4814.340294409136,3600.175171877333,684.0,403.0,T-005:endpoint metadata | T-006:ordered metadata | T-001:Action descriptor | T-003:ctoractiondescriptor | T-002:using methodinfo/method info from,processed-in-aem02-v001,AEM02,AEM02B,yes-for-aem02-v001-boundary,no-for-stage3-next02,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.
S-015,IU-015,6f047fa761,4811.72136304753,4026.818029020188,834.0,464.0,T-006:ordered metadata | T-005:endpoint metadata | T-003:ctoractiondescriptor | T-002:using methodinfo/method info from | T-001:Action descriptor,processed-in-aem02-v001,AEM02,AEM02B,yes-for-aem02-v001-boundary,no-for-stage3-next02,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.
S-016,IU-016,0e39a18bcf,4820.792791618958,4516.365706196509,793.0,403.0,T-006:ordered metadata | T-005:endpoint metadata | T-003:ctoractiondescriptor | T-002:using methodinfo/method info from | T-001:Action descriptor,processed-in-aem02-v001,AEM02,AEM02B,yes-for-aem02-v001-boundary,no-for-stage3-next02,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.
S-017,IU-017,59eda18afc,3452.164682999333,4017.0935746212226,840.0,313.0,T-003:ctoractiondescriptor | T-002:using methodinfo/method info from | T-005:endpoint metadata | T-001:Action descriptor | T-006:ordered metadata,processed-in-aem01-v001,AEM01,AEM01C,yes-for-aem01-v001-boundary,no-for-stage2-next01,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.
