source_id,decision,region,subregion,reason
S-001,processed-in-aem01-v001,AEM01,AEM01B,Earlier pipeline: endpoint metadata not yet available in action filter constructor
S-002,processed-in-aem01-v001,AEM01,AEM01B,Filter context gives selected MVC ActionDescriptor
S-003,processed-in-aem01-v001,AEM01,AEM01B,One important distinction: MVC controllers versus minimal APIs
S-004,processed-in-aem01-v001,AEM01,AEM01B,Middleware after UseRouting can read endpoint; MVC action filter can read ActionDescriptor
S-005,processed-in-aem01-v001,AEM01,AEM01B,Quick examples in controller and filter
S-006,processed-in-aem01-v001,AEM01,AEM01B,Useful ActionDescriptor/ControllerActionDescriptor data
S-007,processed-in-aem01-v001,AEM01,AEM01B,What you can get from ActionDescriptor and ControllerActionDescriptor
S-017,processed-in-aem01-v001,AEM01,AEM01C,Endpoint metadata can also be read from selected endpoint
S-018,processed-in-aem01-v001,AEM01,AEM01C,Endpoint class and Metadata property
S-019,processed-in-aem01-v001,AEM01,AEM01C,Example: read action descriptor and custom attributes
S-020,processed-in-aem01-v001,AEM01,AEM01C,MethodInfo gives access to method-level metadata
S-021,processed-in-aem01-v001,AEM01,AEM01A,ActionDescriptor versus ControllerActionDescriptor overview
S-022,processed-in-aem01-v001,AEM01,AEM01A,Inside MVC code: cast ActionDescriptor to ControllerActionDescriptor
S-023,processed-in-aem01-v001,AEM01,AEM01A,EndpointNameMetadata versus RouteNameMetadata
S-024,processed-in-aem01-v001,AEM01,AEM01A,Route name versus endpoint name in MVC action endpoints
S-025,processed-in-aem01-v001,AEM01,AEM01A,Reading metadata from matched endpoint after routing
S-008,pending-later-transcript,AEM02,AEM02A,not part of NEXT01
S-009,pending-later-transcript,AEM02,AEM02A,not part of NEXT01
S-010,pending-later-transcript,AEM02,AEM02A,not part of NEXT01
S-011,pending-later-transcript,AEM02,AEM02B,not part of NEXT01
S-012,pending-later-transcript,AEM02,AEM02B,not part of NEXT01
S-013,pending-later-transcript,AEM02,AEM02B,not part of NEXT01
S-014,pending-later-transcript,AEM02,AEM02B,not part of NEXT01
S-015,pending-later-transcript,AEM02,AEM02B,not part of NEXT01
S-016,pending-later-transcript,AEM02,AEM02B,not part of NEXT01
S-026,pending-later-transcript,AEM02,AEM02C,not part of NEXT01
S-027,pending-later-transcript,AEM02,AEM02C,not part of NEXT01
S-028,pending-later-transcript,AEM02,AEM02C,not part of NEXT01
S-029,pending-later-transcript,AEM02,AEM02C,not part of NEXT01
S-030,pending-later-transcript,AEM02,AEM02C,not part of NEXT01
S-031,pending-later-transcript,AEM02,AEM02C,not part of NEXT01
S-032,pending-later-transcript,AEM03,AEM03A,not part of NEXT01
S-033,pending-later-transcript,AEM03,AEM03A,not part of NEXT01
S-034,pending-later-transcript,AEM03,AEM03A,not part of NEXT01
S-035,pending-later-transcript,AEM03,AEM03B,not part of NEXT01
S-036,pending-later-transcript,AEM03,AEM03B,not part of NEXT01
