source_id,symbol_id,file_sha,x,y,width,height,region,status
S-001,image-ec5f76f401bc2b27e7ca54dfb8d7a693cca7f78c,12cb080300,87.68513997395803,2903.346934131055,829.0,109.0,R03,closed-by-final-transcript
S-002,image-ec7586281bec022af5514a251693d6b368c9a898,1b0389c265,143.54673611111093,2381.8758919218376,569.0,482.0,R03,closed-by-final-transcript
S-003,image-38a0beebe90c86cacd99cb34e2c12eaddb94442b,dc237f3b4e,64.53743862784768,1870.7647129938991,804.0,482.0,R02,closed-by-final-transcript
S-004,image-7973827ee2054e4405452ec9a3daee09f0ff1c50,f6b1941a74,104.77910222578612,1349.2832541180392,661.0,482.0,R02,closed-by-final-transcript
S-005,image-f0d6608f0d07edec24a499042fb3cb52238d8a5f,d90032f2e6,69.35180664062455,953.1617263402727,759.0,359.0,R01,closed-by-final-transcript
S-006,image-71aca5e7228b768744ca3de1dd13a0b4aab20182,9073cc08c1,68.18513997395848,495.8283930069442,708.0,447.0,R01,closed-by-final-transcript
S-007,image-23f94d13c87ffe3b04b358c40f61af15bd2984e1,b5f466b96f,10.0,141.14325303299074,854.0,306.0,R01,closed-by-final-transcript
S-008,image-dd41c73f717fef9e71cc5068d448c9522fd52533,3f2dadc562,1183.630006542871,1868.4878016475845,502.0,354.0,R02,closed-by-final-transcript
S-009,image-434639654687a270ea9fd1ecd8350b2d3018101d,140135a9ef,1160.4070160793435,1545.7724481721812,649.0,298.0,R02,closed-by-final-transcript
S-010,image-a6026b398fa4b50b37a22561c8347eed3a87d12b,b7d13890d8,2410.2017412619357,1263.8451771460213,846.0,279.0,R02,closed-by-final-transcript
S-011,image-4a61e028fe79a964878f68054f4cf0b3cd154dd6,fbb1138b97,2459.6341141266116,725.5657598030202,625.0,482.0,R01,closed-by-final-transcript
S-012,image-3be97e135c74b6391049f20153de67bc25d2efd4,f221913ae2,2418.443791151295,207.7103190697935,821.0,482.0,R01,closed-by-final-transcript
