source_id,region,x,y,text
T001,R01,317.7506217906148,10.0,DONT MAKE OBJECTS WITH MUTABLE
T002,R01,317.7506217906148,10.0,PROPS - KEY OF DICT/EL OF HASHSET
T003,R02,3125.4258922163717,16.63386160653954,"hashcode,hashcode"
T004,R02,3125.4258922163717,16.63386160653954,combine
T005,R03,6026.254349657503,103.23402066338076,hashcode struct
T006,R03,6026.254349657503,103.23402066338076,incr adding
T007,R02,1992.0116017530563,113.82062872580627,some considerations
T008,R02,1992.0116017530563,113.82062872580627,dont use mutable fields if obj
T009,R02,1992.0116017530563,113.82062872580627,is dict key
T010,R04,8080.952651470979,121.55407860802643,hashcode in a loop
T011,R04,8080.952651470979,121.55407860802643,example
T012,R03,4568.74479808017,427.69111218516355,handles null fine
T013,R01,10.0,573.9332698207918,compute hash once
T014,R01,10.0,573.9332698207918,place in bucket
T015,R01,10.0,573.9332698207918,dont recompute on mutation
T016,R01,10.0,573.9332698207918,hashtable gets different hash
T017,R01,10.0,573.9332698207918,when we pass mutated obj as key
T018,R01,10.0,573.9332698207918,searches different bucket
T019,R03,5353.970262509557,1809.0526737315613,conditional logic
