text_id,dom_group_index,x,y,group_x,group_y,rotation,font_size,fill,text
T-001,28,6496.950135057842,239.79699931936528,6496.950135057842,132.90233265269853,0.0,121.33333333333344px,#d3d3d3,tosqlquery vs toview
T-002,29,4569.542569411141,437.5748110055635,4569.542569411141,330.68014433889675,0.0,121.33333333333344px,#d3d3d3,Ef core view flow
T-003,30,3137.6908712774602,187.37133788137743,3137.6908712774602,123.93931995738649,0.0,72.00002034505214px,#d3d3d3,concept of views
T-004,30,3137.6908712774602,277.37136331269255,3137.6908712774602,123.93931995738649,0.0,72.00002034505214px,#d3d3d3,depend on uderl tables
T-005,30,3137.6908712774602,367.37138874400773,3137.6908712774602,123.93931995738649,0.0,72.00002034505214px,#d3d3d3,usually readonly
T-006,30,3137.6908712774602,457.3714141753229,3137.6908712774602,123.93931995738649,0.0,72.00002034505214px,#d3d3d3,not physically stored until indexed
T-007,31,1857.4310977258165,133.4749027879061,1857.4310977258165,23.05622843952915,0.0,125.33334205264126px,#d3d3d3,good for view
T-008,32,1789.8120791711285,416.9644513718908,1789.8120791711285,353.53243344789985,0.0,72.00002034505214px,#d3d3d3,"multiple sources,"
T-009,32,1789.8120791711285,506.9644768032059,1789.8120791711285,353.53243344789985,0.0,72.00002034505214px,#d3d3d3,aggregated into one domain
T-010,33,1875.5262776923341,934.1072649182075,1875.5262776923341,870.6752469942166,0.0,72.00002034505214px,#d3d3d3,hide ugly queries
T-011,34,575.6126464017493,485.449237764697,575.6126464017493,422.01721984070605,0.0,72.00002034505214px,#d3d3d3,hiding bad queries
T-012,35,587.7338955139653,910.9037832192424,587.7338955139653,847.4717652952515,0.0,72.00002034505214px,#d3d3d3,to much buisness logic
T-013,36,596.2186700168068,1367.8735541709473,596.2186700168068,1304.4415362469563,0.0,72.00002034505214px,#d3d3d3,overusing for simple queries
T-014,37,566.6948314286369,1847.8735541709473,566.6948314286369,1784.4415362469563,0.0,72.00002034505214px,#d3d3d3,expecting normal entity behav
T-015,38,1856.4786877090746,1956.0120413551497,1856.4786877090746,1892.5800234311587,0.0,72.00002034505214px,#d3d3d3,"Security, allow to work with"
T-016,38,1856.4786877090746,2046.0120667864649,1856.4786877090746,1892.5800234311587,0.0,72.00002034505214px,#d3d3d3,"some viewed data, not with"
T-017,38,1856.4786877090746,2136.01209221778,1856.4786877090746,1892.5800234311587,0.0,72.00002034505214px,#d3d3d3,sources
T-018,39,1932.0342703913657,2524.01204135515,1932.0342703913657,2460.580023431159,0.0,72.00002034505214px,#d3d3d3,legacy
T-019,40,1895.5897716934496,2838.6787487119204,1895.5897716934496,2775.2467307879297,0.0,72.00002034505214px,#d3d3d3,"stable read api, sources"
T-020,40,1895.5897716934496,2928.678774143236,1895.5897716934496,2775.2467307879297,0.0,72.00002034505214px,#d3d3d3,"can change, evolve"
T-021,41,3232.2564892227465,3038.6787487119204,3232.2564892227465,2975.2467307879297,0.0,72.00002034505214px,#d3d3d3,can views be updated?
T-022,42,3244.564181530439,2388.4223541055503,3244.564181530439,2324.9903361815595,0.0,72.00002034505214px,#d3d3d3,"stored or not, indexes views"
T-023,43,508.5998512135393,158.0080179239909,508.5998512135393,10.0,0.0,168.0000203450521px,#d3d3d3,bad for view
T-024,44,7508.805051050452,4856.776440050446,7508.805051050452,4708.768422126454,0.0,168.0000203450521px,#d3d3d3,Indexed views
T-025,47,358.03189210539676,5393.008815653912,358.03189210539676,5309.607482320578,0.0,94.6666666666672px,#d3d3d3,view/indexed view
T-026,47,358.03189210539676,5511.342148987246,358.03189210539676,5309.607482320578,0.0,94.6666666666672px,#d3d3d3,with material dependent
