text_id,text,candidate_region,theme
T-001,!!! processingn stream,PDS03,canvas text label / local note
T-002,so how do we process bytes in loops in different situations?,PDS03,canvas text label / local note
T-013,in controller endp,PDS01,canvas text label / local note
T-014,"readasync, when returns 0 - the end of request",PDS01,canvas text label / local note
T-015,if  there is some network error abort request will be fired,PDS01,canvas text label / local note
T-016,"or can use readexactly/readatleast for some special behavior, we",PDS01,canvas text label / local note
T-017,need buffer here to write available or specified number of bytes,PDS01,canvas text label / local note
T-020,processing chunk by chunk with httpclient,PDS03,canvas text label / local note
T-033,need to catch ioexception too,PDS01,canvas text label / local note
T-034,to get it from steram failure,PDS01,canvas text label / local note
T-035,when using streams,PDS01,canvas text label / local note
T-036,controller asp,PDS01,canvas text label / local note
T-040,"stream, reading bytes",PDS01,canvas text label / local note
