source_id,decision,region,subregion,reason
S-001,processed-in-pds03-v001,PDS03,PDS03A,HttpClient streaming response with ResponseHeadersRead
S-002,processed-in-pds03-v001,PDS03,PDS03A,"ResponseHeadersRead means headers first, body streamed later"
S-003,processed-in-pds03-v001,PDS03,PDS03A,Full stream copy loop example
S-004,processed-in-pds03-v001,PDS03,PDS03A,Practical rules for chunk processing
S-006,processed-in-pds01-v001,PDS01,PDS01A,Request body stream: ReadAsync returns 0 at end
S-007,processed-in-pds01-v001,PDS01,PDS01A,Endpoint request-body loop using ReadAsync
S-011,processed-in-pds03-v001,PDS03,PDS03B,Practical mental model: layers and message boundaries
S-014,processed-in-pds01-v001,PDS01,PDS01B,Request stream exceptions and aborts
S-015,processed-in-pds01-v001,PDS01,PDS01B,Practical rule for stream exceptions
S-016,processed-in-pds01-v001,PDS01,PDS01B,Which exceptions to catch for different APIs
S-005,pending-later-transcript,PDS02,PDS02A,not part of NEXT01
S-008,pending-later-transcript,PDS02,PDS02B,not part of NEXT01
S-009,pending-later-transcript,PDS02,PDS02B,not part of NEXT01
S-010,pending-later-transcript,PDS02,PDS02C,not part of NEXT01
S-012,pending-later-transcript,PDS02,PDS02D,not part of NEXT01
S-013,pending-later-transcript,PDS02,PDS02D,not part of NEXT01
S-017,pending-later-transcript,PDS04,PDS04A,not part of NEXT01
S-018,pending-later-transcript,PDS04,PDS04A,not part of NEXT01
S-019,pending-later-transcript,PDS04,PDS04A,not part of NEXT01
S-020,pending-later-transcript,PDS04,PDS04A,not part of NEXT01
S-021,pending-later-transcript,PDS04,PDS04A,not part of NEXT01
S-022,pending-later-transcript,PDS04,PDS04B,not part of NEXT01
S-023,pending-later-transcript,PDS04,PDS04B,not part of NEXT01
