source_id,decision,candidate_type,assigned_region,reason
S-035,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-037,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-038,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-045,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-048,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-049,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-052,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-055,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-057,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-059,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-061,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-063,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-069,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-070,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-072,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-077,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-079,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-082,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-086,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-087,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-090,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-092,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-098,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-100,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-101,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-103,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-105,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-108,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
