region_source_id,source_id,fileId_short,initial_candidate_band,region_decision,status,readability,theme,verified_visible_text_or_gist,code_intent_if_visible,x,y,width,height,notes
R01-S001,S-001,3fb4712723,R01-left-testing-create-jsonpatch-shortcuts,R01,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Demo title: Creating a resource,Demo: Creating a resource,,4318.064,493.595,1114.0,369.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R01-S002,S-002,8f3371b543,R01-left-testing-create-jsonpatch-shortcuts,R01,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,HttpMessageHandler vs DelegatingHandler mental model for testing/custom handlers,Testing/custom-handler road: HttpClient can be tested by replacing the transport handler. HttpMessageHandler is the base handler that sends HttpRequestMessage and returns HttpResponseMessage; DelegatingHandler wraps another handler and behaves like outgoing middleware. Tests can use a stub handler and request headers to control canned responses.,,39.517,497.856,760.0,482.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R01-S003,S-003,e3fca9bd34,R01-left-testing-create-jsonpatch-shortcuts,R01,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Custom StubHttpMessageHandler for unit testing,Testing/custom-handler road: HttpClient can be tested by replacing the transport handler. HttpMessageHandler is the base handler that sends HttpRequestMessage and returns HttpResponseMessage; DelegatingHandler wraps another handler and behaves like outgoing middleware. Tests can use a stub handler and request headers to control canned responses.,"public sealed class StubHttpMessageHandler : HttpMessageHandler
{
    private readonly Func<HttpRequestMessage, HttpResponseMessage> _handler;
    protected override Task<HttpResponseMessage> SendAsync(HttpRequestMessage request, CancellationToken cancellationToken)
        => Task.FromResult(_handler(request));
}",926.46,508.097,695.0,482.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R01-S004,S-005,9976193b53,R01-left-testing-create-jsonpatch-shortcuts,R01,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Why call response.EnsureSuccessStatusCode(),"EnsureSuccessStatusCode checks HTTP 2xx and throws HttpRequestException for non-success. It fails fast before deserializing error bodies, centralizes error handling, and prevents silent null/default results.",,3155.014,864.577,837.0,409.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R01-S005,S-009,51c71f9000,R01-left-testing-create-jsonpatch-shortcuts,R01,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,StringContent for string payloads,"Request/content construction road: use StringContent when you already have a JSON string, JsonContent when it is suitable, set Accept and Content-Type deliberately, send the request, ensure success, then read and deserialize response content. Avoid manual StringContent if a higher-level helper is clearer or if request-specific headers require HttpRequestMessage.","request.Content = new StringContent(json, Encoding.UTF8, ""application/json"");",5474.552,996.45,942.0,237.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R01-S006,S-010,53815676e5,R01-left-testing-create-jsonpatch-shortcuts,R01,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,DelegatingHandler as outgoing middleware wrapper,Testing/custom-handler road: HttpClient can be tested by replacing the transport handler. HttpMessageHandler is the base handler that sends HttpRequestMessage and returns HttpResponseMessage; DelegatingHandler wraps another handler and behaves like outgoing middleware. Tests can use a stub handler and request headers to control canned responses.,"public sealed class AddHeaderHandler : DelegatingHandler
{
    protected override Task<HttpResponseMessage> SendAsync(HttpRequestMessage request, CancellationToken ct)
    {
        request.Headers.Add(""X-App"", ""MyService"");
        return base.SendAsync(request, ct);
    }
}",15.115,997.851,800.0,482.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R01-S007,S-011,759199bd50,R01-left-testing-create-jsonpatch-shortcuts,R01,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,"CreateMovieAsync: serialize DTO, POST, StringContent, EnsureSuccessStatusCode, deserialize response","Request/content construction road: use StringContent when you already have a JSON string, JsonContent when it is suitable, set Accept and Content-Type deliberately, send the request, ensure success, then read and deserialize response content. Avoid manual StringContent if a higher-level helper is clearer or if request-specific headers require HttpRequestMessage.","var jsonText = JsonSerializer.Serialize(dto, _json);
using var request = new HttpRequestMessage(HttpMethod.Post, ""api/movies"");
request.Headers.Accept.Add(new MediaTypeWithQualityHeaderValue(""application/json""));
request.Content = new StringContent(jsonText, Encoding.UTF8, ""application/json"");
using var response = await _http.SendAsync(request, ct);
response.EnsureSuccessStatusCode();
var responseJson = await response.Content.ReadAsStringAsync(ct);
return JsonSerializer.Deserialize<MovieDto>(responseJson, _json) ?? throw new InvalidOperationException(""Server returned empty response."");",4405.351,1019.968,799.0,402.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R01-S008,S-012,899275bdc4,R01-left-testing-create-jsonpatch-shortcuts,R01,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Fake handler in tests: header controls stub behavior,Testing/custom-handler road: HttpClient can be tested by replacing the transport handler. HttpMessageHandler is the base handler that sends HttpRequestMessage and returns HttpResponseMessage; DelegatingHandler wraps another handler and behaves like outgoing middleware. Tests can use a stub handler and request headers to control canned responses.,,921.485,1050.46,828.0,482.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R01-S009,S-013,eae241cd1a,R01-left-testing-create-jsonpatch-shortcuts,R01,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,JsonContent as often-best JSON content helper,"Request/content construction road: use StringContent when you already have a JSON string, JsonContent when it is suitable, set Accept and Content-Type deliberately, send the request, ensure success, then read and deserialize response content. Avoid manual StringContent if a higher-level helper is clearer or if request-specific headers require HttpRequestMessage.","request.Content = JsonContent.Create(dto, options: jsonOptions, mediaType: ""application/json"");",5459.931,1270.041,867.0,228.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R01-S010,S-017,e7694c37c4,R01-left-testing-create-jsonpatch-shortcuts,R01,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,When not to use StringContent manually,"Request/content construction road: use StringContent when you already have a JSON string, JsonContent when it is suitable, set Accept and Content-Type deliberately, send the request, ensure success, then read and deserialize response content. Avoid manual StringContent if a higher-level helper is clearer or if request-specific headers require HttpRequestMessage.",,3153.348,1293.911,811.0,273.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R01-S011,S-020,a390fb1d24,R01-left-testing-create-jsonpatch-shortcuts,R01,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,"Key differences: purpose, position in chain, use cases for handlers",Testing/custom-handler road: HttpClient can be tested by replacing the transport handler. HttpMessageHandler is the base handler that sends HttpRequestMessage and returns HttpResponseMessage; DelegatingHandler wraps another handler and behaves like outgoing middleware. Tests can use a stub handler and request headers to control canned responses.,,10.0,1502.361,853.0,411.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R01-S012,S-021,02556c5bf1,R01-left-testing-create-jsonpatch-shortcuts,R01,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Test setup using factory client with fake handler / test scenario header,Testing/custom-handler road: HttpClient can be tested by replacing the transport handler. HttpMessageHandler is the base handler that sends HttpRequestMessage and returns HttpResponseMessage; DelegatingHandler wraps another handler and behaves like outgoing middleware. Tests can use a stub handler and request headers to control canned responses.,,915.932,1553.263,915.0,359.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R01-S013,S-022,595c530b7e,R01-left-testing-create-jsonpatch-shortcuts,R01,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Demo title: Updating a resource,Demo: Updating a resource,,4335.761,1609.244,996.0,369.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R01-S014,S-032,4d24af0060,R01-left-testing-create-jsonpatch-shortcuts,R01,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Update resource with PUT using serialized content and response handling,"Request/content construction road: use StringContent when you already have a JSON string, JsonContent when it is suitable, set Accept and Content-Type deliberately, send the request, ensure success, then read and deserialize response content. Avoid manual StringContent if a higher-level helper is clearer or if request-specific headers require HttpRequestMessage.",,6115.407,2046.426,782.0,459.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R01-S015,S-036,90f64b764a,R01-left-testing-create-jsonpatch-shortcuts,R01,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Typed client update method with request message and response handling,"Request/content construction road: use StringContent when you already have a JSON string, JsonContent when it is suitable, set Accept and Content-Type deliberately, send the request, ensure success, then read and deserialize response content. Avoid manual StringContent if a higher-level helper is clearer or if request-specific headers require HttpRequestMessage.",,4420.629,2093.024,764.0,367.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R01-S016,S-050,4790046314,R01-left-testing-create-jsonpatch-shortcuts,R01,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Demo title: Deleting a resource,Demo: Deleting a resource,,4292.151,2581.466,1113.0,369.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R01-S017,S-060,a9ad00af65,R01-left-testing-create-jsonpatch-shortcuts,R01,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Delete method: send DELETE and ensure success / return no content,"Request/content construction road: use StringContent when you already have a JSON string, JsonContent when it is suitable, set Accept and Content-Type deliberately, send the request, ensure success, then read and deserialize response content. Avoid manual StringContent if a higher-level helper is clearer or if request-specific headers require HttpRequestMessage.",,4444.406,3068.913,792.0,273.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R01-S018,S-073,c581be05ae,R01-left-testing-create-jsonpatch-shortcuts,R01,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Demo title: Using shortcuts,Demo: Using shortcuts,,4340.251,3511.737,993.0,369.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R01-S019,S-089,9523f5e209,R01-left-testing-create-jsonpatch-shortcuts,R01,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,PostAsync shortcut example using StringContent,"Shortcut/PATCH road: PostAsync/PutAsync/PatchAsync convenience APIs can be concise, but specialized media types such as application/json-patch+json and per-request headers often require explicit HttpRequestMessage/request content setup.",,4461.649,4109.032,894.0,244.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R01-S020,S-094,d603550ef4,R01-left-testing-create-jsonpatch-shortcuts,R01,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,PutAsync shortcut example using StringContent,"Shortcut/PATCH road: PostAsync/PutAsync/PatchAsync convenience APIs can be concise, but specialized media types such as application/json-patch+json and per-request headers often require explicit HttpRequestMessage/request content setup.",,4422.328,4417.97,864.0,236.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R01-S021,S-102,26a5848998,R01-left-testing-create-jsonpatch-shortcuts,R01,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,PatchAsync shortcut example / media-type issue for JSON Patch,"Shortcut/PATCH road: PostAsync/PutAsync/PatchAsync convenience APIs can be concise, but specialized media types such as application/json-patch+json and per-request headers often require explicit HttpRequestMessage/request content setup.",,4359.297,4765.519,995.0,173.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R01-S022,S-112,1fd653dc23,R01-left-testing-create-jsonpatch-shortcuts,R01,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Demo title: Partially updating resources,Demo: Partially updating resources,,4576.124,5410.887,1108.0,369.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R01-S023,S-120,1f8b489c03,R01-left-testing-create-jsonpatch-shortcuts,R01,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,JsonPatchDocument + operations / package setup,"JSON Patch road: partial updates use JsonPatchDocument operations and PATCH rather than replacing the whole resource. The source emphasizes Json.NET support, typed/untyped patch documents, patch operations such as replace/add, and the caveat that APIs must support advanced patch scenarios.",,4616.822,5868.152,1005.0,369.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R01-S024,S-129,9fb2a4e1c5,R01-left-testing-create-jsonpatch-shortcuts,R01,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,JSON Patch NuGet/package reference,"JSON Patch road: partial updates use JsonPatchDocument operations and PATCH rather than replacing the whole resource. The source emphasizes Json.NET support, typed/untyped patch documents, patch operations such as replace/add, and the caveat that APIs must support advanced patch scenarios.",,4621.616,6408.169,749.0,86.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R01-S025,S-131,7b80c37d41,R01-left-testing-create-jsonpatch-shortcuts,R01,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Patch typed client method skeleton / PatchAsync,"JSON Patch road: partial updates use JsonPatchDocument operations and PATCH rather than replacing the whole resource. The source emphasizes Json.NET support, typed/untyped patch documents, patch operations such as replace/add, and the caveat that APIs must support advanced patch scenarios.",,4569.864,6556.505,979.0,235.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R01-S026,S-137,e3063a210c,R01-left-testing-create-jsonpatch-shortcuts,R01,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Build JsonPatchDocument operations in code,"JSON Patch road: partial updates use JsonPatchDocument operations and PATCH rather than replacing the whole resource. The source emphasizes Json.NET support, typed/untyped patch documents, patch operations such as replace/add, and the caveat that APIs must support advanced patch scenarios.",,4612.419,6952.672,885.0,316.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
