source_id,image_use,href,asset_sha,x,y,width,height,opacity,region
S-001,U-001,image-933d4bc862e62accea9351e4eeb3d21ba7ed86de,0cb619341f47c28f0de11cbb4c006f0f43826b31,2151.4452421695682,547.1348945885006,794.0,413.0,1,R01
S-002,U-002,image-45cbc631ca23840a1456d7a6e85dd639b42064a4,3f6b3a0fffbf09130d1cef908bd377a4896c9760,2152.111959698865,975.301490047485,746.0,382.0,1,R01
S-003,U-003,image-e134252885a295eec2ed24e9f10434ae6081d583,44f4c5d19ca0086228c2569c41207a496076c2c3,2106.111959698865,1376.6348030357663,918.0,350.0,1,R01
S-004,U-004,image-c73d76ba26e3e29eaeb0ecca7a089578b9da5bcd,341d21df93e84af8f61c1bf00adfbdc974c671e6,2120.611959698865,1734.301490047485,953.0,320.0,1,R01
S-005,U-005,image-8dbde033725173beaf02f69d844ddba1a1e6ddda,b47713dbcda5d49fee9b50495cfd7afc59957eb6,2140.4453337223026,2075.9681160240475,964.0,346.0,1,R01
S-006,U-006,image-0537b546f3925f7546415b3397981263b8370a79,7077f6df5878daaf94f60c2ec9f3a6a9bf518fab,3141.3458893807233,590.8018590101678,937.0,296.0,1,R01
S-007,U-007,image-4cd6f8c2d1630ce2bc272c3e3c847fd7286d0e7d,d34066da6eab4955ae0282528594a11947daebd8,3133.368462751688,906.959552006902,923.0,482.0,1,R01
S-008,U-008,image-308876e629dc8997fa9e3b6444b36bc9dea35223,c45c4ffa30724fff60346e9d651270400b635519,210.48609937983383,466.3799209030208,907.0,236.0,1,R01
S-009,U-009,image-ada99c111794a6f1f514c21fb5a4e0c228c6c72c,2fa13eba17270130032d57601c1aace1f937e0b6,158.96018559635104,746.7282429910942,998.0,181.0,1,R01
S-010,U-010,image-3e3aa58ebfc08abaae4b803e9235ac93d32a664c,07735a0ec4c6ab46b36941a1e508a2bdab6df6a4,133.687458323624,946.1827329591347,874.0,153.0,1,R01
