symbol_id,file_sha256_12,x,y,width,height,rotation,source_id,image_use_id,candidate_region,source_image_path
image-e9bf3bf88f021fe0eabd45c588989a0f01584a89,ca55672e01b8,133.9552468526981,415.62635884320844,951.0,232.0,0.0,S-001,IU-001,R01,source/images/ca55672e01b8.png
image-588969a8f7c6706a7498f304a83c11d0e7af272e,bc0ff474b40e,3270.303819698096,421.1720883486705,993.0,340.0,0.0,S-002,IU-002,R01,source/images/bc0ff474b40e.png
image-e096b7cd5ae1b9f62eab7efc9664d6aceea054ce,9b8ffded2537,2086.939702251555,458.78871735844587,920.0,414.0,0.0,S-003,IU-003,R01,source/images/9b8ffded2537.png
image-4b65f40cbda56b69d4a02f7201330bb3cffe1fea,7cbc160457a7,4582.976377531517,491.73301623100997,1005.0,482.0,0.0,S-004,IU-004,R01,source/images/7cbc160457a7.png
image-b6f1f2d8b8494b2d3ddeeb8584a5300d0db6fd18,8e0f36733be7,5784.094308773774,493.4216261061956,1027.0,304.0,0.0,S-005,IU-005,R01,source/images/8e0f36733be7.png
image-0e224d80f490e3980f316b5089dea145687e0fe5,818079533045,140.1218728292606,671.9596107963334,816.0,418.0,0.0,S-006,IU-006,R01,source/images/818079533045.png
image-1fd1fab4686b61a9af6ff60bcbdf29bd24484465,2d8032f70447,3252.025906286637,828.7832333682018,994.0,267.0,0.0,S-007,IU-007,R01,source/images/2d8032f70447.png
image-4efed14ea97d68e7c33618ab6a2975666db01a59,26c32c095e18,5784.46458872169,843.1992682502969,887.0,360.0,0.0,S-008,IU-008,R01,source/images/26c32c095e18.png
image-22860d85a02211f7c95dde279ddf55e9900d0723,005f839be142,4539.15114084113,998.5407138739465,1023.0,168.0,0.0,S-009,IU-009,R02,source/images/005f839be142.png
image-5d768ad42e097b441fcbea3cd5e993406fa44913,1b0f3c883e24,147.7886208761356,1085.9596718314897,862.0,398.0,0.0,S-010,IU-010,R02,source/images/1b0f3c883e24.png
image-865de4e33ede464e1679baf07418d1ed43e8725a,007135172361,3227.303819698096,1114.1164649762723,1039.0,403.0,0.0,S-011,IU-011,R02,source/images/007135172361.png
image-e4fda0c64306503c4e3ee5c477f8c9d33291aa19,6ad17732df11,4588.004465508178,1200.9852634344934,960.0,383.0,0.0,S-012,IU-012,R02,source/images/6ad17732df11.png
image-ea99292f56de731e77c039c3dd23ced32fefd549,5fe6a87fd246,128.6219948995731,1494.292984819771,935.0,360.0,0.0,S-013,IU-013,R02,source/images/5fe6a87fd246.png
image-931a9f856c3598ac2db92566e15a7da48342cf40,8be1cd1c290f,3244.4941796311323,1551.0847819173105,957.0,277.0,0.0,S-014,IU-014,R02,source/images/8be1cd1c290f.png
image-a45a0eb645e0c309ba1517821b22dab180c1964b,a146aa856d6d,4608.001806603634,1576.9585727207595,914.0,291.0,0.0,S-015,IU-015,R02,source/images/a146aa856d6d.png
image-9e340d83da202be6d1b298a4135fd23a7f4c29c9,b562268f10de,133.4552468526981,1835.1262367728814,816.0,337.0,0.0,S-016,IU-016,R02,source/images/b562268f10de.png
image-4e8fe909a98553465636cfc6b4b4d2149a4b45b3,90a4b6505fa4,4580.427777740786,1893.4586405375994,1061.0,218.0,0.0,S-017,IU-017,R02,source/images/90a4b6505fa4.png
image-a1f0d8c070e913d2552239eff23bf4038edef49f,c34ab20eb4e2,152.81240714845808,2155.935841962626,879.0,239.0,0.0,S-018,IU-018,R02,source/images/c34ab20eb4e2.png
image-2e9880915bab9181a48b8ef332072043dd765abf,65eabbeb7e81,77.66953256698434,2388.435841962626,1019.0,326.0,0.0,S-019,IU-019,R03,source/images/65eabbeb7e81.png
image-d696823e6d57d7f4744e858b291f089fb237bb2b,1a13babe4f21,4601.649864329329,2407.588360589689,1063.0,409.0,0.0,S-020,IU-020,R03,source/images/1a13babe4f21.png
image-1d780b3899ff4792f5c316dcad1b6e1540e96a77,596c26a3783c,48.598103995553174,2783.6263326852823,900.0,248.0,0.0,S-021,IU-021,R03,source/images/596c26a3783c.png
image-ac3e81e44d8d8a75f79efa0827ae2158e40ac53e,904fbc069ff9,4629.662166676775,2878.7412145682574,919.0,416.0,0.0,S-022,IU-022,R03,source/images/904fbc069ff9.png
image-f5a0679c13f09fdf7aa73d9ce12d17929c8f8246,2b9e89b1c4f7,51.08418933878238,3020.2453512399698,758.0,430.0,0.0,S-023,IU-023,R03,source/images/2b9e89b1c4f7.png
image-5f1cb2bc1117d4cea5da1bb3994af32637b610b7,bc963cd8774d,47.495717850104484,3542.1501276768868,811.0,555.0,0.0,S-024,IU-024,R03,source/images/bc963cd8774d.png
