region,source_id,image_use_id,file_sha256_12,x,y,width,height,stage1_status,source_image_path
R01,S-001,IU-001,ca55672e01b8,133.9552468526981,415.62635884320844,951.0,232.0,verified-semantic-transcript,source/images/ca55672e01b8.png
R01,S-002,IU-002,bc0ff474b40e,3270.303819698096,421.1720883486705,993.0,340.0,verified-semantic-transcript,source/images/bc0ff474b40e.png
R01,S-003,IU-003,9b8ffded2537,2086.939702251555,458.78871735844587,920.0,414.0,verified-semantic-transcript,source/images/9b8ffded2537.png
R01,S-004,IU-004,7cbc160457a7,4582.976377531517,491.73301623100997,1005.0,482.0,verified-semantic-transcript,source/images/7cbc160457a7.png
R01,S-005,IU-005,8e0f36733be7,5784.094308773774,493.4216261061956,1027.0,304.0,verified-semantic-transcript,source/images/8e0f36733be7.png
R01,S-006,IU-006,818079533045,140.1218728292606,671.9596107963334,816.0,418.0,verified-semantic-transcript,source/images/818079533045.png
R01,S-007,IU-007,2d8032f70447,3252.025906286637,828.7832333682018,994.0,267.0,verified-semantic-transcript,source/images/2d8032f70447.png
R01,S-008,IU-008,26c32c095e18,5784.46458872169,843.1992682502969,887.0,360.0,verified-semantic-transcript,source/images/26c32c095e18.png
R02,S-009,IU-009,005f839be142,4539.15114084113,998.5407138739465,1023.0,168.0,verified-semantic-transcript,source/images/005f839be142.png
R02,S-010,IU-010,1b0f3c883e24,147.7886208761356,1085.9596718314897,862.0,398.0,verified-semantic-transcript,source/images/1b0f3c883e24.png
R02,S-011,IU-011,007135172361,3227.303819698096,1114.1164649762723,1039.0,403.0,verified-semantic-transcript,source/images/007135172361.png
R02,S-012,IU-012,6ad17732df11,4588.004465508178,1200.9852634344934,960.0,383.0,verified-semantic-transcript,source/images/6ad17732df11.png
R02,S-013,IU-013,5fe6a87fd246,128.6219948995731,1494.292984819771,935.0,360.0,verified-semantic-transcript,source/images/5fe6a87fd246.png
R02,S-014,IU-014,8be1cd1c290f,3244.4941796311323,1551.0847819173105,957.0,277.0,verified-semantic-transcript,source/images/8be1cd1c290f.png
R02,S-015,IU-015,a146aa856d6d,4608.001806603634,1576.9585727207595,914.0,291.0,verified-semantic-transcript,source/images/a146aa856d6d.png
R02,S-016,IU-016,b562268f10de,133.4552468526981,1835.1262367728814,816.0,337.0,verified-semantic-transcript,source/images/b562268f10de.png
R02,S-017,IU-017,90a4b6505fa4,4580.427777740786,1893.4586405375994,1061.0,218.0,verified-semantic-transcript,source/images/90a4b6505fa4.png
R02,S-018,IU-018,c34ab20eb4e2,152.81240714845808,2155.935841962626,879.0,239.0,verified-semantic-transcript,source/images/c34ab20eb4e2.png
R03,S-019,IU-019,65eabbeb7e81,77.66953256698434,2388.435841962626,1019.0,326.0,verified-semantic-transcript,source/images/65eabbeb7e81.png
R03,S-020,IU-020,1a13babe4f21,4601.649864329329,2407.588360589689,1063.0,409.0,verified-semantic-transcript,source/images/1a13babe4f21.png
R03,S-021,IU-021,596c26a3783c,48.598103995553174,2783.6263326852823,900.0,248.0,verified-semantic-transcript,source/images/596c26a3783c.png
R03,S-022,IU-022,904fbc069ff9,4629.662166676775,2878.7412145682574,919.0,416.0,verified-semantic-transcript,source/images/904fbc069ff9.png
R03,S-023,IU-023,2b9e89b1c4f7,51.08418933878238,3020.2453512399698,758.0,430.0,verified-semantic-transcript,source/images/2b9e89b1c4f7.png
R03,S-024,IU-024,bc963cd8774d,47.495717850104484,3542.1501276768868,811.0,555.0,verified-semantic-transcript,source/images/bc963cd8774d.png
