region,source_id,image_use_id,file_sha,x,y,width,height,stage1_status,region_meaning
R01,S-001,IU-001,47885bcf36bb,3207.1355576227847,280.0267206413687,827.0,395.0,verified-semantic-transcript,"converter activation, optional/convention setup, base converter flow"
R01,S-002,IU-002,83cb5e878199,1203.5542513144137,428.879399598718,1059.0,423.0,verified-semantic-transcript,"converter activation, optional/convention setup, base converter flow"
R01,S-003,IU-003,e583387153b9,10.0,603.6935913727248,914.0,394.0,verified-semantic-transcript,"converter activation, optional/convention setup, base converter flow"
R01,S-004,IU-004,117abc63488d,3187.884959037696,701.9162311088548,774.0,482.0,verified-semantic-transcript,"converter activation, optional/convention setup, base converter flow"
R01,S-005,IU-005,fa1504616c1d,1183.8372165960664,918.6757250401024,1278.0,374.0,verified-semantic-transcript,"converter activation, optional/convention setup, base converter flow"
R01,S-006,IU-006,2ac51854210a,29.81646836406071,1019.6110143512815,857.0,255.0,verified-semantic-transcript,"converter activation, optional/convention setup, base converter flow"
R01,S-007,IU-007,268e283e623b,3160.655668052244,1187.5354327690038,846.0,477.0,verified-semantic-transcript,"converter activation, optional/convention setup, base converter flow"
R01,S-008,IU-008,b2294167a3d0,59.3163920701154,1320.94437311593,898.0,479.0,verified-semantic-transcript,"converter activation, optional/convention setup, base converter flow"
R01,S-009,IU-009,ac10c797a442,1203.665586295183,1349.5194750401024,865.0,482.0,verified-semantic-transcript,"converter activation, optional/convention setup, base converter flow"
R01,S-010,IU-010,24314e1c2b8d,3155.637194744952,1711.9614039061526,859.0,320.0,verified-semantic-transcript,"converter activation, optional/convention setup, base converter flow"
R01,S-011,IU-011,2e84ff6d3ff0,186.48310959941227,1836.6110906452268,687.0,261.0,verified-semantic-transcript,"converter activation, optional/convention setup, base converter flow"
R01,S-012,IU-012,42267f4ad5b5,1186.809561715636,1866.186116275454,1209.0,482.0,verified-semantic-transcript,"converter activation, optional/convention setup, base converter flow"
R01,S-013,IU-013,470a76ff084a,3216.7786783859347,2077.7681462564105,826.0,482.0,verified-semantic-transcript,"converter activation, optional/convention setup, base converter flow"
R02,S-014,IU-014,530c0cc3316e,3226.471631995527,2588.813358290605,882.0,322.0,verified-semantic-transcript,"converter implementation details, explanation, edge cases"
R02,S-015,IU-015,c0711811705c,3265.3076210407653,2965.990421278886,650.0,482.0,verified-semantic-transcript,"converter implementation details, explanation, edge cases"
R02,S-016,IU-016,905f1d03a02c,3233.2550112343524,3503.3237953023236,658.0,482.0,verified-semantic-transcript,"converter implementation details, explanation, edge cases"
R02,S-017,IU-017,cd0853b9b155,3242.8365655544,3978.845155427185,688.0,386.0,verified-semantic-transcript,"converter implementation details, explanation, edge cases"
R02,S-018,IU-018,a8cc5b8053f9,3243.9924491082597,4415.133282054794,570.0,482.0,verified-semantic-transcript,"converter implementation details, explanation, edge cases"
R02,S-019,IU-019,3ee06f075df3,3203.962635166071,4940.59344644281,738.0,482.0,verified-semantic-transcript,"converter implementation details, explanation, edge cases"
