x,y,width,height,symbol_id,file_sha,source_id,image_use_id,region_candidate,stage0_status,transcript_status,notes
3207.1355576227847,280.0267206413687,827.0,395.0,image-e3c09525c313967aa3b2de9a0f6e60795e5a2a75,47885bcf36bb,S-001,IU-001,R01,candidate-only,not-started,Stage0 inventory only; transcript pass must visually re-check source and boundaries.
1203.5542513144137,428.879399598718,1059.0,423.0,image-4e67dd61eaad55428a3823e3af8d5c203fdee3ae,83cb5e878199,S-002,IU-002,R01,candidate-only,not-started,Stage0 inventory only; transcript pass must visually re-check source and boundaries.
10.0,603.6935913727248,914.0,394.0,image-12ce36b8a35109eec8bb9f46f57e7a538a12baa4,e583387153b9,S-003,IU-003,R01,candidate-only,not-started,Stage0 inventory only; transcript pass must visually re-check source and boundaries.
3187.884959037696,701.9162311088548,774.0,482.0,image-ef1003f99e9370602d0169f233814b4afe406c3f,117abc63488d,S-004,IU-004,R01,candidate-only,not-started,Stage0 inventory only; transcript pass must visually re-check source and boundaries.
1183.8372165960664,918.6757250401024,1278.0,374.0,image-ff4bf70f5383a5441cf04019d749ae81af6035d2,fa1504616c1d,S-005,IU-005,R01,candidate-only,not-started,Stage0 inventory only; transcript pass must visually re-check source and boundaries.
29.81646836406071,1019.6110143512815,857.0,255.0,image-e6c343530b096edc87e3cd9bce23f5177c11eae4,2ac51854210a,S-006,IU-006,R01,candidate-only,not-started,Stage0 inventory only; transcript pass must visually re-check source and boundaries.
3160.655668052244,1187.5354327690038,846.0,477.0,image-18701a5a589cb8b46b6ed7956a84e64bf2dab6c8,268e283e623b,S-007,IU-007,R01,candidate-only,not-started,Stage0 inventory only; transcript pass must visually re-check source and boundaries.
59.3163920701154,1320.94437311593,898.0,479.0,image-927a9b947230721b713f8e90c3f3c6f9f1cec02e,b2294167a3d0,S-008,IU-008,R01,candidate-only,not-started,Stage0 inventory only; transcript pass must visually re-check source and boundaries.
1203.665586295183,1349.5194750401024,865.0,482.0,image-3dff74c8c8fa79d0da9e8a874e180a7ed6998dab,ac10c797a442,S-009,IU-009,R01,candidate-only,not-started,Stage0 inventory only; transcript pass must visually re-check source and boundaries.
3155.637194744952,1711.9614039061526,859.0,320.0,image-8db7cab05c60ed73c3e82de8e0fd3df16e562016,24314e1c2b8d,S-010,IU-010,R01,candidate-only,not-started,Stage0 inventory only; transcript pass must visually re-check source and boundaries.
186.48310959941227,1836.6110906452268,687.0,261.0,image-a55bff0cc0aec8575707712a3b26615c859ca8e4,2e84ff6d3ff0,S-011,IU-011,R01,candidate-only,not-started,Stage0 inventory only; transcript pass must visually re-check source and boundaries.
1186.809561715636,1866.186116275454,1209.0,482.0,image-88b4a3d210ef3755fbe1d8f07df8add3d2988ceb,42267f4ad5b5,S-012,IU-012,R01,candidate-only,not-started,Stage0 inventory only; transcript pass must visually re-check source and boundaries.
3216.7786783859347,2077.7681462564105,826.0,482.0,image-484f21bc371e23c1c0b130ce6d6fcf5df0eba2d3,470a76ff084a,S-013,IU-013,R01,candidate-only,not-started,Stage0 inventory only; transcript pass must visually re-check source and boundaries.
3226.471631995527,2588.813358290605,882.0,322.0,image-da30e949d2f052852ef5a919c28506b5771678bf,530c0cc3316e,S-014,IU-014,R02,candidate-only,not-started,Stage0 inventory only; transcript pass must visually re-check source and boundaries.
3265.3076210407653,2965.990421278886,650.0,482.0,image-a753c5621aeeb3f00845d5ec007f261cbe85304a,c0711811705c,S-015,IU-015,R02,candidate-only,not-started,Stage0 inventory only; transcript pass must visually re-check source and boundaries.
3233.2550112343524,3503.3237953023236,658.0,482.0,image-777b53ecea6a241a27167d0cad5ca9c34f157d2e,905f1d03a02c,S-016,IU-016,R02,candidate-only,not-started,Stage0 inventory only; transcript pass must visually re-check source and boundaries.
3242.8365655544,3978.845155427185,688.0,386.0,image-7d143e2c66c319d5588a4fb2bdaf3fa23d85b971,cd0853b9b155,S-017,IU-017,R02,candidate-only,not-started,Stage0 inventory only; transcript pass must visually re-check source and boundaries.
3243.9924491082597,4415.133282054794,570.0,482.0,image-0302f99f40432696a0b7477af65f311ddbc89fe1,a8cc5b8053f9,S-018,IU-018,R02,candidate-only,not-started,Stage0 inventory only; transcript pass must visually re-check source and boundaries.
3203.962635166071,4940.59344644281,738.0,482.0,image-531645d629aed8c3a386f7ac472d1a7651de176e,3ee06f075df3,S-019,IU-019,R02,candidate-only,not-started,Stage0 inventory only; transcript pass must visually re-check source and boundaries.
