use_id,image_id,filename,sha256_12,region_id,x,y,width,height,opacity,duplicate_of_use_id,nearest_text_ids,nearest_captions,status,transcript_file,authoritative_transcript
IU-001,image-1876a616f610de257a2ebeff82fe834d38457916,3fceb475ed15.png,3fceb475ed15,R02,2358.6229637779434,4861.718943931212,784.0,333.0,1.0,,T-001|T-002,!!!|so better to just sort,closed,02-transcript-R02-xor-properties-cancellation-and-hashing.md,04-full-combined-final-transcript.md
IU-002,image-c0bfcd99e4d31b031bdaf69623aa4d3e0b3ba6b5,cbdeb0d42e34.png,cbdeb0d42e34,R02,2336.466594651816,4277.411153211924,947.0,415.0,1.0,,T-001|T-002,!!!|so better to just sort,closed,02-transcript-R02-xor-properties-cancellation-and-hashing.md,04-full-combined-final-transcript.md
IU-003,image-39f3549c70ef9c9fc9e515c9403c7e6d5d56606e,542c301a6625.png,542c301a6625,R02,2347.738676021522,3805.3072485332996,887.0,482.0,1.0,,T-001|T-002,!!!|so better to just sort,closed,02-transcript-R02-xor-properties-cancellation-and-hashing.md,04-full-combined-final-transcript.md
IU-004,image-9fbf52e4df77f02584bcb6a90376c5f8be21586c,a8ddca6b06e7.png,a8ddca6b06e7,R02,2298.078487526056,3280.11095411812,990.0,482.0,1.0,,T-001|T-002,!!!|so better to just sort,closed,02-transcript-R02-xor-properties-cancellation-and-hashing.md,04-full-combined-final-transcript.md
IU-005,image-c1704ea5c2a643bacc0612254b6c08a974b312d2,fe0209bf51f4.png,fe0209bf51f4,R03,360.51780261500517,4938.6228824482405,1066.0,171.0,1.0,,T-001|T-002,!!!|so better to just sort,closed,03-transcript-R03-deterministic-alternatives-to-xor.md,04-full-combined-final-transcript.md
IU-006,image-4e0808f780d5f4cf2cb2c51a2c8525d9ee675e66,46a9c24e5490.png,46a9c24e5490,R03,333.77342753749963,5140.814354379291,1049.0,267.0,1.0,,T-001|T-002,!!!|so better to just sort,closed,03-transcript-R03-deterministic-alternatives-to-xor.md,04-full-combined-final-transcript.md
IU-007,image-6d5cbfb85e2326baf090d85ab1907a9282b18737,1f4fec0a6f69.png,1f4fec0a6f69,R03,327.606625237152,5443.20317545134,1008.0,160.0,1.0,,T-001|T-002,!!!|so better to just sort,closed,03-transcript-R03-deterministic-alternatives-to-xor.md,04-full-combined-final-transcript.md
IU-008,image-5a7129c49b88a8617964ec3e8f88202e23092ef2,803be8a5324e.png,803be8a5324e,R03,329.870964448377,5637.602481006896,879.0,482.0,1.0,,T-001|T-002,!!!|so better to just sort,closed,03-transcript-R03-deterministic-alternatives-to-xor.md,04-full-combined-final-transcript.md
IU-009,image-b344bc300b2638e8291d97eb83a9b1eb43645576,3c66db31dee1.png,3c66db31dee1,R03,337.5141230670124,6161.481021045957,1003.0,359.0,1.0,,T-002|T-001,so better to just sort|!!!,closed,03-transcript-R03-deterministic-alternatives-to-xor.md,04-full-combined-final-transcript.md
IU-010,image-5267bb29ed7f3324786218ef0bf196c688ea363a,5ef23f4ce922.png,5ef23f4ce922,R03,330.0890609641019,6536.86178547738,870.0,482.0,1.0,,T-002|T-001,so better to just sort|!!!,closed,03-transcript-R03-deterministic-alternatives-to-xor.md,04-full-combined-final-transcript.md
IU-011,image-eb14462060fda6532476f901c490e49b1b0402d0,63501220ba7b.png,63501220ba7b,R03,314.38453864861003,7050.721784392311,910.0,302.0,1.0,,T-002|T-001,so better to just sort|!!!,closed,03-transcript-R03-deterministic-alternatives-to-xor.md,04-full-combined-final-transcript.md
IU-012,image-74ef00dcc802ac23a3c6fb1560a6dde8be08937c,2ff1b454a93b.png,2ff1b454a93b,R01,2365.675618431739,2506.6151479224463,755.0,482.0,1.0,,T-001|T-002,!!!|so better to just sort,closed,01-transcript-R01-xor-basics-truth-table-and-toggling.md,04-full-combined-final-transcript.md
IU-013,image-95fba3f410a5dcf1a12a325880e8c4ca3e28ae26,d24c5c5ad27d.png,d24c5c5ad27d,R01,2332.2052159185296,492.91944469105147,766.0,482.0,1.0,,T-001|T-002,!!!|so better to just sort,closed,01-transcript-R01-xor-basics-truth-table-and-toggling.md,04-full-combined-final-transcript.md
IU-014,image-4f0d0193480e80c8eeb4bb1528d74ce4c28d76a4,f910aef2b6e4.png,f910aef2b6e4,R01,2252.137574953478,10.0,1022.0,477.0,1.0,,T-001|T-002,!!!|so better to just sort,closed,01-transcript-R01-xor-basics-truth-table-and-toggling.md,04-full-combined-final-transcript.md
IU-015,image-cc04082dfe83dc7ef987071ac54b23d82c778e2c,64f1df363a61.png,64f1df363a61,R01,2297.8191750568476,1488.2659944991556,802.0,412.0,1.0,,T-001|T-002,!!!|so better to just sort,closed,01-transcript-R01-xor-basics-truth-table-and-toggling.md,04-full-combined-final-transcript.md
IU-016,image-38129fcbd76875b66d5498c022dbcdfab1f7c34c,e11ac20d1306.png,e11ac20d1306,R01,2316.5816168944875,1058.3092366469682,688.0,412.0,1.0,,T-001|T-002,!!!|so better to just sort,closed,01-transcript-R01-xor-basics-truth-table-and-toggling.md,04-full-combined-final-transcript.md
IU-017,image-eda57f05bd18156537013ac5468dbf82834fb084,eb6a93eb6aad.png,eb6a93eb6aad,R01,2350.7205041159596,1947.4342239649977,755.0,412.0,1.0,,T-001|T-002,!!!|so better to just sort,closed,01-transcript-R01-xor-basics-truth-table-and-toggling.md,04-full-combined-final-transcript.md
