x,y,text,font_size,label_id,region_candidate,stage1_status
5075.198795613687,10.0,authorizationhandlercontext,248.10259070763203px,T-001,R03,closed-by-stage1-final-coverage-v001
3641.8653605550935,296.6667175292969,requirements vs,109.43590369591325px,T-002,R03,closed-by-stage1-final-coverage-v001
3641.8653605550935,296.6667175292969,pending requirements,109.43590369591325px,T-003,R03,closed-by-stage1-final-coverage-v001
2780.6024592249632,383.3995297988786,"its requirements, not handlers",20px,T-004,R03,closed-by-stage1-final-coverage-v001
2780.6024592249632,383.3995297988786,if there was no handler tthat ve,20px,T-005,R03,closed-by-stage1-final-coverage-v001
2780.6024592249632,383.3995297988786,called success on requirement,20px,T-006,R03,closed-by-stage1-final-coverage-v001
2780.6024592249632,383.3995297988786,requirement is failed and policy is failed,20px,T-007,R03,closed-by-stage1-final-coverage-v001
7851.865564005615,887.7778625488281,user,109.43590369591325px,T-008,R03,closed-by-stage1-final-coverage-v001
10043.52873923612,1178.155336482905,CUSTOM POLICIES WITH AUTHORIZATION,85.14283970424071px,T-009,R02,closed-by-stage1-final-coverage-v001
10043.52873923612,1178.155336482905,HANDLERS WITH REQUIREMENTS,85.14283970424071px,T-010,R02,closed-by-stage1-final-coverage-v001
16473.016985786882,1214.0998376900789,BASIC POLICIES IN ADDAUTHORIZATION,101.7777506510414px,T-011,R01,closed-by-stage1-final-coverage-v001
5851.8653605550935,1230.0001525878906,requirements,109.43590369591325px,T-012,R03,closed-by-stage1-final-coverage-v001
12430.443175036215,1261.67709232352,RESOURCE BASED AUTHORIZATION,112.44449869791679px,T-013,R02,closed-by-stage1-final-coverage-v001
14754.270011140014,1305.021365326872,"BASIC,",94.3449697159376px,T-014,R02,closed-by-stage1-final-coverage-v001
14754.270011140014,1305.021365326872,GLOBAL AUTHORIZATION,94.3449697159376px,T-015,R02,closed-by-stage1-final-coverage-v001
7838.532267663286,1528.9900207519531,resource,109.43590369591325px,T-016,R03,closed-by-stage1-final-coverage-v001
6876.141995066686,1866.6731524896586,but with min apis context.resource is usually either,27.619047619049276px,T-017,R03,closed-by-stage1-final-coverage-v001
6876.141995066686,1866.6731524896586,httpcontext or endpoint,27.619047619049276px,T-018,R03,closed-by-stage1-final-coverage-v001
6876.141995066686,1866.6731524896586,so dont give a fuck about it,27.619047619049276px,T-019,R03,closed-by-stage1-final-coverage-v001
6876.141995066686,1866.6731524896586,unless you are using non generic handler,27.619047619049276px,T-020,R03,closed-by-stage1-final-coverage-v001
6876.141995066686,1866.6731524896586,then you need to check wnat is the type of resource,27.619047619049276px,T-021,R03,closed-by-stage1-final-coverage-v001
4497.588418652813,1917.224933463849,IAuthoriazationHandler,51.629626238787694px,T-022,R03,closed-by-stage1-final-coverage-v001
4497.588418652813,1917.224933463849,"multiple requirements (usually of one type,",51.629626238787694px,T-023,R03,closed-by-stage1-final-coverage-v001
4497.588418652813,1917.224933463849,like scope requirement),51.629626238787694px,T-024,R03,closed-by-stage1-final-coverage-v001
5773.53207808439,1945.0001525878906,Pendingrequirements,109.43590369591325px,T-025,R03,closed-by-stage1-final-coverage-v001
7821.804994936012,3122.6870089444246,succeed(req),109.43590369591325px,T-026,R03,closed-by-stage1-final-coverage-v001
