region,source_id,image_use_id,fileId_short,sha256_12,x,y,width,height,stage1_status,notes
R03,S-001,IU-001,d9789eb595,fcdcba7f11bf,7827.763,1072.141,764.0,482.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R02,S-002,IU-002,efc5596eee,6c1f61979aa5,10984.166,1493.86,914.0,403.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R03,S-003,IU-003,f945cb9a0d,917b8dbf4cc7,5760.993,1508.896,700.0,482.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R02,S-004,IU-004,ea24b8a52c,37d31569241c,12802.875,1540.011,1034.0,456.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R01,S-005,IU-005,39c3d89aae,8d5a0c8efcf5,17185.208,1542.519,867.0,482.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R03,S-006,IU-006,1ecd99c56b,0bc7ca7a1b04,7826.07,1653.435,893.0,338.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R02,S-007,IU-007,411ddc616d,ba4b8bcd14b1,14928.517,1686.421,665.0,340.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R02,S-008,IU-008,eaa39a2898,f6d50d1202a0,11008.649,1916.426,772.0,482.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R01,S-009,IU-009,bf19582a92,c2fe17547122,20617.325,1941.992,740.0,482.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R02,S-010,IU-010,3a622f325d,d3db066d4dd0,12862.71,1998.808,885.0,482.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R03,S-011,IU-011,2f96c09680,ce06053a6598,7816.469,2009.278,771.0,482.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R01,S-012,IU-012,7c90afcf95,d6ea2afe3923,19240.207,2014.675,843.0,482.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R02,S-013,IU-013,140dd9344f,f36d3a057339,14912.851,2042.716,963.0,461.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R01,S-014,IU-014,7d735c5a37,56d37ae8eae7,17191.269,2055.12,976.0,426.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
