label_id,region_candidate,x,y,font_size,text
T-001,R03,5075.198795613687,10.0,248.10259070763203px,authorizationhandlercontext
T-002,R03,3641.8653605550935,296.6667175292969,109.43590369591325px,requirements vs
T-003,R03,3641.8653605550935,296.6667175292969,109.43590369591325px,pending requirements
T-004,R03,2780.6024592249632,383.3995297988786,20px,"its requirements, not handlers"
T-005,R03,2780.6024592249632,383.3995297988786,20px,if there was no handler tthat ve
T-006,R03,2780.6024592249632,383.3995297988786,20px,called success on requirement
T-007,R03,2780.6024592249632,383.3995297988786,20px,requirement is failed and policy is failed
T-008,R03,7851.865564005615,887.7778625488281,109.43590369591325px,user
T-009,R02,10043.52873923612,1178.155336482905,85.14283970424071px,CUSTOM POLICIES WITH AUTHORIZATION
T-010,R02,10043.52873923612,1178.155336482905,85.14283970424071px,HANDLERS WITH REQUIREMENTS
T-011,R01,16473.016985786882,1214.0998376900789,101.7777506510414px,BASIC POLICIES IN ADDAUTHORIZATION
T-012,R03,5851.8653605550935,1230.0001525878906,109.43590369591325px,requirements
T-013,R02,12430.443175036215,1261.67709232352,112.44449869791679px,RESOURCE BASED AUTHORIZATION
T-014,R02,14754.270011140014,1305.021365326872,94.3449697159376px,"BASIC,"
T-015,R02,14754.270011140014,1305.021365326872,94.3449697159376px,GLOBAL AUTHORIZATION
T-016,R03,7838.532267663286,1528.9900207519531,109.43590369591325px,resource
T-017,R03,6876.141995066686,1866.6731524896586,27.619047619049276px,but with min apis context.resource is usually either
T-018,R03,6876.141995066686,1866.6731524896586,27.619047619049276px,httpcontext or endpoint
T-019,R03,6876.141995066686,1866.6731524896586,27.619047619049276px,so dont give a fuck about it
T-020,R03,6876.141995066686,1866.6731524896586,27.619047619049276px,unless you are using non generic handler
T-021,R03,6876.141995066686,1866.6731524896586,27.619047619049276px,then you need to check wnat is the type of resource
T-022,R03,4497.588418652813,1917.224933463849,51.629626238787694px,IAuthoriazationHandler
T-023,R03,4497.588418652813,1917.224933463849,51.629626238787694px,"multiple requirements (usually of one type,"
