source_id,symbol_id,file_sha,x,y,width,height,region,status
S-001,image-4750918c0bb4b7973acc8ff8082f1b64ea8d54e9,569af5f345,1369.1311033657053,422.2667219650871,929.0,482.0,R01,closed-by-final-transcript
S-002,image-90f6b3378e79d0bd836982ab68bf9a6944fc7038,4fb1f40d13,1365.9097105170176,988.2906613097084,902.0,480.0,R01,closed-by-final-transcript
S-003,image-036f7234194c45bb11ce8766807734816a41e648,6e7daba808,1376.7801939154551,1676.901772420818,901.0,365.0,R02,closed-by-final-transcript
S-004,image-d59257fd2c814846af3d29881bb33e80e60899ae,bfdc21fafc,1357.7987350395874,2052.920245728111,936.0,410.0,R02,closed-by-final-transcript
S-005,image-d9b60ca11641e6fbb994a5478e533cc0deb8b757,8c7a3c0812,1359.3604248110855,2625.6528846169995,856.0,482.0,R02,closed-by-final-transcript
S-006,image-011b7ce6c27c0a1b8972a5498582c9e4667113e2,fbf77b2a59,1361.7062328694487,3122.0685069043275,863.0,328.0,R02,closed-by-final-transcript
S-007,image-53378ca132dc11993b5696a1b122a7004fc5b6b1,89c3d67356,2572.443083276736,1711.57892357099,670.0,482.0,R02,closed-by-final-transcript
S-008,image-ace0b1053d74daf2ca61f6014646069e3326768a,d4d2835d73,2566.0952573920176,2347.1425357671715,952.0,346.0,R02,closed-by-final-transcript
S-009,image-f0989f7b9093e10c7c34af5ddc2ef1b431e6dbcb,d90421fb2b,60.28435521683309,1707.1344791265485,861.0,482.0,R02,closed-by-final-transcript
S-010,image-465d962bfd468fcc24d89894cee7a7dee87e7e62,23871b8fe5,94.91533012431773,437.2720436494301,843.0,482.0,R01,closed-by-final-transcript
S-011,image-4a0d9f6a8bafa7bb8042bef69c4546a2a3e8ca6d,90c3fab4f9,93.7481696594241,1002.9382455285349,859.0,376.0,R01,closed-by-final-transcript
