id,text,x,y,transform
T-001,using System.Security.Claims;,0,17.619999999999997,
T-002,using Microsoft.AspNetCore.Authentication;,0,42.62,
T-003,using Microsoft.AspNetCore.Authentication.Cookies;,0,67.62,
T-004,using Microsoft.AspNetCore.Mvc;,0,92.62,
T-006,public class AccountController : Controller,0,142.62,
T-007,{,0,167.62,
T-008,[HttpGet],0,192.62,
T-009,public IActionResult Login(string? returnUrl = null),0,217.62,
T-010,{,0,242.62,
T-011,"ViewData[""ReturnUrl""] = returnUrl ?? Url.Action(""Index"", ""Home"");",0,267.62,
T-012,return View();,0,292.62,
T-013,},0,317.62,
T-015,[HttpPost],0,367.62,
T-016,[ValidateAntiForgeryToken],0,392.62,
T-017,"public async Task<IActionResult> Login(string username, string password, string? returnUrl)",0,417.62,
T-018,{,0,442.62,
T-019,// Demo auth check (replace with DB/Identity),0,467.62,
T-020,"if (username != ""alice"" || password != ""pass123"")",0,492.62,
T-021,{,0,517.62,
T-022,"ModelState.AddModelError("""", ""Invalid credentials"");",0,542.62,
T-023,"ViewData[""ReturnUrl""] = returnUrl;",0,567.62,
T-024,return View();,0,592.62,
T-025,},0,617.62,
T-027,var claims = new List<Claim>,0,667.62,
T-028,{,0,692.62,
T-029,"new(ClaimTypes.Name, ""alice""),",0,717.62,
T-030,"new(ClaimTypes.Role, ""Admin""),",0,742.62,
T-031,"new(""permission"", ""products.edit"")",0,767.62,
T-032,};,0,792.62,
T-034,"var identity = new ClaimsIdentity(claims, CookieAuthenticationDefaults.AuthenticationScheme);",0,842.62,
T-035,var principal = new ClaimsPrincipal(identity);,0,867.62,
T-037,await HttpContext.SignInAsync(,0,917.62,
T-038,"CookieAuthenticationDefaults.AuthenticationScheme,",0,942.62,
T-039,principal);,0,967.62,
T-041,if (!string.IsNullOrEmpty(returnUrl) && Url.IsLocalUrl(returnUrl)),0,1017.62,
T-042,return Redirect(returnUrl);,0,1042.62,
T-044,"return RedirectToAction(""Index"", ""Home"");",0,1092.62,
T-045,},0,1117.62,
T-047,[HttpPost],0,1167.62,
T-048,[ValidateAntiForgeryToken],0,1192.62,
T-049,public async Task<IActionResult> Logout(),0,1217.62,
T-050,{,0,1242.62,
T-051,await HttpContext.SignOutAsync(CookieAuthenticationDefaults.AuthenticationScheme);,0,1267.62,
T-052,"return RedirectToAction(""Index"", ""Home"");",0,1292.62,
T-053,},0,1317.62,
T-055,public IActionResult Denied() => View();,0,1367.62,
T-056,},0,1392.62,
T-057,!!!,0,55.335151271968286,
T-058,BASIC,0,147.95562632696397,
T-059,"SPA WITH COOKIES, REACT,",0,93.68650609625877,
T-060,ANTIFORGERY,0,226.61287683442387,
T-061,"how setandstoretokens works,",0,36.11541091801318,
T-062,2 tokens antiforgery,0,87.35748089249273,
T-063,may throw?,0,17.619999999999997,
T-064,paths on events,0,64.37228087004527,
T-065,what if you dont have them?,0,155.7063910715851,
T-066,ispersistent,0,68.53718114466469,
T-067,expires on setcookie,0,165.78062771768498,
T-068,when do we have httpcontext.user,0,46.98664874267577,
T-069,it depends on what? authorize attr,0,113.65328997802732,
T-070,or whether we have auth cookie attached that,0,180.31993121337888,
T-071,has valid authticket that we can decrypt and read,0,246.98657244873039,
T-072,iticketstore,0,466.34281005859384,
T-073,iticketstore,0,466.34281005859384,
T-074,auth cookie options,0,466.34281005859384,
T-075,defaults,0,1128.0096801757813,
T-076,usecookiepolicy,0,149.96581960042275,
T-077,cookie.name,0,137.43614339192703,
T-078,just cookie optons,0,124.74959999999994,
T-079,to add ticketstore to,0,110.0270633138021,
T-080,authcookie options,0,266.138106608073,
T-081,need to use options pattern,0,422.24914990234385,
T-082,some little flow,0,102.19600000000001,
T-083,renewal occurs when we have some sliding exp and,0,17.619999999999997,
T-084,framework does retrieve and decides to update expiration,0,42.62,
T-085,!!!,0,86.08628571428939,
T-086,dbcall on every request,0,45.812,
T-087,that needs cookie validation,0,110.812,
T-088,how to avoid,0,175.812,
T-089,onvalidateprincipal,0,90.91920000000002,
T-090,onvalidateprincipal,0,90.91920000000002,
T-091,renewal without ticketstore,0,219.91920000000005,
T-092,!!!,0,94.05165400390624,
T-093,what has been done before onvalidateprincipal,0,48.94443249511719,
T-095,onvalidateprincipal and authorizatoin,0,47.37823417154776,
T-096,how renew async gets called,0,97.81058733723957,
T-097,how to change claims so,0,236.58837867838537,
T-098,they will be updated in cache,0,375.3661700195312,
T-099,some strats to avoid db call on every request,0,37.93338566034828,
T-100,that checks whether the user has the same claims,0,91.75487496277205,
T-101,!!!,0,139.00219832356814,
T-102,!!!,0,88.77123809523795,
T-103,lax option,0,112.31621615835336,
T-104,spa vs classic mbc,0,271.6752061673678,
T-105,(lax is default),0,431.0341961763822,
T-106,when have proxy for spa,0,61.47419832356766,
T-107,confgured,0,148.6963866373697,
T-108,whats the visual difference,0,17.619999999999997,
T-109,between a normal cookie and auth/session cookie,0,42.62,
T-110,auth cookies and session cookies,0,17.619999999999997,
T-111,crypto valid and buisness valid,0,17.619999999999997,
T-112,some low(high) level cookie,0,103.20285714285716,
T-113,auth/verification flow,0,249.63142857142861,
T-114,when include credentials,0,49.805859497070344,
T-115,need to catch network error,0,120.47251599121101,
T-116,from not allowed creditials somewhere,0,191.13917248535168,
T-117,(cors issue),0,261.80582897949233,
T-118,adding claims to authenticatied user,0,112.26457911028189,
T-119,iticketstore cases,0,271.55030429513135,
T-120,normal cases have 2 options too,0,430.83602947998077,
T-122,domain option,0,61.06586397257711,
T-123,TicketDataFormat,0,61.06586397257711,
T-124,why usually do not set,0,61.06586397257711,
T-125,when you would customize,0,61.06586397257711,
T-126,domain vs host,0,61.06586397257711,
T-127,path vs domain,0,61.06586397257711,
T-128,WWW,0,80.26890083821272,
T-129,!!!,0,95.73535125732424,
T-130,Holding invariants (options consistency),0,46.75174050292969,
T-131,with __Host and __Secure names of cookies,0,113.08508400878907,
T-132,forcing host cookie,0,106.26818494737415,
T-133,_Secure,0,106.26818494737415,
T-134,Why name prefixes,0,106.26818494737415,
T-135,both host and secure?,0,106.26818494737415,
