check,passed
source SVG exists,True
source SHA-256 recorded,True
all image symbols have data URLs,True
image-use count matches symbol count,True
all image hrefs resolve to symbols,True
no orphan image symbols,True
all embedded images decode,True
all embedded assets unique by SHA-1,True
all source IDs unique,True
all use IDs unique,True
all image uses assigned exactly one region,True
all image uses closed,True
physical SVG text-node count,True
all text IDs unique,True
all text nodes assigned exactly one region,True
all text nodes closed,True
contact sheets generated,True
R02 image count,True
R03 image count,True
R04 image count,True
R05 image count,True
regional image total,True
regional text total,True
