label_id,x,y,width,height,text,font_size
L-001,5868.417746444078,10.0,1268.8199462890625,265.0,general theo,212px
L-002,34.0,21.038891860839612,1153.7705078125,155.6666259765625,authcookie options,124.53330078125006px
L-003,1656.1634330546076,36.74220668212092,873.3509521484375,392.2222900390625,defaults,156.8889160156251px
L-004,1656.1634330546076,36.74220668212092,873.3509521484375,392.2222900390625,and full list,156.8889160156251px
L-005,5794.749133542071,961.7978464619191,402.7197265625,25.0,store som cooies in browser for all sites,20px
L-006,10.0,1714.3721438139637,1295.4984130859375,177.0,just cookie optons,141.59999999999994px
L-007,5882.249133542071,1814.297846461919,484.3396301269531,25.0,have some requeast cookies and response cookies,20px
L-008,3009.2876775746836,3232.894493015825,2138.89892578125,327.6719786628862,"cookie flow,",131.0687914651545px
L-009,3009.2876775746836,3232.894493015825,2138.89892578125,327.6719786628862,actually just a normal cookie flow,131.0687914651545px
L-010,1185.1955599005787,3938.7293196701003,590.8238525390625,130.00005086263036,does addcookie affect,52.00002034505214px
L-011,1185.1955599005787,3938.7293196701003,590.8238525390625,130.00005086263036,all cookies,52.00002034505214px
L-012,1164.7405342177249,4481.2532167833215,637.8892822265625,109.44447835286448,usecookiepolicy,87.55558268229159px
L-013,9501.915273270703,4969.481826025916,960.600341796875,68.17454504588386,secure option when samesite is none,54.539636036707066px
L-014,10628.158840358996,4975.936904150916,1159.1583251953125,114.76187569754256,who can read non https request/cookies,45.90475027901702px
L-015,10628.158840358996,4975.936904150916,1159.1583251953125,114.76187569754256,"how that works, why we need cookies option secure",45.90475027901702px
L-016,11837.788289143718,5041.439509286396,293.7540283203125,90.18517388238251,the flow,72.148139105906px
L-017,7423.502846125366,5116.148238379468,794.6927490234375,129.76190476190106,samesite option,103.80952380952083px
L-018,8589.176170957016,5196.49217923536,842.4569091796866,88.34009329871924,examples and comparison,70.67207463897539px
L-019,4170.167521170045,5933.925222182585,926.3687744140625,246.90473284039763,third party cookies,98.761893136159px
L-020,4170.167521170045,5933.925222182585,926.3687744140625,246.90473284039763,partitioned,98.761893136159px
L-021,1417.9501624727682,6128.142102281368,484.7760314941406,108.33333333333326,cookie.name,86.66666666666669px
L-022,7545.951973407935,8570.162229188474,1445.9844970703125,111.66666666666652,about samesite vs cors allowance,89.3333333333332px
L-023,5552.61823317356,9143.495664247068,730.6300048828125,111.66666666666606,how cookies look,89.3333333333332px
L-024,5289.983020800304,12125.330833405507,1636.2830810546875,275.45454545454413,why not store refresh tokens,110.18181818181769px
L-025,5289.983020800304,12125.330833405507,1636.2830810546875,275.45454545454413,in non httponly cookies,110.18181818181769px
