source_id,image_use_id,symbol_id,fileId_short,sha256_12,x,y,width,height,source_width,source_height,candidate_region,nearest_labels
S-001,IU-001,image-3f6ba77cbea2e935ed3ae8500a217798d7cc0836,3f6ba77cbe,f067af45c621,502.047463890307,309.7526742114105,830.0,482.0,947,550,R01,authcookie options | and full list | defaults | just cookie optons | all cookies
S-002,IU-002,image-1d390a1754757e4d7ed6474aa9b83dcd59720bcd,1d390a1754,025e8aa67e7a,1666.7516896746747,521.8066626594418,729.0,482.0,840,556,R01,and full list | defaults | authcookie options | just cookie optons | all cookies
S-003,IU-003,image-cd069f1465d7cecc2f0089816b4dd0e26de4577b,cd069f1465,c68e52f7eba6,5713.861016796348,709.797587062505,1005.0,137.0,1005,137,R02,"store som cooies in browser for all sites | general theo | have some requeast cookies and response cookies | actually just a normal cookie flow | cookie flow,"
S-004,IU-004,image-3fdab56553ecb87c92347955be3ce9d5057682d4,3fdab56553,8840733c8a61,514.1636619364435,817.6310743782424,919.0,381.0,919,381,R01,just cookie optons | authcookie options | and full list | defaults | all cookies
S-005,IU-005,image-9fa28afccf6b661ca9f6769b318632dbca47e798,9fa28afccf,dfeb0191e452,1693.5883685249537,1007.2962459927703,835.0,338.0,835,338,R01,and full list | defaults | just cookie optons | authcookie options | all cookies
S-006,IU-006,image-a91f9764ae25004d909866db55eeb9790da45f1b,a91f9764ae,de759ae8c222,5451.915851071368,1184.7979227558644,1404.0,59.0,1404,59,R02,"store som cooies in browser for all sites | have some requeast cookies and response cookies | general theo | actually just a normal cookie flow | cookie flow,"
S-007,IU-007,image-402e566e9f097e79990cb4f43d0aa7e489969151,402e566e9f,f280100d0057,532.2190564270022,1212.0754891528313,859.0,256.0,859,256,R01,just cookie optons | authcookie options | and full list | defaults | all cookies
S-008,IU-008,image-ff5fb93a868f8663f5a279516414097580e0c9e1,ff5fb93a86,83f83b2ba5ab,5858.082568600665,1352.7979227558644,265.0,363.0,265,363,R02,"have some requeast cookies and response cookies | store som cooies in browser for all sites | general theo | actually just a normal cookie flow | cookie flow,"
S-009,IU-009,image-32ebfc141c1002c46fc2dc85225de9d491579e9c,32ebfc141c,470eb5f91a77,1730.5009167717908,1353.2486996060588,878.0,408.0,878,408,R01,and full list | defaults | just cookie optons | authcookie options | all cookies
S-010,IU-010,image-38ec8724c1b7ae2b73f8b023195cb16b7a15698b,38ec8724c1,051ea1415821,1710.6692668886426,1825.8936725022186,686.0,430.0,779,488,R01,just cookie optons | and full list | defaults | all cookies | does addcookie affect
S-011,IU-011,image-ff26078255ea3bcb0d731fcb52f999b017c0e985,ff26078255,6a0b10e5e032,5124.082568600665,1896.297846461919,1883.0,406.0,1883,406,R02,"have some requeast cookies and response cookies | store som cooies in browser for all sites | general theo | actually just a normal cookie flow | cookie flow,"
