source_id,image_use_id,fileId_short,x,y,width,height,candidate_group,boundary_decision,nearest_labels_for_search_only,review_note
S-008,IU-008,77eaf12c68,10073.886,2016.562,710,482,r02a-usequery-state-error-core-candidate,candidate-not-final,L-004: statuses | L-005: examples | L-008: Isloading and when there is no data and no fetching,"Candidate for R02A: useQuery status/fetchStatus/isPending/isLoading/isFetching, query cache basics, queryFn Promise/error basics."
S-011,IU-011,1d512b6a91,8847.853,2316.043,824,482,r02a-usequery-state-error-core-candidate,candidate-not-final,L-006: fund | L-004: statuses | L-011: throwing/swallowing errors,"Candidate for R02A: useQuery status/fetchStatus/isPending/isLoading/isFetching, query cache basics, queryFn Promise/error basics."
S-012,IU-012,6114875a76,10050.812,2521.481,907,475,r02a-usequery-state-error-core-candidate,candidate-not-final,L-008: Isloading and when there is no data and no fetching | L-004: statuses | L-005: examples,"Candidate for R02A: useQuery status/fetchStatus/isPending/isLoading/isFetching, query cache basics, queryFn Promise/error basics."
S-013,IU-013,768ded59fc,11169.08,2528.826,979,425,r02b-enabled-disabled-conditional-ui-candidate,candidate-not-final,L-005: examples | L-008: Isloading and when there is no data and no fetching | L-007: enabled,"Candidate for R02B: enabled/disabled queries, conditional rendering, no-input UI state, disabled query state."
S-016,IU-016,114f1fa612,8879.686,2795.2,934,364,r02a-usequery-state-error-core-candidate,candidate-not-final,L-006: fund | L-011: throwing/swallowing errors | L-004: statuses,"Candidate for R02A: useQuery status/fetchStatus/isPending/isLoading/isFetching, query cache basics, queryFn Promise/error basics."
S-017,IU-017,d913b80242,8055.686,2935.144,686,377,r02a-usequery-state-error-core-candidate,candidate-not-final,L-006: fund | L-012: keys | L-015: so when returning usequey we get like a query but dor our specific resource,"Candidate for R02A: useQuery status/fetchStatus/isPending/isLoading/isFetching, query cache basics, queryFn Promise/error basics."
S-018,IU-018,a3d61eaf9c,10076.484,3050.051,550,352,r02a-usequery-state-error-core-candidate,candidate-not-final,L-011: throwing/swallowing errors | L-008: Isloading and when there is no data and no fetching | L-005: examples,"Candidate for R02A: useQuery status/fetchStatus/isPending/isLoading/isFetching, query cache basics, queryFn Promise/error basics."
S-020,IU-020,bbc587153e,8948.464,3200.089,552,244,r02a-usequery-state-error-core-candidate,candidate-not-final,L-006: fund | L-011: throwing/swallowing errors | L-015: so when returning usequey we get like a query but dor our specific resource,"Candidate for R02A: useQuery status/fetchStatus/isPending/isLoading/isFetching, query cache basics, queryFn Promise/error basics."
S-021,IU-021,61ff65ee41,8056.686,3344.478,628,153,r02a-usequery-state-error-core-candidate,candidate-not-final,L-006: fund | L-012: keys | L-015: so when returning usequey we get like a query but dor our specific resource,"Candidate for R02A: useQuery status/fetchStatus/isPending/isLoading/isFetching, query cache basics, queryFn Promise/error basics."
S-022,IU-022,2899e0756c,11398.414,3365.882,689,169,r02a-usequery-state-error-core-candidate,candidate-not-final,L-008: Isloading and when there is no data and no fetching | L-005: examples | L-009: conditional queries,"Candidate for R02A: useQuery status/fetchStatus/isPending/isLoading/isFetching, query cache basics, queryFn Promise/error basics."
S-023,IU-023,03697f7b6d,10037.796,3421.303,919,449,r02a-usequery-state-error-core-candidate,candidate-not-final,L-011: throwing/swallowing errors | L-008: Isloading and when there is no data and no fetching | L-005: examples,"Candidate for R02A: useQuery status/fetchStatus/isPending/isLoading/isFetching, query cache basics, queryFn Promise/error basics."
S-024,IU-024,fe5b1db522,8907.741,3492.978,761,464,r02a-usequery-state-error-core-candidate,candidate-not-final,L-011: throwing/swallowing errors | L-015: so when returning usequey we get like a query but dor our specific resource | L-006: fund,"Candidate for R02A: useQuery status/fetchStatus/isPending/isLoading/isFetching, query cache basics, queryFn Promise/error basics."
S-025,IU-025,c8b43511a0,8021.257,3535.451,735,482,r02a-usequery-state-error-core-candidate,candidate-not-final,L-015: so when returning usequey we get like a query but dor our specific resource | L-006: fund | L-012: keys,"Candidate for R02A: useQuery status/fetchStatus/isPending/isLoading/isFetching, query cache basics, queryFn Promise/error basics."
S-026,IU-026,29e9da2f37,11388.103,3578.114,865,482,r02b-enabled-disabled-conditional-ui-candidate,candidate-not-final,L-008: Isloading and when there is no data and no fetching | L-013: dont try to interpret disabled quey state in ui | L-009: conditional queries,"Candidate for R02B: enabled/disabled queries, conditional rendering, no-input UI state, disabled query state."
S-027,IU-027,048f7ed433,12946.685,3647.79,922,427,r02b-enabled-disabled-conditional-ui-candidate,candidate-not-final,"L-009: conditional queries | L-016: move disabled quey to a separate component and mount it only when the condition for queryu is met,  so you wont mount... | L-007: enabled","Candidate for R02B: enabled/disabled queries, conditional rendering, no-input UI state, disabled query state."
S-030,IU-030,39e62ae511,10071.709,3881.176,408,201,r02a-usequery-state-error-core-candidate,candidate-not-final,L-011: throwing/swallowing errors | L-008: Isloading and when there is no data and no fetching | L-015: so when returning usequey we get like a query but dor our specific resource,"Candidate for R02A: useQuery status/fetchStatus/isPending/isLoading/isFetching, query cache basics, queryFn Promise/error basics."
S-032,IU-032,d812eda414,11404.581,4076.771,930,285,r02b-enabled-disabled-conditional-ui-candidate,candidate-not-final,"L-013: dont try to interpret disabled quey state in ui | L-016: move disabled quey to a separate component and mount it only when the condition for queryu is met,  so you wont mount... | L-008: Isloading and when there is no data and no fetching","Candidate for R02B: enabled/disabled queries, conditional rendering, no-input UI state, disabled query state."
