region_source_id,source_id,image_use_id,fileId_short,status,candidate_type,readability,cut_off,confidence,theme,notes
R04B-S001,S-069,IU-069,33b49582ee,verified-from-extracted-svg-image,r04b-active-inactive-gctime,high,no,high,Active vs inactive queries and gcTime eligibility,Moved from R04A to R04B during local R04A review because it is active/inactive query + gcTime lifecycle.
R04B-S002,S-072,IU-072,852ba9b003,verified-from-extracted-svg-image,r04b-observer-result-flow,high,no,high,Query state change -> observer result -> rerender if tracked/allowed prop changed,Verified from R04B source image.
R04B-S003,S-078,IU-078,6185671034,verified-from-extracted-svg-image,r04b-not-every-cache-update-rerenders,high,no,high,Not every cache update causes every subscriber to rerender,Verified from R04B source image.
R04B-S004,S-081,IU-081,508013e6b9,verified-visible-partial-from-extracted-svg-image,r04b-structural-sharing-old-data,high,bottom-continuation-cropped,high-for-visible-text,Structural sharing reuses references from previous data,Bottom continuation is cropped; next structural-sharing examples continue in S-092 and S-100.
R04B-S005,S-086,IU-086,3f38cd3ee4,verified-from-extracted-svg-image,r04b-observer-notification-example,high,no,high,Observer notices state change and schedules notification for changed tracked prop,Verified from R04B source image.
R04B-S006,S-089,IU-089,ee98c678db,verified-from-extracted-svg-image,r04b-gctime,high,top-border-crop-no-text-loss,high,gcTime controls how long inactive queries stay in cache,Verified from R04B source image.
R04B-S007,S-092,IU-092,db432e0178,verified-visible-partial-from-extracted-svg-image,r04b-structural-sharing-new-data,high,top-continuation-cropped,high-for-visible-code,New server response example for structural sharing,Continuation of S-081 structural sharing example.
R04B-S008,S-096,IU-096,d076db1a35,verified-visible-partial-from-extracted-svg-image,r04b-only-data-read-no-isfetching-rerender,high,top-continuation-cropped,high-for-visible-text,"If component only reads data, isFetching changes usually do not rerender it",Continuation of observer tracked-props example.
R04B-S009,S-100,IU-100,873cf4d11f,verified-from-extracted-svg-image,r04b-structural-sharing-result,high,no,high,Structural sharing result keeps unchanged references,Verified from R04B source image.
R04B-S010,S-102,IU-102,03697f7b6d,verified-from-extracted-svg-image,r04b-isstale-isfetching-ui,high,no,high,isStale and isFetching for richer UI,"This source image duplicates a code card already seen near R02A/R02C, but in R04B it supports observer/richer UI state usage."
R04B-S011,S-105,IU-105,dc0361e533,verified-from-extracted-svg-image,r04b-why-structural-sharing-useful,high,no,high,Why structural sharing is useful,Verified from R04B source image.
R04B-S012,S-107,IU-107,180be1e245,verified-from-extracted-svg-image,r04b-refetchinterval-polling,high,no,high,Polling with refetchInterval,Verified from R04B source image.
