source_id,image_index,file,status,readability,cut_off,confidence,theme,notes
MUT-S001,130,488e3dbdf9.png,verified,high,no,high,mutation variable flow and optimistic update overview,Source chips like `TanStack +1` are visible but omitted from transcript body.
MUT-S002,005,55a51e51f4.png,verified,high,no,high,optimistic update code example,This image appears twice in the mutation region; also used by MUT-S009.
MUT-S003,003,5bec075fe3.png,verified,high,no,high,cancelQueries / optimistic update race,Visually checked against original PNG.
MUT-S004,150,73b5e8fd66.png,verified,high,no,high,mutate vs mutateAsync / mutate,Visually checked against original PNG.
MUT-S005,004,f128bccab6.png,verified-visible-partial,high,yes,high-for-visible-text,standard optimistic update flow,The screenshot is cut off below `Example:`. Do not infer the missing example from this screenshot; the example is visible in MUT-S002/MUT-S009.
MUT-S006,149,7de4e030ee.png,verified,high,no,high,mutate UI example,Code-only screenshot. Visually checked against original PNG.
MUT-S007,151,a7ac382dd0.png,verified,high,no,high,mutateAsync,Visually checked against original PNG.
MUT-S008,148,8641ca8bc2.png,verified,high,no,high,immutable updates only,Original screenshot has separate Good/Bad TypeScript blocks; transcript keeps them together while preserving content.
MUT-S009,005,55a51e51f4.png,verified-duplicate-of-MUT-S002,high,no,high,optimistic update code example,Same underlying PNG as MUT-S002.
MUT-S010,152,e7fe1b2b60.png,verified,high,no,high,when to use mutate,Visually checked against original PNG.
MUT-S011,153,7ec1a778b8.png,verified,high,no,high,when to use mutateAsync,Visually checked against original PNG.
MUT-S012,131,69bab5a10b.png,verified,high,no,high,best mental model for lifecycle callbacks,Visible source chip `TanStack +1` omitted from transcript body.
MUT-S013,147,c11c8e7392.png,verified,high,no,high,manual updates get hard,Visually checked against original PNG.
MUT-S014,006,850109ec0c.png,verified,high,no,high,useQuery v5 callbacks removed / mutation callbacks remain,Visible source chips `tanstack.com +1` and `tanstack.com +2` omitted from transcript body.
MUT-S015,154,4b9ba54f93.png,verified,high,no,high,mutate vs mutateAsync example,Visually checked against original PNG. Source chip `TanStack +1` omitted from transcript body.
MUT-S016,145,9373bdbda3.png,verified,high,no,high,what onMutate returns,Visually checked against original PNG.
MUT-S017,007,37ac0e6a45.png,verified,high,no,high,cancellation handling in mutation callbacks,Visible source chip `tanstack.com +2` omitted from transcript body.
MUT-S018,144,6759acc16a.png,verified,high,no,high,onMutate signature,Visually checked against original PNG. Source chip `TanStack` omitted from transcript body.
MUT-S019,146,a6d0648cd6.png,verified-from-sheet-crop,medium-high,no,high-for-visible-text,why invalidate in onSettled,"Verified from available sheet/crop image, not standalone original PNG. Source chips omitted."
MUT-S020,143,ae6ed651d2.png,verified-from-sheet-crop,medium-high,bottom-partially-cropped-in-sheet,high-for-visible-text / medium-for-second-code-block,variables argument,Second code block was low in the sheet crop; content is readable but kept medium confidence.
MUT-S021,155,db2d4aae55.png,verified-from-sheet-crop,high,no,high,return invalidateQueries Promise keeps pending,Verified from available sheet/crop image. Source chip omitted.
MUT-S022,156,e2bb07761c.png,verified-from-sheet-crop,high,no,high,without returning invalidation Promise,Verified from available sheet/crop image. Source chip omitted.
MUT-S023,142,507dbfa569.png,verified-from-sheet-crop,high,no,high,context.client,Verified from available sheet/crop image. Source chip omitted.
MUT-S024,157,35935e7b35.png,verified-from-sheet-crop,high,visible-code-only,high,returning the Promise code snippet,Verified from available sheet/crop image. Only the visible snippet is transcribed.
MUT-S025,158,c8aefd2cea.png,verified-from-sheet-crop,high,top-slightly-cropped,high-for-visible-text,returning Promise behavior steps,Verified from available sheet/crop image. Source chip omitted.
MUT-S026,141,5f990bee01.png,verified-from-sheet-crop,high,no,high,mutationFn,Verified from available sheet/crop image. Source chip omitted.
MUT-S027,140,ed4ef609cc.png,verified-from-sheet-crop,high,no,high,onSuccess signature and data argument,Verified from available sheet/crop image. Source chip omitted.
MUT-S028,159,9d4d2d9cfa.png,verified-visible-partial-from-original-png,medium / cut off,yes,high-for-visible-text / incomplete-source,why pending matters / cut off,"Original PNG is cut off at the bottom. A partial line `is true` is visible below the code block, but the continuation is not visible."
MUT-S029,139,57a7aa95ed.png,verified-from-sheet-crop,high,no,high,data returned from mutationFn,Verified from available sheet/crop image.
MUT-S030,138,27b93b199a.png,verified-from-sheet-crop,high,top-context-may-be-cropped,high-for-visible-text,variables / onMutateResult availability,Verified from available sheet/crop image. Top context may be cropped.
MUT-S031,137,c35292d43d.png,verified-from-sheet-crop,high,no,high,onSuccess typical usage,Verified from available sheet/crop image. Source chip omitted.
MUT-S032,136,56c5c8888e.png,verified-from-sheet-crop,high,bottom-slightly-cropped,high-for-visible-text,onError signature and arguments,Verified from available sheet/crop image. Source chip omitted.
MUT-S033,135,82af270795.png,verified-from-sheet-crop,high,no,high,onError rollback usage,Verified from available sheet/crop image. Source chip omitted.
MUT-S034,134,c7dccde3bc.png,verified-from-sheet-crop,high,bottom-cropped-after-variables,high-for-visible-text / partial-source,onSettled signature and arguments,Verified from available sheet/crop image. Bottom content after `variables` is cropped.
MUT-S035,133,1cb0706b7f.png,verified-from-sheet-crop,high,no,high,onMutateResult / context / onSettled example,Verified from available sheet/crop image. Source chip omitted.
MUT-S036,132,af1044b3cf.png,verified-from-sheet-crop,high,no,high,async callbacks are awaited,Verified from available sheet/crop image. Source chip omitted.
