batch,group_key,region,source_id,order_in_group,next_file,meaning,status,may_mark_processed_only_if
correction-mini-or-batch-a,R03-v002-correction,R03,S-065,1,regions/R03-v002-notify-select-correction.md,notifyOnChangeProps/select correction addendum,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
correction-mini-or-batch-a,R03-v002-correction,R03,S-066,2,regions/R03-v002-notify-select-correction.md,notifyOnChangeProps/select correction addendum,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
correction-mini-or-batch-a,R04A-v002-correction,R04A,S-109,1,regions/R04A-v002-static-staleness-correction.md,static/staleness correction addendum,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
correction-mini-or-batch-a,R04A-v002-correction,R04A,S-110,2,regions/R04A-v002-static-staleness-correction.md,static/staleness correction addendum,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
correction-mini-or-batch-a,R04B-v002-correction,R04B,S-113,1,regions/R04B-v002-functional-refetchinterval-correction.md,functional refetchInterval correction addendum,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-a,R05-v003-correction,R05,S-118,1,regions/R05-v003-infinite-query-correction.md,infinite-query correction addendum,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-a,R05-v003-correction,R05,S-119,2,regions/R05-v003-infinite-query-correction.md,infinite-query correction addendum,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-a,R05-v003-correction,R05,S-121,3,regions/R05-v003-infinite-query-correction.md,infinite-query correction addendum,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-a,R05-v003-correction,R05,S-122,4,regions/R05-v003-infinite-query-correction.md,infinite-query correction addendum,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-a,R05-v003-correction,R05,S-136,5,regions/R05-v003-infinite-query-correction.md,infinite-query correction addendum,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-a,R05-v003-correction,R05,S-137,6,regions/R05-v003-infinite-query-correction.md,infinite-query correction addendum,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-a,R05-v003-correction,R05,S-148,7,regions/R05-v003-infinite-query-correction.md,infinite-query correction addendum,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-a,R05-v003-correction,R05,S-156,8,regions/R05-v003-infinite-query-correction.md,infinite-query correction addendum,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-a,R05-v003-correction,R05,S-166,9,regions/R05-v003-infinite-query-correction.md,infinite-query correction addendum,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-a,R05-v003-correction,R05,S-174,10,regions/R05-v003-infinite-query-correction.md,infinite-query correction addendum,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-a,R05-v003-correction,R05,S-181,11,regions/R05-v003-infinite-query-correction.md,infinite-query correction addendum,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-a,R05-v003-correction,R05,S-188,12,regions/R05-v003-infinite-query-correction.md,infinite-query correction addendum,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
