source_id,image_index,file,status,readability,cut_off,confidence,theme,notes
MUT-S019,146,a6d0648cd6.png,verified-from-sheet-crop,medium-high,no,high-for-visible-text,why invalidate in onSettled,"Verified from available sheet/crop image, not standalone original PNG. Source chips omitted."
MUT-S020,143,ae6ed651d2.png,verified-from-sheet-crop,medium-high,bottom-partially-cropped-in-sheet,high-for-visible-text / medium-for-second-code-block,variables argument,Second code block was low in the sheet crop; content is readable but kept medium confidence.
MUT-S021,155,db2d4aae55.png,verified-from-sheet-crop,high,no,high,return invalidateQueries Promise keeps pending,Verified from available sheet/crop image. Source chip omitted.
MUT-S022,156,e2bb07761c.png,verified-from-sheet-crop,high,no,high,without returning invalidation Promise,Verified from available sheet/crop image. Source chip omitted.
MUT-S023,142,507dbfa569.png,verified-from-sheet-crop,high,no,high,context.client,Verified from available sheet/crop image. Source chip omitted.
MUT-S024,157,35935e7b35.png,verified-from-sheet-crop,high,visible-code-only,high,returning the Promise code snippet,Verified from available sheet/crop image. Only the visible snippet is transcribed.
MUT-S025,158,c8aefd2cea.png,verified-from-sheet-crop,high,top-slightly-cropped,high-for-visible-text,returning Promise behavior steps,Verified from available sheet/crop image. Source chip omitted.
MUT-S026,141,5f990bee01.png,verified-from-sheet-crop,high,no,high,mutationFn,Verified from available sheet/crop image. Source chip omitted.
MUT-S027,140,ed4ef609cc.png,verified-from-sheet-crop,high,no,high,onSuccess signature and data argument,Verified from available sheet/crop image. Source chip omitted.
MUT-S028,159,9d4d2d9cfa.png,verified-visible-partial-from-original-png,medium / cut off,yes,high-for-visible-text / incomplete-source,why pending matters / cut off,"Original PNG is cut off at the bottom. A partial line `is true` is visible below the code block, but the continuation is not visible."
MUT-S029,139,57a7aa95ed.png,verified-from-sheet-crop,high,no,high,data returned from mutationFn,Verified from available sheet/crop image.
MUT-S030,138,27b93b199a.png,verified-from-sheet-crop,high,top-context-may-be-cropped,high-for-visible-text,variables / onMutateResult availability,Verified from available sheet/crop image. Top context may be cropped.
MUT-S031,137,c35292d43d.png,verified-from-sheet-crop,high,no,high,onSuccess typical usage,Verified from available sheet/crop image. Source chip omitted.
MUT-S032,136,56c5c8888e.png,verified-from-sheet-crop,high,bottom-slightly-cropped,high-for-visible-text,onError signature and arguments,Verified from available sheet/crop image. Source chip omitted.
MUT-S033,135,82af270795.png,verified-from-sheet-crop,high,no,high,onError rollback usage,Verified from available sheet/crop image. Source chip omitted.
MUT-S034,134,c7dccde3bc.png,verified-from-sheet-crop,high,bottom-cropped-after-variables,high-for-visible-text / partial-source,onSettled signature and arguments,Verified from available sheet/crop image. Bottom content after `variables` is cropped.
MUT-S035,133,1cb0706b7f.png,verified-from-sheet-crop,high,no,high,onMutateResult / context / onSettled example,Verified from available sheet/crop image. Source chip omitted.
MUT-S036,132,af1044b3cf.png,verified-from-sheet-crop,high,no,high,async callbacks are awaited,Verified from available sheet/crop image. Source chip omitted.
