source_id,decision,region,reason,status
S-202,included-in-R09B-network-offline-stage4x-rebuild-a-v001,R09B,"networkMode online/always/offlineFirst, paused fetchStatus, offline-aware UI",verified-visible-from-contact-sheet
S-203,included-in-R09B-network-offline-stage4x-rebuild-a-v001,R09B,"networkMode online/always/offlineFirst, paused fetchStatus, offline-aware UI",verified-visible-from-contact-sheet
S-205,included-in-R09B-network-offline-stage4x-rebuild-a-v001,R09B,"networkMode online/always/offlineFirst, paused fetchStatus, offline-aware UI",verified-visible-from-contact-sheet
S-208,included-in-R09B-network-offline-stage4x-rebuild-a-v001,R09B,"networkMode online/always/offlineFirst, paused fetchStatus, offline-aware UI",verified-visible-from-contact-sheet
S-214,included-in-R09B-network-offline-stage4x-rebuild-a-v001,R09B,"networkMode online/always/offlineFirst, paused fetchStatus, offline-aware UI",verified-visible-from-contact-sheet
S-217,included-in-R09B-network-offline-stage4x-rebuild-a-v001,R09B,"networkMode online/always/offlineFirst, paused fetchStatus, offline-aware UI",verified-visible-from-contact-sheet
S-225,included-in-R09B-network-offline-stage4x-rebuild-a-v001,R09B,"networkMode online/always/offlineFirst, paused fetchStatus, offline-aware UI",verified-visible-from-contact-sheet
S-228,included-in-R09B-network-offline-stage4x-rebuild-a-v001,R09B,"networkMode online/always/offlineFirst, paused fetchStatus, offline-aware UI",verified-visible-from-contact-sheet
S-230,included-in-R09B-network-offline-stage4x-rebuild-a-v001,R09B,"networkMode online/always/offlineFirst, paused fetchStatus, offline-aware UI",verified-visible-from-contact-sheet
S-231,included-in-R09B-network-offline-stage4x-rebuild-a-v001,R09B,"networkMode online/always/offlineFirst, paused fetchStatus, offline-aware UI",verified-visible-from-contact-sheet
S-232,included-in-R09B-network-offline-stage4x-rebuild-a-v001,R09B,"networkMode online/always/offlineFirst, paused fetchStatus, offline-aware UI",verified-visible-from-contact-sheet
S-234,included-in-R09B-network-offline-stage4x-rebuild-a-v001,R09B,"networkMode online/always/offlineFirst, paused fetchStatus, offline-aware UI",verified-visible-from-contact-sheet
S-235,included-in-R09B-network-offline-stage4x-rebuild-a-v001,R09B,"networkMode online/always/offlineFirst, paused fetchStatus, offline-aware UI",verified-visible-from-contact-sheet
