source_id,image_use_id,boundary_region,fileId_short,x,y,width,height,candidate_group,boundary_decision,nearest_labels_for_search_only,review_note
S-065,IU-065,R09A,1a557e01c2,1994.132,6636.076,826,332,r09a-cache-remove-reset-offlinefirst-candidate,candidate-not-final,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES,Candidate for cache removal/reset/offlineFirst/cache availability road. Must be visually rechecked before transcript.
S-066,IU-066,R09A,3b93be2992,3297.684,6731.287,834,362,r09a-cache-remove-reset-offlinefirst-candidate,candidate-not-final,L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,Candidate for cache removal/reset/offlineFirst/cache availability road. Must be visually rechecked before transcript.
S-109,IU-109,R09A,39e62ae511,9033.527,9580.732,408,201,r09a-cache-remove-reset-offlinefirst-candidate,candidate-not-final,L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,Candidate for cache removal/reset/offlineFirst/cache availability road. Must be visually rechecked before transcript.
S-110,IU-110,R09A,96bd41a485,11373.687,9617.883,941,375,r09a-cache-remove-reset-offlinefirst-candidate,candidate-not-final,L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,Candidate for cache removal/reset/offlineFirst/cache availability road. Must be visually rechecked before transcript.
S-113,IU-113,R09A,2bc6c3c458,7487.485,9843.954,954,479,r09a-cache-remove-reset-offlinefirst-candidate,candidate-not-final,L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,Candidate for cache removal/reset/offlineFirst/cache availability road. Must be visually rechecked before transcript.
S-118,IU-118,R09A,5230e3ed40,3059.904,10604.865,919,406,r09a-cache-remove-reset-offlinefirst-candidate,candidate-not-final,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES,Candidate for cache removal/reset/offlineFirst/cache availability road. Must be visually rechecked before transcript.
S-119,IU-119,R09A,2ced60a702,1414.865,10877.397,704,121,r09a-cache-remove-reset-offlinefirst-candidate,candidate-not-final,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES,Candidate for cache removal/reset/offlineFirst/cache availability road. Must be visually rechecked before transcript.
S-121,IU-121,R09A,70259fd00d,3127.73,11026.709,752,482,r09a-cache-remove-reset-offlinefirst-candidate,candidate-not-final,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES,Candidate for cache removal/reset/offlineFirst/cache availability road. Must be visually rechecked before transcript.
S-122,IU-122,R09A,c74a0b5ca9,1395.502,11047.217,830,482,r09a-cache-remove-reset-offlinefirst-candidate,candidate-not-final,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES,Candidate for cache removal/reset/offlineFirst/cache availability road. Must be visually rechecked before transcript.
S-136,IU-136,R09A,90f673f1e8,1372.484,11483.302,884,433,r09a-cache-remove-reset-offlinefirst-candidate,candidate-not-final,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES,Candidate for cache removal/reset/offlineFirst/cache availability road. Must be visually rechecked before transcript.
S-137,IU-137,R09A,cf6de009a3,3147.849,11541.365,792,373,r09a-cache-remove-reset-offlinefirst-candidate,candidate-not-final,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES,Candidate for cache removal/reset/offlineFirst/cache availability road. Must be visually rechecked before transcript.
S-148,IU-148,R09A,ade73b8922,1367.103,11952.04,830,246,r09a-cache-remove-reset-offlinefirst-candidate,candidate-not-final,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES,Candidate for cache removal/reset/offlineFirst/cache availability road. Must be visually rechecked before transcript.
S-156,IU-156,R09A,8f1063ec18,1365.522,12209.121,719,482,r09a-cache-remove-reset-offlinefirst-candidate,candidate-not-final,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES,Candidate for cache removal/reset/offlineFirst/cache availability road. Must be visually rechecked before transcript.
S-166,IU-166,R09A,9b8c6d0493,1338.746,12720.278,921,420,r09a-cache-remove-reset-offlinefirst-candidate,candidate-not-final,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES,Candidate for cache removal/reset/offlineFirst/cache availability road. Must be visually rechecked before transcript.
S-174,IU-174,R09A,cc89bc8d71,1326.269,13143.659,693,254,r09a-cache-remove-reset-offlinefirst-candidate,candidate-not-final,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES,Candidate for cache removal/reset/offlineFirst/cache availability road. Must be visually rechecked before transcript.
S-181,IU-181,R09A,37105501d1,1345.936,13390.325,883,462,r09a-cache-remove-reset-offlinefirst-candidate,candidate-not-final,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES,Candidate for cache removal/reset/offlineFirst/cache availability road. Must be visually rechecked before transcript.
S-188,IU-188,R09A,a0d3c07634,1347.103,13870.825,814,125,r09a-cache-remove-reset-offlinefirst-candidate,candidate-not-final,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES,Candidate for cache removal/reset/offlineFirst/cache availability road. Must be visually rechecked before transcript.
S-189,IU-189,R09A,a4fc92617d,8217.64,13886.989,916,275,r09a-cache-remove-reset-offlinefirst-candidate,candidate-not-final,L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,Candidate for cache removal/reset/offlineFirst/cache availability road. Must be visually rechecked before transcript.
S-192,IU-192,R09A,fc6e30d164,1338.686,14021.502,881,482,r09a-cache-remove-reset-offlinefirst-candidate,candidate-not-final,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES,Candidate for cache removal/reset/offlineFirst/cache availability road. Must be visually rechecked before transcript.
S-195,IU-195,R09A,4330f070b7,9348.943,14194.964,788,482,r09a-cache-remove-reset-offlinefirst-candidate,candidate-not-final,L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,Candidate for cache removal/reset/offlineFirst/cache availability road. Must be visually rechecked before transcript.
S-203,IU-203,R09A,17f9a3bf92,2934.838,14616.237,911,482,r09a-cache-remove-reset-offlinefirst-candidate,candidate-not-final,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES,Candidate for cache removal/reset/offlineFirst/cache availability road. Must be visually rechecked before transcript.
S-211,IU-211,R09A,ed216f6b30,9302.852,14990.627,885,97,r09a-cache-remove-reset-offlinefirst-candidate,candidate-not-final,L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,Candidate for cache removal/reset/offlineFirst/cache availability road. Must be visually rechecked before transcript.
S-213,IU-213,R09A,66a439f157,9301.67,15111.051,931,421,r09a-cache-remove-reset-offlinefirst-candidate,candidate-not-final,L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,Candidate for cache removal/reset/offlineFirst/cache availability road. Must be visually rechecked before transcript.
