source_id,image_use_id,fileId_short,image_file,status,theme,visible_text,notes
S-275,IU-275,5e844a74b1,S-275__5e844a74b1.png,verified-visible-ocr-assisted,32. Offline mutations,"32. Offline mutations
networkMode also matters for mutations.
Offline mutations can be queued and resumed later.
That means several queued writes may replay on reconnect, so plan invalidation and side effects carefully.",Visible text present; no OCR timeout/error placeholder is used.
S-280,IU-280,c078f2032f,S-280__c078f2032f.png,verified-visible-ocr-assisted,1) Default: networkMode: ‘online’,"1) Default: networkMode: ‘online’

This is the default mode. It assumes your query normally depends on network access. The docs say it pauses
network-dependent queries when offline, and if a query was already running when you go offline, the retry
mechanism is paused and continues when connection returns. — tanstack +1",Visible text present; no OCR timeout/error placeholder is used.
S-281,IU-281,17f9a3bf92,S-281__17f9a3bf92.png,verified-visible-ocr-assisted,DOES ONLINE OPTION PAUSES QUERY WHEN IT HAS DATA IN REQCTQ,"DOES ONLINE OPTION PAUSES QUERY WHEN IT HAS DATA IN REQCTQ
CACHE?
Zlyman Ha npotsxKeHun 11s >
Not automatically.
With default networkMode: ‘online’ , a query is paused only when it wants to fetch but cannot because
there is no network connection. TanStack defines fetchStatus: ‘paused’ as “the query wanted to fetch, but
has been paused.”  tanstackcom = 1
So if the query already has cached data:
¢ it can still show that cached data
¢ and it is only paused if a fetch/refetch should happen at that moment and offline prevents it.
tanstack.com +1",Visible text present; no OCR timeout/error placeholder is used.
S-282,IU-282,c6a05bb126,S-282__c6a05bb126.png,verified-visible-ocr-assisted,31. Offline behavior and networkMode,"31. Offline behavior and networkMode
31.1 Paused queries
When offline, queries may become paused instead of fetching.
Possible state:

“) TypeScript

status: ‘pending’

fetchStatus: ""paused""

data: undefined
This is why isLoading is not the same as status === ‘pending’ .
A paused query is not actively loading.",Visible text present; no OCR timeout/error placeholder is used.
S-286,IU-286,635b0dd4d8,S-286__635b0dd4d8.png,verified-visible-ocr-assisted,Example: network-dependent,"Example: network-dependent
“) TypeScript a.)
useQuery({
queryKey: ['‘todos'],
queryFn: async () => {
const res = await fetch('/api/todos')
return res.json()
}
))
This query is network-dependent because:
¢ it calls a remote API
* no internet usually means no successful fetch
How it works in online mode:
¢ online — it fetches normally
¢ offline before it starts > it can be paused instead of actively fetching
¢ offline during retries — retries pause and continue later when back online. —tanstack +:",Visible text present; no OCR timeout/error placeholder is used.
S-291,IU-291,d894c9608c,S-291__d894c9608c.png,verified-visible-ocr-assisted,31.2 Offline-aware UI,"31.2 Offline-aware UI
«> TypeScript 6
function Repos() {
const { data, status, fetchStatus } = useQuery({
querykey: [‘repos'],
queryFn: fetchRepos,
»
if (status === 'pending' && fetchStatus === 'paused') {
return <div>Offline</div>
3
if (status === 'pending' && fetchStatus === 'fetching') {
return <div>Loading. ..</div>
3
return (
<div>
{fetchStatus === ‘paused’ && <div>Offline</div>}
<ul>
{data?.map((repo) => (
<li key={repo.id}>{repo.name}</1i>
))}
</ul>
</div>
) v
+",Visible text present; no OCR timeout/error placeholder is used.
S-294,IU-294,73d84c25d2,S-294__73d84c25d2.png,verified-visible-ocr-assisted,2) networkMode: ‘always*,"2) networkMode: ‘always*
This mode tells TanStack Query to ignore online/offline state and always run the query. The docs say queries
are never paused because of connectivity in this mode, and retries also do not pause. test
Use this when the query function does not really need a network.
Example: local storage / IndexedDB / AsyncStorage
«> TypeScript oO
useQuery({
querykey: ['draftSettings'],
queryFn: async () => {
const raw = localStorage.getItem('draftSettings')
return raw ? JSON.parse(raw) : { theme: ‘dark’ }
Lb
networkMode: 'always"",
3)
Why this is not network-dependent:
* it reads from browser storage
* internet connection is irrelevant Vv",Visible text present; no OCR timeout/error placeholder is used.
S-296,IU-296,810e074c35,S-296__810e074c35.png,verified-visible-ocr-assisted,networkMode: ‘offlineFirst’,"networkMode: ‘offlineFirst’
This is the middle ground. TanStack says it will run once, but then pause retries if needed. That mode is
mainly useful when some cache/storage layer might satisfy the request first. tanstackcom +1",Visible text present; no OCR timeout/error placeholder is used.
S-301,IU-301,805253d94b,S-301__805253d94b.png,verified-visible-ocr-assisted,31.3 networkMode,"31.3 networkMode

Default: ‘online’

Pauses network-dependent queries when offline.

*always*
Use when the query does not actually need network.
«> TypeScript oO
useQuery({
queryKey: ['localValue'],
queryfn: () => Promise.resolve(7),
networkMode: 'always"",

»",Visible text present; no OCR timeout/error placeholder is used.
S-302,IU-302,819762c974,S-302__819762c974.png,verified-visible-ocr-assisted,So when does resumePausedMutations() matter?,"So when does resumePausedMutations() matter?
It matters when you actually have paused mutations — typically with offline behavior under the default
online mode, especially if you persist them across app reloads. The docs show calling
queryClient.resumePausedMutations() after hydration/restore for that case.  tanstaccom -
Best mental model:

* online — offline can pause/queue mutations; resumePausedMutations() is relevant. tanstacccom ~

* (always — don’t pause because of offline; usually nothing to “resume.” tansackcom

© offlineFirst — try once, then pause retries if network is needed. tanstckcom +",Visible text present; no OCR timeout/error placeholder is used.
