label_id,region_id,x,y,x_pct,y_pct,rotation,font_size,line_count,text_original,text_compact
L-001,R01,3625.022167796993,10.0,18.47,0.02,0.0,174.66674804687506,1,react query + browser cache,react query + browser cache
L-002,R01,4687.1910487528885,348.78165108816756,23.88,0.73,0.0,58.400000000000006,1,using react query + http cache with headers from server,using react query + http cache with headers from server
L-003,R01,3593.857674729451,621.2261701311363,18.31,1.3,0.0,41.33333333333333,3,"you need to do calls with if-match yourself
browser does nothing with it 
you are handlinkg concurrency ",you need to do calls with if-match yourself browser does nothing with it you are handlinkg concurrency
L-004,R02,10212.111377801515,1805.6711086007272,52.03,3.79,0.0,76.53334960937502,1,statuses,statuses
L-005,R02,11471.802915842134,2423.714857342493,58.45,5.08,0.0,64.44441731770057,1,examples,examples
L-006,R02,8138.352290939421,2841.607066328259,41.47,5.96,0.0,20.0,1,fund,fund
L-007,R02,13104.68661461619,3000.027903332759,66.77,6.29,0.0,329.333312988281,1,enabled,enabled
L-008,R02,11343.548870083205,3047.2070128717023,57.8,6.39,0.0,79.04761323474233,2,"Isloading
and when there is no data and no fetching",Isloading and when there is no data and no fetching
L-009,R02,13060.018765274883,3476.1044936597973,66.55,7.29,0.0,98.93330078124997,1,conditional queries,conditional queries
L-010,R03,1927.6872852549495,3688.1875738279196,9.82,7.74,0.0,99.99999999999996,1,notifyonchangeprops,notifyonchangeprops
L-011,R02,10180.448308366003,4154.820650402427,51.87,8.72,0.0,52.00000000000004,1,throwing/swallowing errors,throwing/swallowing errors
L-012,R02,7558.543340104285,4278.677886992111,38.51,8.98,0.0,91.11112467448694,1,keys,keys
L-013,R02,12733.399724921925,4500.194561447577,64.88,9.44,0.0,73.33332519531254,1,dont try to interpret disabled quey state in ui,dont try to interpret disabled quey state in ui
L-014,R03,2109.354562273178,4591.520805435997,10.75,9.63,0.0,20.0,1,notifyonchangeproops vs select vs structural sharing,notifyonchangeproops vs select vs structural sharing
L-015,R02,8608.851158730158,4594.934210782085,43.87,9.64,0.0,20.0,3,"so when returning usequey
we get like a query but 
dor our specific resource",so when returning usequey we get like a query but dor our specific resource
L-016,R02,12979.685282260094,4640.908792666189,66.14,9.74,0.0,20.0,4,"move disabled quey to a separate component
 and mount it only when the condition for queryu is met,

so you wont mount disabled query, and enable is being used only for preventing shit","move disabled quey to a separate component and mount it only when the condition for queryu is met,  so you wont mount disabled query, and enable is being used only for preventing shit"
L-017,R02,8592.615017357979,5084.844690378704,43.78,10.67,0.0,81.77773030598179,2,"manual refetch and using state to make new
queries on that state change for a new key",manual refetch and using state to make new queries on that state change for a new key
L-018,R03,2102.687895606512,5696.520805436012,10.71,11.95,0.0,20.0,1,when notifyonchanges is useful,when notifyonchanges is useful
L-019,R03,3298.0478186058026,6147.84228345727,16.8,12.9,0.0,53.77779134114684,1,why not qc.prefetchquery ?,why not qc.prefetchquery ?
