source_id,expected_stage,expected_region,expected_status,ledger_region,ledger_status,decision_is_final,must_recheck_before_region_close,bad_placeholder_signal_found,closure_ok
S-384,Stage6b,R15,processed-in-r15-v002-correction,R15,processed-in-r15-v002-correction,yes-for-r15-stage6b,no-for-stage6b-transcript,no,yes
S-385,Stage6b,R18,processed-in-r18-v001,R18,processed-in-r18-v001,yes-for-r18-stage6b,no-for-stage6b-transcript,no,yes
S-386,Stage6d,R12,processed-in-r12-v003-tail,R12,processed-in-r12-v003-tail,yes-for-r12-stage6d,no-for-stage6d-transcript,no,yes
S-387,Stage6b,R18,processed-in-r18-v001,R18,processed-in-r18-v001,yes-for-r18-stage6b,no-for-stage6b-transcript,no,yes
S-388,Stage6b,R15,processed-in-r15-v002-correction,R15,processed-in-r15-v002-correction,yes-for-r15-stage6b,no-for-stage6b-transcript,no,yes
S-389,Stage6d,R12,processed-in-r12-v003-tail,R12,processed-in-r12-v003-tail,yes-for-r12-stage6d,no-for-stage6d-transcript,no,yes
S-390,Stage6b,R16,processed-in-r16-v001,R16,processed-in-r16-v001,yes-for-r16-stage6b,no-for-stage6b-transcript,no,yes
S-391,Stage6b,R18,processed-in-r18-v001,R18,processed-in-r18-v001,yes-for-r18-stage6b,no-for-stage6b-transcript,no,yes
S-392,Stage6b,R15,processed-in-r15-v002-correction,R15,processed-in-r15-v002-correction,yes-for-r15-stage6b,no-for-stage6b-transcript,no,yes
S-393,Stage6d,R12,processed-in-r12-v003-tail,R12,processed-in-r12-v003-tail,yes-for-r12-stage6d,no-for-stage6d-transcript,no,yes
S-394,Stage6b,R16,processed-in-r16-v001,R16,processed-in-r16-v001,yes-for-r16-stage6b,no-for-stage6b-transcript,no,yes
S-395,Stage6b,R15,processed-in-r15-v002-correction,R15,processed-in-r15-v002-correction,yes-for-r15-stage6b,no-for-stage6b-transcript,no,yes
S-396,Stage6d,R12,processed-in-r12-v003-tail,R12,processed-in-r12-v003-tail,yes-for-r12-stage6d,no-for-stage6d-transcript,no,yes
S-397,Stage6b,R18,processed-in-r18-v001,R18,processed-in-r18-v001,yes-for-r18-stage6b,no-for-stage6b-transcript,no,yes
S-398,Stage6b,R16,processed-in-r16-v001,R16,processed-in-r16-v001,yes-for-r16-stage6b,no-for-stage6b-transcript,no,yes
