source_id,decision,region,reason,status
S-118,included-in-R05-v003-correction-stage4x-rebuild-a-v001,R05,missing infinite-query / infinite-scroll / getNextPageParam / hasNextPage continuation cards,verified-visible-from-contact-sheet
S-119,included-in-R05-v003-correction-stage4x-rebuild-a-v001,R05,missing infinite-query / infinite-scroll / getNextPageParam / hasNextPage continuation cards,verified-visible-from-contact-sheet
S-121,included-in-R05-v003-correction-stage4x-rebuild-a-v001,R05,missing infinite-query / infinite-scroll / getNextPageParam / hasNextPage continuation cards,verified-visible-from-contact-sheet
S-122,included-in-R05-v003-correction-stage4x-rebuild-a-v001,R05,missing infinite-query / infinite-scroll / getNextPageParam / hasNextPage continuation cards,verified-visible-from-contact-sheet
S-136,included-in-R05-v003-correction-stage4x-rebuild-a-v001,R05,missing infinite-query / infinite-scroll / getNextPageParam / hasNextPage continuation cards,verified-visible-from-contact-sheet
S-137,included-in-R05-v003-correction-stage4x-rebuild-a-v001,R05,missing infinite-query / infinite-scroll / getNextPageParam / hasNextPage continuation cards,verified-visible-from-contact-sheet
S-148,included-in-R05-v003-correction-stage4x-rebuild-a-v001,R05,missing infinite-query / infinite-scroll / getNextPageParam / hasNextPage continuation cards,verified-visible-from-contact-sheet
S-156,included-in-R05-v003-correction-stage4x-rebuild-a-v001,R05,missing infinite-query / infinite-scroll / getNextPageParam / hasNextPage continuation cards,verified-visible-from-contact-sheet
S-166,included-in-R05-v003-correction-stage4x-rebuild-a-v001,R05,missing infinite-query / infinite-scroll / getNextPageParam / hasNextPage continuation cards,verified-visible-from-contact-sheet
S-174,included-in-R05-v003-correction-stage4x-rebuild-a-v001,R05,missing infinite-query / infinite-scroll / getNextPageParam / hasNextPage continuation cards,verified-visible-partial-from-contact-sheet
S-181,included-in-R05-v003-correction-stage4x-rebuild-a-v001,R05,missing infinite-query / infinite-scroll / getNextPageParam / hasNextPage continuation cards,verified-visible-from-contact-sheet
S-188,included-in-R05-v003-correction-stage4x-rebuild-a-v001,R05,missing infinite-query / infinite-scroll / getNextPageParam / hasNextPage continuation cards,verified-visible-from-contact-sheet
S-192,included-in-R05-v003-correction-stage4x-rebuild-a-v001,R05,missing infinite-query / infinite-scroll / getNextPageParam / hasNextPage continuation cards,verified-visible-from-contact-sheet
