region_source_id,source_id,image_use_id,fileId_short,status,candidate_type,readability,cut_off,confidence,theme,notes
R08C-S001,S-127,IU-127,78a5bec30e,verified-visible-partial-from-extracted-svg-image,r08c-shared-queryclient-file,high,bottom-continuation-visible-in-s141,high-for-visible-text,Create one shared QueryClient file,The bottom says to use the same instance in React; S-141 continues the React/outside-React usage.
R08C-S002,S-133,IU-133,0a41cac8a5,verified-visible-partial-from-extracted-svg-image,r08c-setqueriesdata-per-entry-old,high,bottom-continuation-cropped,high-for-visible-text,setQueriesData updater runs once per matching cache entry,Bottom continuation is cropped; the core per-entry `old` behavior is visible.
R08C-S003,S-135,IU-135,471c964d3b,verified-from-extracted-svg-image,r08c-olddata-shape-source,high,no,high,How oldData shape is known,Verified from extracted SVG image.
R08C-S004,S-141,IU-141,d913087434,verified-visible-partial-from-extracted-svg-image,r08c-shared-client-react-and-outside,high,bottom-ui-overlay-no-obvious-text-loss,high-for-visible-text,Use the same QueryClient instance in React and outside React,Continuation of S-127. Bottom UI overlay visible; no obvious text loss.
R08C-S005,S-149,IU-149,8c5f325354,verified-visible-partial-from-extracted-svg-image,r08c-mixed-shape-danger,high,bottom-ui-overlay-no-obvious-text-loss,high-for-visible-text,Problem when one matching query stores another shape,Bottom UI overlay visible; content is readable.
R08C-S006,S-155,IU-155,7580b14f8c,verified-from-extracted-svg-image,r08c-outside-react-use-cases-caveat,high,no,high,When QueryClient outside React is useful and same-instance caveat,Verified from extracted SVG image.
R08C-S007,S-160,IU-160,57e5d6a530,verified-from-extracted-svg-image,r08c-setqueriesdata-compatible-shape-rule,high,no,high,Rule of thumb for setQueriesData compatible shapes,Verified from extracted SVG image.
R08C-S008,S-170,IU-170,eb754a7f2d,verified-from-extracted-svg-image,r08c-avoid-mixed-shapes-clearer-keys,high,top-continuation-from-s160-visible-at-edge,high,Avoid mixed shapes with clearer keys,"The very top has continuation text from the previous source, but the R08C content is clear."
R08C-S009,S-179,IU-179,d8da9f8d84,verified-visible-partial-from-extracted-svg-image,r08c-centralize-query-keys,high,top-continuation-from-s170-visible-at-edge,high-for-visible-text,Centralize query keys with key factories,Top has tail text from S-170; centralize-key content is readable.
R08C-S010,S-187,IU-187,5e6930a90d,verified-visible-partial-from-extracted-svg-image,r08c-inspect-and-prefer-invalidation,high,top-continuation-cropped,high-for-visible-text,Use getQueriesData first and prefer invalidation when shapes differ,Top continuation cropped; visible text is complete for points 3 and 4.
