x,y,width,height,symbol_id,file_sha,source_id,image_use_id,region_candidate,stage0_status,transcript_status,notes,stage1_status
20396.41758993817,522.9253733195583,689.0,482.0,image-b5f418661bfc86aefc082c8d747d5ee3164c1650,8706118b38f9,S-001,IU-001,R01,candidate-only,closed-by-stage1-final-coverage-v001,Closed by combined three-conspect stage1 final coverage archive v001.,verified-semantic-transcript
20383.988673452724,1025.9847378340273,604.0,463.0,image-39390414055bb4131b46b4192cf8903f57398d29,211f4c16adb2,S-002,IU-002,R01,candidate-only,closed-by-stage1-final-coverage-v001,Closed by combined three-conspect stage1 final coverage archive v001.,verified-semantic-transcript
20403.94536490716,1552.5919992961208,804.0,482.0,image-0b08678506794fded472507429a970ab306ffa9e,341ac6c067ab,S-003,IU-003,R01,candidate-only,closed-by-stage1-final-coverage-v001,Closed by combined three-conspect stage1 final coverage archive v001.,verified-semantic-transcript
10295.44741875779,2634.6513939858623,870.0,482.0,image-83cb602b2c0c3b8ff60c5e416f770f84bc391ed0,bf36e0658763,S-004,IU-004,R01,candidate-only,closed-by-stage1-final-coverage-v001,Closed by combined three-conspect stage1 final coverage archive v001.,verified-semantic-transcript
6940.660477370919,8945.103778013221,481.0,443.0,image-7925e153d0b47f607e9a1e0ea62bfacde649ab46,aaed27762b9e,S-005,IU-005,R02,candidate-only,closed-by-stage1-final-coverage-v001,Closed by combined three-conspect stage1 final coverage archive v001.,verified-semantic-transcript
6850.809814449127,9409.256993694025,737.0,482.0,image-9becc617ee5454eee3c40020f14817f4dea94eb9,e07720606ef1,S-006,IU-006,R02,candidate-only,closed-by-stage1-final-coverage-v001,Closed by combined three-conspect stage1 final coverage archive v001.,verified-semantic-transcript
6844.589048799491,9906.960920870362,776.0,325.0,image-8991f96250f29a26399e08b60b3ff70e6243ee26,b2ee3a72ae2c,S-007,IU-007,R02,candidate-only,closed-by-stage1-final-coverage-v001,Closed by combined three-conspect stage1 final coverage archive v001.,verified-semantic-transcript
6786.684403152169,10256.74663515608,808.0,334.0,image-7c5ec833f291a401e5d5dc980a40e4312501673b,cebfb7b5d17b,S-008,IU-008,R02,candidate-only,closed-by-stage1-final-coverage-v001,Closed by combined three-conspect stage1 final coverage archive v001.,verified-semantic-transcript
6786.675442022217,10611.161813727507,850.0,717.0,image-05975ddacdda384f27f5f172b19650bb4542d05a,863ac586a949,S-009,IU-009,R02,candidate-only,closed-by-stage1-final-coverage-v001,Closed by combined three-conspect stage1 final coverage archive v001.,verified-semantic-transcript
6755.49369444681,11353.436995089116,878.0,133.0,image-0825c5df59f55b6b0f8dd09ab4d386d330b4351a,f433fa2d48d6,S-010,IU-010,R02,candidate-only,closed-by-stage1-final-coverage-v001,Closed by combined three-conspect stage1 final coverage archive v001.,verified-semantic-transcript
