region,source_id,image_use_id,file_sha,x,y,width,height,stage1_status,region_meaning
R01,S-001,IU-001,8706118b38f9,20396.41758993817,522.9253733195583,689.0,482.0,verified-semantic-transcript,"core protocol, handshake, message processing, close semantics, client/server APIs"
R01,S-002,IU-002,211f4c16adb2,20383.988673452724,1025.9847378340273,604.0,463.0,verified-semantic-transcript,"core protocol, handshake, message processing, close semantics, client/server APIs"
R01,S-003,IU-003,341ac6c067ab,20403.94536490716,1552.5919992961208,804.0,482.0,verified-semantic-transcript,"core protocol, handshake, message processing, close semantics, client/server APIs"
R01,S-004,IU-004,bf36e0658763,10295.44741875779,2634.6513939858623,870.0,482.0,verified-semantic-transcript,"core protocol, handshake, message processing, close semantics, client/server APIs"
R02,S-005,IU-005,aaed27762b9e,6940.660477370919,8945.103778013221,481.0,443.0,verified-semantic-transcript,".NET/browser properties, subprotocols, one-send/one-receive rule, channels, frames"
R02,S-006,IU-006,e07720606ef1,6850.809814449127,9409.256993694025,737.0,482.0,verified-semantic-transcript,".NET/browser properties, subprotocols, one-send/one-receive rule, channels, frames"
R02,S-007,IU-007,b2ee3a72ae2c,6844.589048799491,9906.960920870362,776.0,325.0,verified-semantic-transcript,".NET/browser properties, subprotocols, one-send/one-receive rule, channels, frames"
R02,S-008,IU-008,cebfb7b5d17b,6786.684403152169,10256.74663515608,808.0,334.0,verified-semantic-transcript,".NET/browser properties, subprotocols, one-send/one-receive rule, channels, frames"
R02,S-009,IU-009,863ac586a949,6786.675442022217,10611.161813727507,850.0,717.0,verified-semantic-transcript,".NET/browser properties, subprotocols, one-send/one-receive rule, channels, frames"
R02,S-010,IU-010,f433fa2d48d6,6755.49369444681,11353.436995089116,878.0,133.0,verified-semantic-transcript,".NET/browser properties, subprotocols, one-send/one-receive rule, channels, frames"
R02,S-011,IU-011,2b37b94cf460,6800.876375909014,11525.447440820142,642.0,482.0,verified-semantic-transcript,".NET/browser properties, subprotocols, one-send/one-receive rule, channels, frames"
R03,S-012,IU-012,88297a627567,6803.089903831671,12013.066633760991,726.0,482.0,verified-semantic-transcript,"browser client behavior, bufferedAmount, auth, cookies/JWT/origin/allowed origins"
R03,S-013,IU-013,028553302476,6772.160477370919,12518.31806372751,818.0,268.0,verified-semantic-transcript,"browser client behavior, bufferedAmount, auth, cookies/JWT/origin/allowed origins"
R03,S-014,IU-014,f7a59e19158d,6761.041371623152,12826.056100836886,825.0,323.0,verified-semantic-transcript,"browser client behavior, bufferedAmount, auth, cookies/JWT/origin/allowed origins"
R03,S-015,IU-015,4d96524a3761,6751.398688866455,13131.818063727513,810.0,401.0,verified-semantic-transcript,"browser client behavior, bufferedAmount, auth, cookies/JWT/origin/allowed origins"
R03,S-016,IU-016,e06e336b60ea,6742.963389852317,13559.73324229894,774.0,482.0,verified-semantic-transcript,"browser client behavior, bufferedAmount, auth, cookies/JWT/origin/allowed origins"
R03,S-017,IU-017,7490d60891cc,6726.422440261544,14064.151367996486,799.0,403.0,verified-semantic-transcript,"browser client behavior, bufferedAmount, auth, cookies/JWT/origin/allowed origins"
R03,S-018,IU-018,6a291c130cad,6726.16065175708,14508.651367996486,750.0,394.0,verified-semantic-transcript,"browser client behavior, bufferedAmount, auth, cookies/JWT/origin/allowed origins"
R03,S-019,IU-019,20ca4c654d04,9067.39160415719,15556.751590676933,916.0,282.0,verified-semantic-transcript,"browser client behavior, bufferedAmount, auth, cookies/JWT/origin/allowed origins"
R03,S-020,IU-020,3c1b20e7018c,9065.363041045497,15842.291809938462,973.0,337.0,verified-semantic-transcript,"browser client behavior, bufferedAmount, auth, cookies/JWT/origin/allowed origins"
R03,S-021,IU-021,d20621f89503,9072.813624942806,16213.083277532896,805.0,463.0,verified-semantic-transcript,"browser client behavior, bufferedAmount, auth, cookies/JWT/origin/allowed origins"
