source_id,image_use_id,symbol_id,sha256,file,x,y,width,height,status,notes
S-001,,image-0df23022fe91e635ef11451ddc141712dbc0d913,842b390a3e928226c2cc4d86fa5693e7944099a80d7664f946416841d48643a7,842b390a3e928226c2cc4d86fa5693e7944099a80d7664f946416841d48643a7.png,118.614,208.852,814.0,301.0,closed-by-final-transcript,Verified in final semantic transcript.
S-002,,image-fb583988d4dc825fa1dd79dc739ff2ebb9608172,e1cf54b8e2ed5744a45710aa4530f0e263506e00d4ccbfa8e997c9498386803f,e1cf54b8e2ed5744a45710aa4530f0e263506e00d4ccbfa8e997c9498386803f.png,126.574,516.714,721.0,482.0,closed-by-final-transcript,Verified in final semantic transcript.
S-003,,image-39f2cb6069f0cd49d450e59f0ff79fd6ad59701f,e5784f04dcbe1851aa16e0fb30303c64e7f4e1b4cc63ae6550e94893e24d3ab2,e5784f04dcbe1851aa16e0fb30303c64e7f4e1b4cc63ae6550e94893e24d3ab2.png,104.355,1022.185,764.0,341.0,closed-by-final-transcript,Verified in final semantic transcript.
S-004,,image-9451dc92c08badba5b69b3cf53b4ac903a57535e,cf7b4916a7808eb256cbb04ba6a58baf858973d3e81176234d7d11173c8e4542,cf7b4916a7808eb256cbb04ba6a58baf858973d3e81176234d7d11173c8e4542.png,67.474,1378.555,813.0,285.0,closed-by-final-transcript,Verified in final semantic transcript.
S-005,,image-7add2ff50547348e2a0e5d291cf78223fa770dcd,ce74d0a7969403d11c9cc6575cc8b5809e7764e33c1253a7f2231fc8e8c64747,ce74d0a7969403d11c9cc6575cc8b5809e7764e33c1253a7f2231fc8e8c64747.png,92.37,1793.676,734.0,121.0,closed-by-final-transcript,Verified in final semantic transcript.
S-006,,image-b92a7aaaf6d3cd5b1fca6e78137a64a84c4d6127,8ce397d9ac69c228ea190f81f634734417a4df9e7209d111ef3d4412c11d688a,8ce397d9ac69c228ea190f81f634734417a4df9e7209d111ef3d4412c11d688a.png,97.519,1971.287,700.0,308.0,closed-by-final-transcript,Verified in final semantic transcript.
S-007,,image-eb3c3cf5df07c9f42cf51a242f8039ae683cf71e,31f1f8e8d3aab9a2cfa2d4627c9e25ac9d5c1d47c464c2acfc4fedb9bda03bd1,31f1f8e8d3aab9a2cfa2d4627c9e25ac9d5c1d47c464c2acfc4fedb9bda03bd1.png,55.648,2328.028,763.0,276.0,closed-by-final-transcript,Verified in final semantic transcript.
S-008,,image-c6123c9bbb722a2ed7c438d35b771a95539baac3,243d6d811d5593fdaf006e9bf33d0ccde489a27500d0d7ee363657d72f8f6e2f,243d6d811d5593fdaf006e9bf33d0ccde489a27500d0d7ee363657d72f8f6e2f.png,40.722,2630.213,781.0,442.0,closed-by-final-transcript,Verified in final semantic transcript.
S-009,,image-914c74fb48357e932de4fd5cd4497997b53a9439,e11bdb9dcdf31b47b716c342d463bbac01c2f256eef0813525b635c61aa9a5db,e11bdb9dcdf31b47b716c342d463bbac01c2f256eef0813525b635c61aa9a5db.png,21.0,3092.769,776.0,468.0,closed-by-final-transcript,Verified in final semantic transcript.
S-010,,image-052f246271ece203d1a890b29881c61c2ef67ef8,bab0cdd9faee2d79166caf90c4a3565a88f1c239d4d8327f603894c5fe881025,bab0cdd9faee2d79166caf90c4a3565a88f1c239d4d8327f603894c5fe881025.png,10.0,3581.824,798.0,441.0,closed-by-final-transcript,Verified in final semantic transcript.
