source_id,region,coverage_status,decision_is_final,must_recheck_before_region_close,bad_placeholder_signal_found,closure_ok
S-001,SCOPEIDISP-R01,processed-in-scopeidisp-r01-v001,yes-for-scopeidisp-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-002,SCOPEIDISP-R01,processed-in-scopeidisp-r01-v001,yes-for-scopeidisp-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-003,SCOPEIDISP-R01,processed-in-scopeidisp-r01-v001,yes-for-scopeidisp-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-004,SCOPEIDISP-R01,processed-in-scopeidisp-r01-v001,yes-for-scopeidisp-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-005,SCOPEIDISP-R01,processed-in-scopeidisp-r01-v001,yes-for-scopeidisp-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-006,SCOPEIDISP-R01,processed-in-scopeidisp-r01-v001,yes-for-scopeidisp-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-007,SCOPEIDISP-R01,processed-in-scopeidisp-r01-v001,yes-for-scopeidisp-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-008,SCOPEIDISP-R01,processed-in-scopeidisp-r01-v001,yes-for-scopeidisp-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-009,SCOPEIDISP-R02,processed-in-scopeidisp-r02-v001,yes-for-scopeidisp-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-010,SCOPEIDISP-R02,processed-in-scopeidisp-r02-v001,yes-for-scopeidisp-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-011,SCOPEIDISP-R02,processed-in-scopeidisp-r02-v001,yes-for-scopeidisp-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-012,SCOPEIDISP-R02,processed-in-scopeidisp-r02-v001,yes-for-scopeidisp-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-013,SCOPEIDISP-R02,processed-in-scopeidisp-r02-v001,yes-for-scopeidisp-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-014,SCOPEIDISP-R02,processed-in-scopeidisp-r02-v001,yes-for-scopeidisp-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-015,SCOPEIDISP-R02,processed-in-scopeidisp-r02-v001,yes-for-scopeidisp-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-016,SCOPEIDISP-R03,processed-in-scopeidisp-r03-v001,yes-for-scopeidisp-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-017,SCOPEIDISP-R03,processed-in-scopeidisp-r03-v001,yes-for-scopeidisp-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-018,SCOPEIDISP-R03,processed-in-scopeidisp-r03-v001,yes-for-scopeidisp-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-019,SCOPEIDISP-R03,processed-in-scopeidisp-r03-v001,yes-for-scopeidisp-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-020,SCOPEIDISP-R03,processed-in-scopeidisp-r03-v001,yes-for-scopeidisp-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-021,SCOPEIDISP-R03,processed-in-scopeidisp-r03-v001,yes-for-scopeidisp-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-022,SCOPEIDISP-R03,processed-in-scopeidisp-r03-v001,yes-for-scopeidisp-r03-stage1,no-for-stage1-semantic-transcript,no,yes
