source_id,image_use_id,fileId,fileId_short,image_file,x,y,width,height,nearest_labels_for_search_only,coverage_status,current_region_decision,decision_is_final,must_recheck_before_region_close,decision_basis,review_notes,stage0_group_key
S-001,IU-001,aeeaaf2afaf4a09fb91d57bfb97ae9a29edd94aa,aeeaaf2afa,S-001__aeeaaf2afa.png,429.621,216.067,813.0,443.0,NEED TO BE DISPOSED(USUALLY THEY ARE IDISPOSABLE) | NEED IDISPOSABLE USUALLY WHEN CLASS HOLDS RESOURCES THAT | SCOPES AND IDISPOSABLE | !!! | WTF ARE ALL OF THESE | !!!! looks like sheet | THERE IS SOME SHIT LIKE SAFEHANDLE BUT IT SEEMS THAT I ABSOLUTELY | DONT NEED IT AT FUCKILNG ALL | SAFEHANDLE ALLOWS TO NOT WRITE FINALISERS WITH SOME NATIVE SHIT,scopeidisp-r01-candidate-stage0,SCOPEIDISP-R01,no-stage0-boundary-review-only,yes-for-scopeidisp-r01,"Stage0 boundary candidate only: IDisposable basics: resource lifetime, using/await using, Dispose, deterministic cleanup, and why IDisposable is not garbage collection.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,SCOPEIDISP-R01-disposable-lifetime-using-dispose
S-002,IU-002,b19b07e6931d75684c6bd4202557fcafc4b98ea2,b19b07e693,S-002__b19b07e693.png,1332.355,227.374,940.0,399.0,NEED TO BE DISPOSED(USUALLY THEY ARE IDISPOSABLE) | NEED IDISPOSABLE USUALLY WHEN CLASS HOLDS RESOURCES THAT | SCOPES AND IDISPOSABLE | !!! | WTF ARE ALL OF THESE | !!!! looks like sheet | THERE IS SOME SHIT LIKE SAFEHANDLE BUT IT SEEMS THAT I ABSOLUTELY | DONT NEED IT AT FUCKILNG ALL | SAFEHANDLE ALLOWS TO NOT WRITE FINALISERS WITH SOME NATIVE SHIT,scopeidisp-r01-candidate-stage0,SCOPEIDISP-R01,no-stage0-boundary-review-only,yes-for-scopeidisp-r01,"Stage0 boundary candidate only: IDisposable basics: resource lifetime, using/await using, Dispose, deterministic cleanup, and why IDisposable is not garbage collection.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,SCOPEIDISP-R01-disposable-lifetime-using-dispose
S-003,IU-003,c8d85c4b091c6000d5b1f5a9a93de3771bee8fe9,c8d85c4b09,S-003__c8d85c4b09.png,368.572,713.399,992.0,267.0,!!! | NEED TO BE DISPOSED(USUALLY THEY ARE IDISPOSABLE) | NEED IDISPOSABLE USUALLY WHEN CLASS HOLDS RESOURCES THAT | SCOPES AND IDISPOSABLE | WTF ARE ALL OF THESE | !!!! looks like sheet | THERE IS SOME SHIT LIKE SAFEHANDLE BUT IT SEEMS THAT I ABSOLUTELY | DONT NEED IT AT FUCKILNG ALL | SAFEHANDLE ALLOWS TO NOT WRITE FINALISERS WITH SOME NATIVE SHIT,scopeidisp-r01-candidate-stage0,SCOPEIDISP-R01,no-stage0-boundary-review-only,yes-for-scopeidisp-r01,"Stage0 boundary candidate only: IDisposable basics: resource lifetime, using/await using, Dispose, deterministic cleanup, and why IDisposable is not garbage collection.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,SCOPEIDISP-R01-disposable-lifetime-using-dispose
S-004,IU-004,538e029474a3b00690ddbae9c7f8ef046d80b054,538e029474,S-004__538e029474.png,376.341,1020.514,877.0,479.0,!!! | NEED TO BE DISPOSED(USUALLY THEY ARE IDISPOSABLE) | NEED IDISPOSABLE USUALLY WHEN CLASS HOLDS RESOURCES THAT | SCOPES AND IDISPOSABLE | WTF ARE ALL OF THESE | !!!! looks like sheet | THERE IS SOME SHIT LIKE SAFEHANDLE BUT IT SEEMS THAT I ABSOLUTELY | DONT NEED IT AT FUCKILNG ALL | SAFEHANDLE ALLOWS TO NOT WRITE FINALISERS WITH SOME NATIVE SHIT,scopeidisp-r01-candidate-stage0,SCOPEIDISP-R01,no-stage0-boundary-review-only,yes-for-scopeidisp-r01,"Stage0 boundary candidate only: IDisposable basics: resource lifetime, using/await using, Dispose, deterministic cleanup, and why IDisposable is not garbage collection.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,SCOPEIDISP-R01-disposable-lifetime-using-dispose
S-005,IU-005,a02a07511a5c6a8342cefe2f83c2cb66d2b8bbe3,a02a07511a,S-005__a02a07511a.png,385.778,1535.128,941.0,204.0,!!! | NEED TO BE DISPOSED(USUALLY THEY ARE IDISPOSABLE) | NEED IDISPOSABLE USUALLY WHEN CLASS HOLDS RESOURCES THAT | SCOPES AND IDISPOSABLE | WTF ARE ALL OF THESE | !!!! looks like sheet | THERE IS SOME SHIT LIKE SAFEHANDLE BUT IT SEEMS THAT I ABSOLUTELY | DONT NEED IT AT FUCKILNG ALL | SAFEHANDLE ALLOWS TO NOT WRITE FINALISERS WITH SOME NATIVE SHIT,scopeidisp-r01-candidate-stage0,SCOPEIDISP-R01,no-stage0-boundary-review-only,yes-for-scopeidisp-r01,"Stage0 boundary candidate only: IDisposable basics: resource lifetime, using/await using, Dispose, deterministic cleanup, and why IDisposable is not garbage collection.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,SCOPEIDISP-R01-disposable-lifetime-using-dispose
S-006,IU-006,50440022981a899f9779e7041bacdf67449495eb,5044002298,S-006__5044002298.png,386.682,1809.153,898.0,363.0,!!! | NEED TO BE DISPOSED(USUALLY THEY ARE IDISPOSABLE) | NEED IDISPOSABLE USUALLY WHEN CLASS HOLDS RESOURCES THAT | SCOPES AND IDISPOSABLE | WTF ARE ALL OF THESE | !!!! looks like sheet | THERE IS SOME SHIT LIKE SAFEHANDLE BUT IT SEEMS THAT I ABSOLUTELY | DONT NEED IT AT FUCKILNG ALL | SAFEHANDLE ALLOWS TO NOT WRITE FINALISERS WITH SOME NATIVE SHIT,scopeidisp-r01-candidate-stage0,SCOPEIDISP-R01,no-stage0-boundary-review-only,yes-for-scopeidisp-r01,"Stage0 boundary candidate only: IDisposable basics: resource lifetime, using/await using, Dispose, deterministic cleanup, and why IDisposable is not garbage collection.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,SCOPEIDISP-R01-disposable-lifetime-using-dispose
S-007,IU-007,8311cc16d5f0564c45ca994ead364f3e8025c27e,8311cc16d5,S-007__8311cc16d5.png,362.345,2239.12,955.0,425.0,!!! | NEED TO BE DISPOSED(USUALLY THEY ARE IDISPOSABLE) | NEED IDISPOSABLE USUALLY WHEN CLASS HOLDS RESOURCES THAT | SCOPES AND IDISPOSABLE | WTF ARE ALL OF THESE | !!!! looks like sheet | THERE IS SOME SHIT LIKE SAFEHANDLE BUT IT SEEMS THAT I ABSOLUTELY | DONT NEED IT AT FUCKILNG ALL | SAFEHANDLE ALLOWS TO NOT WRITE FINALISERS WITH SOME NATIVE SHIT,scopeidisp-r01-candidate-stage0,SCOPEIDISP-R01,no-stage0-boundary-review-only,yes-for-scopeidisp-r01,"Stage0 boundary candidate only: IDisposable basics: resource lifetime, using/await using, Dispose, deterministic cleanup, and why IDisposable is not garbage collection.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,SCOPEIDISP-R01-disposable-lifetime-using-dispose
S-008,IU-008,f09e849c9ccb51bdbb59bdf546c0b3835ff9d7db,f09e849c9c,S-008__f09e849c9c.png,382.258,2688.884,838.0,482.0,!!! | NEED TO BE DISPOSED(USUALLY THEY ARE IDISPOSABLE) | NEED IDISPOSABLE USUALLY WHEN CLASS HOLDS RESOURCES THAT | WTF ARE ALL OF THESE | SCOPES AND IDISPOSABLE | !!!! looks like sheet | THERE IS SOME SHIT LIKE SAFEHANDLE BUT IT SEEMS THAT I ABSOLUTELY | DONT NEED IT AT FUCKILNG ALL | SAFEHANDLE ALLOWS TO NOT WRITE FINALISERS WITH SOME NATIVE SHIT,scopeidisp-r01-candidate-stage0,SCOPEIDISP-R01,no-stage0-boundary-review-only,yes-for-scopeidisp-r01,"Stage0 boundary candidate only: IDisposable basics: resource lifetime, using/await using, Dispose, deterministic cleanup, and why IDisposable is not garbage collection.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,SCOPEIDISP-R01-disposable-lifetime-using-dispose
S-009,IU-009,2ddc28854a5dc663510a0b660233a77b82e8ae8d,2ddc28854a,S-009__2ddc28854a.png,413.215,3191.323,965.0,320.0,!!! | WTF ARE ALL OF THESE | NEED TO BE DISPOSED(USUALLY THEY ARE IDISPOSABLE) | NEED IDISPOSABLE USUALLY WHEN CLASS HOLDS RESOURCES THAT | SCOPES AND IDISPOSABLE | !!!! looks like sheet | THERE IS SOME SHIT LIKE SAFEHANDLE BUT IT SEEMS THAT I ABSOLUTELY | DONT NEED IT AT FUCKILNG ALL | SAFEHANDLE ALLOWS TO NOT WRITE FINALISERS WITH SOME NATIVE SHIT,scopeidisp-r02-candidate-stage0,SCOPEIDISP-R02,no-stage0-boundary-review-only,yes-for-scopeidisp-r02,"Stage0 boundary candidate only: Dependency Injection scopes: singleton/scoped/transient lifetimes, IServiceScope, IServiceScopeFactory, CreateScope, resolving scoped services, and scope disposal.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,SCOPEIDISP-R02-di-scopes-services-scopefactory
S-010,IU-010,84914e6cc49a098985bb2c262e322e536851e002,84914e6cc4,S-010__84914e6cc4.png,407.984,3526.482,1048.0,434.0,WTF ARE ALL OF THESE | !!! | NEED TO BE DISPOSED(USUALLY THEY ARE IDISPOSABLE) | NEED IDISPOSABLE USUALLY WHEN CLASS HOLDS RESOURCES THAT | SCOPES AND IDISPOSABLE | !!!! looks like sheet | THERE IS SOME SHIT LIKE SAFEHANDLE BUT IT SEEMS THAT I ABSOLUTELY | DONT NEED IT AT FUCKILNG ALL | SAFEHANDLE ALLOWS TO NOT WRITE FINALISERS WITH SOME NATIVE SHIT,scopeidisp-r02-candidate-stage0,SCOPEIDISP-R02,no-stage0-boundary-review-only,yes-for-scopeidisp-r02,"Stage0 boundary candidate only: Dependency Injection scopes: singleton/scoped/transient lifetimes, IServiceScope, IServiceScopeFactory, CreateScope, resolving scoped services, and scope disposal.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,SCOPEIDISP-R02-di-scopes-services-scopefactory
