text_id,text,normalized_text,previous_old_text,old_inventory_exact_match,old_inventory_normalized_match,x,y,font_size,sha256,region_id,coverage_status,assignment_count
T-001,event data,event data,event data,True,True,6160.679832002034,1855.7799464989782,134.28571428571595px,62537e8f912492513665fcd4eb1f23edb0db2e5db65f96b05eabe3f65e2c8f0d,R01,processed-semantic-transcript,1
T-002,command interseptors,command interseptors,command interseptors,True,True,9627.547713110453,1557.4389273342892,222.66674804687503px,17a9343c2973f8f235010fccb7ff542a65be519e311240e6ec2423390e1ddaaf,R04,processed-semantic-transcript,1
T-003,how to know that something was suppressed,how to know that something was suppressed,how to know that something was suppressed,True,True,7529.164661247833,1703.8156607052106,72.4444444444445px,7e806d099058d22414483873d97ead5840edbe9b769cec9958109d5e9832d507,R02,processed-semantic-transcript,1
T-004,some negative flags or,some negative flags or,some negative flags or,True,True,7529.164661247833,1794.3712162607662,72.4444444444445px,b88a08b0f1e6afe90d7a3bd77c43e0e44f01474996bcd070d1291962befd4403,R02,processed-semantic-transcript,1
T-005,!!! scoped marker service,!!! scoped marker service,!!! scoped marker service,True,True,7529.164661247833,1884.9267718163217,72.4444444444445px,54c784b08d3dce22bf89447d6fd2249c892e8ecf1e0ad119462b9bb3a709ee14,R02,processed-semantic-transcript,1
T-006,!!!,!!!,!!!,True,True,7420.982741340754,3214.6725305684117,45.21209161931767px,e84c538e7fe250730ef62de220c40dfa808d3008c0cdb437181564b88b8714b8,R02,processed-semantic-transcript,1
T-007,dbcommand,dbcommand,dbcommand,True,True,10230.300160524159,6321.932769388811,194.81475151909987px,a967440bc076b0b41fef6c12b496a75f29228adaf43c187f1ec574d7da0d240e,R05,processed-semantic-transcript,1
T-008,!!!,!!!,!!!,True,True,10052.188944762038,8217.998106643161,99.08419892282px,e84c538e7fe250730ef62de220c40dfa808d3008c0cdb437181564b88b8714b8,R05,processed-semantic-transcript,1
T-009,savechanges,savechanges,savechanges,True,True,3235.1373948825394,1534.28552131904,180.0000406901047px,4e282c4d82bcc5f6d2b0b39896574f2fdc4b5838e9be1f66a5debca7a2bdc0e6,R01,processed-semantic-transcript,1
T-010,fallbacks,fallbacks,fallbacks,True,True,1874.1962186474793,3771.012163421795,113.71428571428551px,dbf880608a5fe7ae32473f574952db7b0dd6e1237a19535634e5672b46194934,R03,processed-semantic-transcript,1
T-011,what to return from callback,what to return from callback,what to return from callback,True,True,4548.4818457401125,3343.4053498754756,84.00000000000074px,f5e079320af8733d17ab8caf8a6b291d6a80c9a117abcbd833a34d710a30c4ea,R02,processed-semantic-transcript,1
T-012,suppressing concurrency exception,suppressing concurrency exception,suppressing concurrency exception,True,True,342.4444783528643,5606.459519051825,45.59999999999999px,f0c16c6a46d40f6c1e57b90622be983ead426aa5f11b0bb0126d9d86b5280e43,R03,processed-semantic-transcript,1
T-013,concur exception and normal failure callback,concur exception and normal failure callback,concur exception and normal failure callback,True,True,10.0,3895.1267474046876,79.02220052083361px,b64e29a7f660c598c6a18c01491858243320277c5c0abbaabd1c9f788bec1f8d,R03,processed-semantic-transcript,1
T-014,scalar executing returns object,scalar executing returns object,scalar executing returns object,True,True,11599.111890168071,3650.1723327623163,53.9394087357956px,4219b9ea86740c95625772e24542eef8a2e1be153a5a6729e5a174facf4a5e3e,R04,processed-semantic-transcript,1
T-015,command event data,command event data,command event data,True,True,7350.500593456129,4420.5877461204345,99.23807198660725px,d54060255e3ee0992bddb2918d9dd5ac94b93cf8475ea9bb31d3a67016e2c1a6,R05,processed-semantic-transcript,1
T-016,when we can suppress,when we can suppress,when we can suppress,True,True,4866.743030044972,154.48399999999998,163.99999999999997px,699c34f776db0faf6fd864e218f7bb2315f98dcd1092b80c43f9f0b55de2d7d3,R02,processed-semantic-transcript,1
T-017,failure,failure,failure,True,True,1892.6585659110224,3899.047424832249,41.333300781249974px,16d34b5e7bcb341ee6cb3d16495d90e93fbe57c46d3827432613210a24ebca30,R03,processed-semantic-transcript,1
T-018,concurrency,concurrency,concurrency,True,True,1892.6585659110224,3950.7140508088114,41.333300781249974px,d1b92de2d2079261b3abb4d275473f8ffefb9c723f42c8c56f72d385fb3abc7c,R03,processed-semantic-transcript,1
