label_id,text,x,y,font_size,candidate_region,status,notes
T-001,event data,6160.679832002034,1737.4742322132624,134.28571428571595px,R02,pending-transcript,
T-002,command interseptors,9627.547713110453,1361.2695223049923,222.66674804687503px,R03,pending-transcript,
T-003,how to know that something was suppressed,7529.164661247833,1639.992105149655,72.4444444444445px,R02,pending-transcript,
T-004,some negative flags or,7529.164661247833,1639.992105149655,72.4444444444445px,R02,pending-transcript,
T-005,!!! scoped marker service,7529.164661247833,1639.992105149655,72.4444444444445px,R02,pending-transcript,
T-006,!!!,7420.982741340754,3174.840677851793,45.21209161931767px,R02,pending-transcript,
T-007,dbcommand,10230.300160524159,6150.300973300484,194.81475151909987px,R03,pending-transcript,
T-008,!!!,10052.188944762038,8130.704927392157,99.08419892282px,R03,pending-transcript,
T-009,savechanges,3235.1373948825394,1375.7054854710577,180.0000406901047px,R01,pending-transcript,
T-010,fallbacks,1874.1962186474793,3670.8298777075092,113.71428571428551px,R01,pending-transcript,
T-011,what to return from callback,4548.4818457401125,3269.401349875475,84.00000000000074px,R02,pending-transcript,
T-012,suppressing concurrency exception,342.4444783528643,5566.285919051825,45.59999999999999px,R01,pending-transcript,
T-013,concur exception and normal failure callback,10.0,3825.508188745833,79.02220052083361px,R01,pending-transcript,
T-014,scalar executing returns object,11599.111890168071,3602.6517136660805,53.9394087357956px,R03,pending-transcript,
T-015,command event data,7350.500593456129,4333.159004700234,99.23807198660725px,R02,pending-transcript,
T-016,when we can suppress,4866.743030044972,10.0,163.99999999999997px,R02,pending-transcript,
T-017,failure,1892.6585659110224,3862.6327868439676,41.333300781249974px,R01,pending-transcript,
T-018,concurrency,1892.6585659110224,3862.6327868439676,41.333300781249974px,R01,pending-transcript,
