label_id,text,candidate_region,final_region,status,transcript_file,open_issue
T-009,savechanges,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-010,fallbacks,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-012,suppressing concurrency exception,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-013,concur exception and normal failure callback,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-017,failure,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-018,concurrency,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-001,event data,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-003,how to know that something was suppressed,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-004,some negative flags or,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-005,!!! scoped marker service,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-006,!!!,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-011,what to return from callback,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-015,command event data,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-016,when we can suppress,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-002,command interseptors,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-007,dbcommand,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-008,!!!,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-014,scalar executing returns object,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
