source_id,image_use_id,fileId_short,region,subregion,coverage_status,decision_is_final,audit_result,review_notes
S-001,IU-001,8c26ec2ece,AE03,AE03A,processed-in-ae03-v001,yes-for-ae03-v001-boundary,ok-processed,Included in AE03 v001 after NEXT01 visual/semantic transcript pass.
S-002,IU-002,a2895f1a0c,AE01,AE01A,processed-in-ae01-v001,yes-for-ae01-v001-boundary,ok-processed,Included in AE01 v001 after NEXT01 visual/semantic transcript pass.
S-003,IU-003,44a9508794,AE01,AE01A,processed-in-ae01-v001,yes-for-ae01-v001-boundary,ok-processed,Included in AE01 v001 after NEXT01 visual/semantic transcript pass.
S-004,IU-004,d2c3e9aa13,AE01,AE01A,processed-in-ae01-v001,yes-for-ae01-v001-boundary,ok-processed,Included in AE01 v001 after NEXT01 visual/semantic transcript pass.
S-005,IU-005,af5f9294f5,AE01,AE01A,processed-in-ae01-v001,yes-for-ae01-v001-boundary,ok-processed,Included in AE01 v001 after NEXT01 visual/semantic transcript pass.
S-006,IU-006,d5156be8d0,AE01,AE01A,processed-in-ae01-v001,yes-for-ae01-v001-boundary,ok-processed,Included in AE01 v001 after NEXT01 visual/semantic transcript pass.
S-007,IU-007,bef17d9199,AE01,AE01A,processed-in-ae01-v001,yes-for-ae01-v001-boundary,ok-processed,Included in AE01 v001 after NEXT01 visual/semantic transcript pass.
S-008,IU-008,c3e58d0984,AE01,AE01B,processed-in-ae01-v001,yes-for-ae01-v001-boundary,ok-processed,Included in AE01 v001 after NEXT01 visual/semantic transcript pass.
S-009,IU-009,ad91a03ef9,AE02,AE02A,processed-in-ae02-v001,yes-for-ae02-v001-boundary,ok-processed,Included in AE02 v001 after NEXT01 visual/semantic transcript pass.
S-010,IU-010,0ec3aeae02,AE02,AE02A,processed-in-ae02-v001,yes-for-ae02-v001-boundary,ok-processed,Included in AE02 v001 after NEXT01 visual/semantic transcript pass.
S-011,IU-011,a8e2d7111b,AE01,AE01B,processed-in-ae01-v001,yes-for-ae01-v001-boundary,ok-processed,Included in AE01 v001 after NEXT01 visual/semantic transcript pass.
S-012,IU-012,9f23be7733,AE01,AE01B,processed-in-ae01-v001,yes-for-ae01-v001-boundary,ok-processed,Included in AE01 v001 after NEXT01 visual/semantic transcript pass.
S-013,IU-013,8d00455bbf,AE03,AE03A,processed-in-ae03-v001,yes-for-ae03-v001-boundary,ok-processed,Included in AE03 v001 after NEXT01 visual/semantic transcript pass.
S-014,IU-014,d48b885ed0,AE03,AE03B,processed-in-ae03-v001,yes-for-ae03-v001-boundary,ok-processed,Included in AE03 v001 after NEXT01 visual/semantic transcript pass.
S-015,IU-015,f521da21ce,AE04,AE04A,processed-in-ae04-v001,yes-for-ae04-v001-boundary,ok-processed,Included in AE04 v001 after NEXT01 visual/semantic transcript pass.
S-016,IU-016,dec4be3ca0,AE03,AE03B,processed-in-ae03-v001,yes-for-ae03-v001-boundary,ok-processed,Included in AE03 v001 after NEXT01 visual/semantic transcript pass.
S-017,IU-017,8fe4f92f7d,AE04,AE04A,processed-in-ae04-v001,yes-for-ae04-v001-boundary,ok-processed,Included in AE04 v001 after NEXT01 visual/semantic transcript pass.
S-018,IU-018,07145f7540,AE03,AE03B,processed-in-ae03-v001,yes-for-ae03-v001-boundary,ok-processed,Included in AE03 v001 after NEXT01 visual/semantic transcript pass.
S-019,IU-019,ad91a03ef9,AE02,AE02B,processed-in-ae02-v001,yes-for-ae02-v001-boundary,ok-processed,Included in AE02 v001 after NEXT01 visual/semantic transcript pass.
