source_id,image_use_id,fileId_short,x,y,width,height,candidate_region,candidate_region_name,candidate_subregion,decision,decision_is_final,must_recheck_before_region_close,reason,nearest_labels_for_search_only
S-001,IU-001,8c26ec2ece,448.6421485670194,10.0,481.0,220.0,AE03,"Encapsulation, data integrity and invariants",AE03A,candidate-for-AE03-transcript,no-boundary-review-only,yes,"Encapsulation as protecting data integrity: bundling data and operations, private setters, methods enforcing invariants, impossible-to-violate invariant examples, and guard clauses.",
S-002,IU-002,a2895f1a0c,427.1362841625805,291.6994555401793,591.0,220.0,AE01,"Abstraction definition, purpose and hierarchy",AE01A,candidate-for-AE01-transcript,no-boundary-review-only,yes,"Core abstraction idea: amplify essential, eliminate irrelevant; unlimited ways to code, abstractions help focus, all code is abstraction, good vs bad abstractions, and hierarchy/higher-order abstractions.",
S-003,IU-003,44a9508794,465.29819576379487,577.5014683211775,483.0,265.0,AE01,"Abstraction definition, purpose and hierarchy",AE01A,candidate-for-AE01-transcript,no-boundary-review-only,yes,"Core abstraction idea: amplify essential, eliminate irrelevant; unlimited ways to code, abstractions help focus, all code is abstraction, good vs bad abstractions, and hierarchy/higher-order abstractions.",
S-004,IU-004,d2c3e9aa13,505.1473452430091,883.3131786413724,423.0,262.0,AE01,"Abstraction definition, purpose and hierarchy",AE01A,candidate-for-AE01-transcript,no-boundary-review-only,yes,"Core abstraction idea: amplify essential, eliminate irrelevant; unlimited ways to code, abstractions help focus, all code is abstraction, good vs bad abstractions, and hierarchy/higher-order abstractions.",
S-005,IU-005,af5f9294f5,522.7626369817617,1183.2874546275305,382.0,257.0,AE01,"Abstraction definition, purpose and hierarchy",AE01A,candidate-for-AE01-transcript,no-boundary-review-only,yes,"Core abstraction idea: amplify essential, eliminate irrelevant; unlimited ways to code, abstractions help focus, all code is abstraction, good vs bad abstractions, and hierarchy/higher-order abstractions.",
S-006,IU-006,d5156be8d0,516.5940297145971,1490.3723251852061,355.0,220.0,AE01,"Abstraction definition, purpose and hierarchy",AE01A,candidate-for-AE01-transcript,no-boundary-review-only,yes,"Core abstraction idea: amplify essential, eliminate irrelevant; unlimited ways to code, abstractions help focus, all code is abstraction, good vs bad abstractions, and hierarchy/higher-order abstractions.",
S-007,IU-007,bef17d9199,520.7576186031602,1751.0476828164246,344.0,240.0,AE01,"Abstraction definition, purpose and hierarchy",AE01A,candidate-for-AE01-transcript,no-boundary-review-only,yes,"Core abstraction idea: amplify essential, eliminate irrelevant; unlimited ways to code, abstractions help focus, all code is abstraction, good vs bad abstractions, and hierarchy/higher-order abstractions.",
S-008,IU-008,c3e58d0984,510.5373332628769,2041.64490789322,381.0,220.0,AE01,"Abstraction definition, purpose and hierarchy",AE01B,candidate-for-AE01-transcript,no-boundary-review-only,yes,"Core abstraction idea: amplify essential, eliminate irrelevant; unlimited ways to code, abstractions help focus, all code is abstraction, good vs bad abstractions, and hierarchy/higher-order abstractions.",
S-009,IU-009,ad91a03ef9,510.2455662548491,2288.627215252345,418.0,220.0,AE02,Abstraction as code simplification / normalized customer name example,AE02A,candidate-for-AE02-transcript,no-boundary-review-only,yes,"Code-level abstraction example: extracting NormalizeCustomerName to name the essential idea, remove irrelevant details from the caller, and simplify code. S-009 and S-019 are two canvas uses of the same embedded screenshot.",
S-010,IU-010,0ec3aeae02,529.1227220182855,2554.374071791899,368.0,249.0,AE02,Abstraction as code simplification / normalized customer name example,AE02A,candidate-for-AE02-transcript,no-boundary-review-only,yes,"Code-level abstraction example: extracting NormalizeCustomerName to name the essential idea, remove irrelevant details from the caller, and simplify code. S-009 and S-019 are two canvas uses of the same embedded screenshot.",
S-011,IU-011,a8e2d7111b,539.6092724752443,2850.042814813016,347.0,220.0,AE01,"Abstraction definition, purpose and hierarchy",AE01B,candidate-for-AE01-transcript,no-boundary-review-only,yes,"Core abstraction idea: amplify essential, eliminate irrelevant; unlimited ways to code, abstractions help focus, all code is abstraction, good vs bad abstractions, and hierarchy/higher-order abstractions.",
S-012,IU-012,9f23be7733,533.0512393947711,3109.7038597001083,365.0,220.0,AE01,"Abstraction definition, purpose and hierarchy",AE01B,candidate-for-AE01-transcript,no-boundary-review-only,yes,"Core abstraction idea: amplify essential, eliminate irrelevant; unlimited ways to code, abstractions help focus, all code is abstraction, good vs bad abstractions, and hierarchy/higher-order abstractions.",
S-013,IU-013,8d00455bbf,524.6967296508274,3379.0007993625914,428.0,220.0,AE03,"Encapsulation, data integrity and invariants",AE03A,candidate-for-AE03-transcript,no-boundary-review-only,yes,"Encapsulation as protecting data integrity: bundling data and operations, private setters, methods enforcing invariants, impossible-to-violate invariant examples, and guard clauses.",
S-014,IU-014,d48b885ed0,527.6239453638418,3627.5045415431377,420.0,220.0,AE03,"Encapsulation, data integrity and invariants",AE03B,candidate-for-AE03-transcript,no-boundary-review-only,yes,"Encapsulation as protecting data integrity: bundling data and operations, private setters, methods enforcing invariants, impossible-to-violate invariant examples, and guard clauses.",
S-015,IU-015,f521da21ce,478.5569346878865,3934.6886044673274,409.0,220.0,AE04,Difference and overlap between encapsulation and abstraction,AE04A,candidate-for-AE04-transcript,no-boundary-review-only,yes,"Synthesis region: comparison between encapsulation and abstraction, where they overlap, and how examples such as Triangle, EmailAddress, and NormalizeCustomerName sit in the two-circle model.",
S-016,IU-016,dec4be3ca0,474.9845252375517,4196.527402686566,369.0,220.0,AE03,"Encapsulation, data integrity and invariants",AE03B,candidate-for-AE03-transcript,no-boundary-review-only,yes,"Encapsulation as protecting data integrity: bundling data and operations, private setters, methods enforcing invariants, impossible-to-violate invariant examples, and guard clauses.",
S-017,IU-017,8fe4f92f7d,449.7953723931223,4475.460187570847,473.0,220.0,AE04,Difference and overlap between encapsulation and abstraction,AE04A,candidate-for-AE04-transcript,no-boundary-review-only,yes,"Synthesis region: comparison between encapsulation and abstraction, where they overlap, and how examples such as Triangle, EmailAddress, and NormalizeCustomerName sit in the two-circle model.",
