source_id,image_use_id,dom_group_index,symbol_id,fileId_short,x,y,width,height,rotation,center_x,center_y,opacity,nearest_labels_for_search_only
S-001,IU-001,1,image-bb3271411ee40e688bf130a5134bbb695f9cb32f,8c26ec2ece,448.6421485670194,10.0,481.0,220.0,0.0,240.4123711340206,110.0,1,
S-002,IU-002,2,image-03bb92578fce96dd083775ecd0788546acdc2271,a2895f1a0c,427.1362841625805,291.6994555401793,591.0,220.0,0.0,295.4005934718101,110.0,1,
S-003,IU-003,3,image-8e38b70d117b0f8adb4bd4be9bbe4bcd8255859c,44a9508794,465.29819576379487,577.5014683211775,483.0,265.0,0.0,241.2785842310676,132.40335310576756,1,
S-004,IU-004,4,image-8f25c9fe9b1729bdc5954b8fbed0af5c82da87bc,d2c3e9aa13,505.1473452430091,883.3131786413724,423.0,262.0,0.0,211.318839048728,131.076496586885,1,
S-005,IU-005,5,image-510803e62fadc0b5c86388bced98c802d48493f5,af5f9294f5,522.7626369817617,1183.2874546275305,382.0,257.0,0.0,191.16775396805772,128.39322051839792,1,
S-006,IU-006,6,image-ff366370c1455b1d82bade3c6f696cbb92440d14,d5156be8d0,516.5940297145971,1490.3723251852061,355.0,220.0,0.0,177.5575221238938,110.0,1,
S-007,IU-007,7,image-e8b118104ad0c60ef4d642d1f2f6e3e65c6e1beb,bef17d9199,520.7576186031602,1751.0476828164246,344.0,240.0,0.0,172.05424394623154,120.14302062988281,1,
S-008,IU-008,8,image-ced83db39a79545be9a1fcb68722db3801f5a371,c3e58d0984,510.5373332628769,2041.64490789322,381.0,220.0,0.0,190.71428571428572,110.0,1,
S-009,IU-009,9,image-c25a1a39b26fc3d068804bc364a7188aa32f348e,ad91a03ef9,510.2455662548491,2288.627215252345,418.0,220.0,0.0,208.75638841567292,110.0,1,
S-010,IU-010,10,image-c0794f69c5d1965b23f02567ab7f95a567783b9c,0ec3aeae02,529.1227220182855,2554.374071791899,368.0,249.0,0.0,184.20743614160406,124.45378875732433,1,
S-011,IU-011,11,image-4b1cb66a385ccadf2d31efa5b8c649b29787c3c5,a8e2d7111b,539.6092724752443,2850.042814813016,347.0,220.0,0.0,173.30683624801273,110.0,1,
S-012,IU-012,12,image-e4ce10a3de52bfe5e85861b5dfd0bd2079592495,9f23be7733,533.0512393947711,3109.7038597001083,365.0,220.0,0.0,182.4006359300477,110.0,1,
S-013,IU-013,13,image-2ec9210f8581718366c012eba1e5a8d87a020537,8d00455bbf,524.6967296508274,3379.0007993625914,428.0,220.0,0.0,214.08403361344537,110.0,1,
S-014,IU-014,14,image-d9cb13f1b258a505413ef61c77fc5f45c15c2d7c,d48b885ed0,527.6239453638418,3627.5045415431377,420.0,220.0,0.0,210.142566191446,110.0,1,
S-015,IU-015,15,image-4e894a4d209ec9895a0eebc2ef93f88f464f4b22,f521da21ce,478.5569346878865,3934.6886044673274,409.0,220.0,0.0,204.4372990353698,110.0,1,
S-016,IU-016,16,image-fe19df31d1be34677a923dd010a63e05dd4ddf50,dec4be3ca0,474.9845252375517,4196.527402686566,369.0,220.0,0.0,184.68085106382978,110.0,1,
S-017,IU-017,17,image-c89f48b438a87009e46dcc1835b28712678ad884,8fe4f92f7d,449.7953723931223,4475.460187570847,473.0,220.0,0.0,236.74897119341566,110.0,1,
S-018,IU-018,18,image-ffd16d78849bd5bc99975c4a3d2e1b7eae73ff29,07145f7540,10.0,4475.9673249069165,417.0,220.0,0.0,208.44444444444446,110.0,1,
S-019,IU-019,19,image-c25a1a39b26fc3d068804bc364a7188aa32f348e,ad91a03ef9,942.8449771156929,4474.4458405319165,418.0,220.0,0.0,208.75638841567292,110.0,1,
